Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,34.700,34.900,34.690,34.884,34.884,2116608.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,34.885,34.900,34.710,34.820,34.820,351557.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,34.840,34.960,34.780,34.950,34.950,559805.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,34.950,34.980,34.855,34.915,34.915,356448.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,34.910,34.915,34.810,34.850,34.850,465964.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,34.850,34.920,34.820,34.915,34.915,353522.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,34.910,34.950,34.860,34.897,34.897,319448.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,34.890,34.955,34.875,34.950,34.950,556033.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,35.045,35.180,35.040,35.175,35.175,642515.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,35.180,35.225,35.020,35.030,35.030,575939.000,34.939,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,35.035,35.070,34.982,34.988,34.988,382217.000,34.949,nan,False,Noise Bar,0.010,Empty
2024-07-15 09:52:00-04:00,34.980,35.045,34.930,34.955,34.955,371930.000,34.963,nan,False,Noise Bar,0.014,Empty
2024-07-15 09:54:00-04:00,34.955,34.960,34.810,34.820,34.820,222774.000,34.950,nan,False,Noise Bar,-0.013,Empty
2024-07-15 09:56:00-04:00,34.810,34.835,34.640,34.650,34.650,438934.000,34.923,nan,False,Noise Bar,-0.027,Empty
2024-07-15 09:58:00-04:00,34.640,34.645,34.560,34.605,34.605,588589.000,34.899,nan,False,Noise Bar,-0.024,Empty
2024-07-15 10:00:00-04:00,34.600,34.645,34.595,34.640,34.640,266508.000,34.871,nan,False,Noise Bar,-0.028,Empty
2024-07-15 10:02:00-04:00,34.630,34.690,34.630,34.685,34.685,220777.000,34.850,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:04:00-04:00,34.684,34.740,34.650,34.660,34.660,238495.000,34.821,nan,False,Noise Bar,-0.029,Empty
2024-07-15 10:06:00-04:00,34.655,34.711,34.620,34.680,34.680,183632.000,34.771,nan,False,Noise Bar,-0.049,Empty
2024-07-15 10:08:00-04:00,34.690,34.730,34.650,34.725,34.725,137429.000,34.741,nan,False,Noise Bar,-0.031,Empty
2024-07-15 10:10:00-04:00,34.735,34.750,34.632,34.640,34.640,167619.000,34.706,nan,False,Noise Bar,-0.035,Empty
2024-07-15 10:12:00-04:00,34.630,34.760,34.620,34.704,34.704,212601.000,34.681,nan,False,Noise Bar,-0.025,Empty
