Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:52:00-04:00,229.56,228.99,Buy,IQV1
2024-07-16 09:54:00-04:00,230.32,228.99,Sell - Away from SMA,IQV1
2024-07-16 14:40:00-04:00,231.97,231.90,Buy,IQV2
2024-07-16 14:42:00-04:00,232.28,231.90,Sell - Away from SMA,IQV2
2024-07-16 15:26:00-04:00,232.97,232.82,Buy,IQV3
2024-07-16 15:28:00-04:00,233.13,232.82,Sell - Away from SMA,IQV3
2024-07-16 15:38:00-04:00,233.37,233.26,Buy,IQV4
2024-07-16 15:40:00-04:00,233.26,233.26,Sell - Stop Loss,IQV4
2024-07-16 15:50:00-04:00,233.68,233.40,Buy,IQV5
2024-07-16 15:52:00-04:00,234.00,233.40,Sell - Away from SMA,IQV5
2024-07-17 09:54:00-04:00,236.11,235.67,Buy,IQV6
2024-07-17 09:56:00-04:00,235.91,235.67,Sell - Away from SMA,IQV6
2024-07-19 14:08:00-04:00,223.49,223.44,Buy,IQV7
2024-07-19 14:10:00-04:00,223.44,223.44,Sell - Stop Loss,IQV7
2024-07-22 10:46:00-04:00,237.75,237.26,Buy,IQV8
2024-07-22 10:48:00-04:00,239.34,237.26,Sell - Away from SMA,IQV8
2024-07-22 11:14:00-04:00,240.01,239.59,Buy,IQV9
2024-07-22 11:16:00-04:00,241.79,239.59,Sell - Away from SMA,IQV9
2024-07-22 13:18:00-04:00,239.96,239.84,Buy,IQV10
2024-07-22 13:20:00-04:00,239.84,239.84,Sell - Stop Loss,IQV10
2024-07-22 14:00:00-04:00,239.81,239.58,Buy,IQV11
2024-07-22 14:02:00-04:00,239.99,239.58,Sell - Away from SMA,IQV11
2024-07-25 12:42:00-04:00,235.57,235.41,Buy,IQV12
2024-07-25 12:44:00-04:00,235.97,235.41,Sell - Away from SMA,IQV12
2024-07-25 14:06:00-04:00,236.34,236.19,Buy,IQV13
2024-07-25 14:08:00-04:00,236.50,236.19,Sell - Away from SMA,IQV13
2024-07-26 10:44:00-04:00,235.31,235.13,Buy,IQV14
2024-07-26 10:46:00-04:00,235.77,235.13,Sell - Away from SMA,IQV14
2024-07-26 10:58:00-04:00,235.04,234.81,Buy,IQV15
2024-07-26 11:00:00-04:00,235.19,234.81,Sell - Away from SMA,IQV15
2024-07-26 12:32:00-04:00,237.04,236.99,Buy,IQV16
2024-07-26 12:34:00-04:00,236.99,236.99,Sell - Stop Loss,IQV16
2024-07-26 13:20:00-04:00,237.85,237.80,Buy,IQV17
2024-07-26 13:22:00-04:00,238.33,237.80,Sell - Away from SMA,IQV17
2024-07-26 13:50:00-04:00,237.34,237.14,Buy,IQV18
2024-07-26 13:52:00-04:00,237.71,237.14,Sell - Away from SMA,IQV18
2024-07-26 14:34:00-04:00,237.31,237.23,Buy,IQV19
2024-07-26 14:36:00-04:00,237.73,237.23,Sell - Away from SMA,IQV19
2024-07-26 15:44:00-04:00,238.96,238.78,Buy,IQV20
2024-07-26 15:46:00-04:00,239.56,238.78,Sell - Away from SMA,IQV20
2024-07-26 15:58:00-04:00,239.70,239.42,Buy,IQV21
2024-07-29 09:30:00-04:00,239.42,239.42,Sell - Stop Loss,IQV21
2024-07-30 10:58:00-04:00,242.66,242.46,Buy,IQV22
2024-07-30 11:00:00-04:00,243.34,242.46,Sell - Away from SMA,IQV22
2024-07-30 13:42:00-04:00,243.51,243.48,Buy,IQV23
2024-07-30 13:44:00-04:00,243.84,243.48,Sell - Away from SMA,IQV23
2024-07-31 09:44:00-04:00,247.25,247.06,Buy,IQV24
2024-07-31 09:46:00-04:00,248.15,247.06,Sell - Away from SMA,IQV24
2024-07-31 11:38:00-04:00,248.75,248.64,Buy,IQV25
2024-07-31 11:40:00-04:00,248.81,248.64,Sell - Away from SMA,IQV25
2024-07-31 14:40:00-04:00,248.18,247.90,Buy,IQV26
2024-07-31 14:42:00-04:00,248.04,247.90,Sell - Away from SMA,IQV26
2024-07-31 15:16:00-04:00,248.73,248.53,Buy,IQV27
2024-07-31 15:18:00-04:00,248.53,248.53,Sell - Stop Loss,IQV27
2024-08-01 12:48:00-04:00,247.79,247.70,Buy,IQV28
2024-08-01 12:50:00-04:00,248.08,247.70,Sell - Away from SMA,IQV28
2024-08-01 13:04:00-04:00,247.93,247.72,Buy,IQV29
2024-08-01 13:06:00-04:00,247.84,247.72,Sell - Away from SMA,IQV29
