Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,98.100,98.295,97.960,97.960,97.960,37859.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,97.910,98.120,97.910,97.955,97.955,3834.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,97.950,98.230,97.950,98.000,98.000,5314.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,98.110,98.135,98.110,98.135,98.135,1249.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,98.165,98.170,98.040,98.150,98.150,9897.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,98.010,98.050,97.990,98.025,98.025,2495.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,98.080,98.240,98.030,98.200,98.200,40406.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,98.200,98.570,98.110,98.530,98.530,30735.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,98.485,98.600,98.420,98.600,98.600,28104.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,98.640,98.800,98.450,98.800,98.800,34394.000,98.236,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,98.750,99.055,98.710,99.055,99.055,49912.000,98.345,nan,False,Noise Bar,0.110,Empty
2024-07-15 09:52:00-04:00,99.040,99.215,98.990,99.160,99.160,13525.000,98.466,nan,False,Noise Bar,0.121,Empty
2024-07-15 09:54:00-04:00,99.140,99.140,98.870,99.045,99.045,58113.000,98.570,nan,False,Noise Bar,0.104,Empty
2024-07-15 09:56:00-04:00,99.040,99.070,98.840,99.000,99.000,32540.000,98.657,nan,False,Noise Bar,0.086,Empty
2024-07-15 09:58:00-04:00,98.920,99.005,98.780,98.805,98.805,19955.000,98.722,nan,False,Noise Bar,0.065,Empty
2024-07-15 10:00:00-04:00,98.860,98.960,98.680,98.700,98.700,22423.000,98.789,nan,False,Noise Bar,0.067,Empty
2024-07-15 10:02:00-04:00,98.700,98.940,98.700,98.890,98.890,9729.000,98.858,nan,False,Noise Bar,0.069,Empty
2024-07-15 10:04:00-04:00,98.890,98.990,98.770,98.790,98.790,13232.000,98.885,nan,False,Noise Bar,0.026,Empty
2024-07-15 10:06:00-04:00,98.890,98.970,98.655,98.660,98.660,9789.000,98.891,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:08:00-04:00,98.660,98.660,98.520,98.545,98.545,16061.000,98.865,nan,False,Noise Bar,-0.026,Empty
2024-07-15 10:10:00-04:00,98.545,98.545,98.435,98.515,98.515,13533.000,98.811,nan,False,Noise Bar,-0.054,Empty
2024-07-15 10:12:00-04:00,98.510,98.530,98.310,98.360,98.360,15838.000,98.731,nan,False,Noise Bar,-0.080,Empty
2024-07-15 10:14:00-04:00,98.345,98.345,98.170,98.190,98.190,2797.000,98.646,nan,False,Noise Bar,-0.085,Empty
2024-07-15 10:16:00-04:00,98.230,98.295,98.140,98.190,98.190,22456.000,98.565,nan,False,Noise Bar,-0.081,Empty
2024-07-15 10:18:00-04:00,98.210,98.260,98.170,98.170,98.170,9820.000,98.501,nan,False,Noise Bar,-0.064,Empty
2024-07-15 10:20:00-04:00,98.175,98.335,98.175,98.260,98.260,9369.000,98.457,nan,False,Noise Bar,-0.044,Empty
2024-07-15 10:22:00-04:00,98.295,98.430,98.280,98.400,98.400,10095.000,98.408,nan,False,Noise Bar,-0.049,Empty
2024-07-15 10:24:00-04:00,98.370,98.420,98.345,98.420,98.420,7569.000,98.371,nan,False,Noise Bar,-0.037,Empty
2024-07-15 10:26:00-04:00,98.407,98.460,98.350,98.385,98.385,12387.000,98.344,nan,False,Noise Bar,-0.028,Empty
2024-07-15 10:28:00-04:00,98.370,98.370,98.310,98.340,98.340,20611.000,98.323,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:30:00-04:00,98.310,98.520,98.310,98.500,98.500,7946.000,98.322,nan,False,Noise Bar,-0.001,Empty
