Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:26:00-04:00,98.03,97.96,Buy,IRM1
2024-07-16 10:28:00-04:00,98.24,97.96,Sell - Away from SMA,IRM1
2024-07-16 10:36:00-04:00,98.12,98.10,Buy,IRM2
2024-07-16 10:38:00-04:00,98.27,98.10,Sell - Away from SMA,IRM2
2024-07-16 10:44:00-04:00,98.38,98.26,Buy,IRM3
2024-07-16 10:46:00-04:00,98.53,98.26,Sell - Away from SMA,IRM3
2024-07-16 14:28:00-04:00,99.97,99.88,Buy,IRM4
2024-07-16 14:30:00-04:00,100.06,99.88,Sell - Away from SMA,IRM4
2024-07-16 14:54:00-04:00,100.16,100.09,Buy,IRM5
2024-07-16 14:56:00-04:00,100.26,100.09,Sell - Away from SMA,IRM5
2024-07-17 10:58:00-04:00,100.40,100.33,Buy,IRM6
2024-07-17 11:00:00-04:00,100.33,100.33,Sell - Stop Loss,IRM6
2024-07-19 15:00:00-04:00,98.46,98.43,Buy,IRM7
2024-07-19 15:02:00-04:00,98.58,98.43,Sell - Away from SMA,IRM7
2024-07-22 10:08:00-04:00,98.64,98.51,Buy,IRM8
2024-07-22 10:10:00-04:00,98.88,98.51,Sell - Away from SMA,IRM8
2024-07-22 11:00:00-04:00,100.02,99.95,Buy,IRM9
2024-07-22 11:02:00-04:00,100.10,99.95,Sell - Away from SMA,IRM9
2024-07-22 11:14:00-04:00,100.01,99.93,Buy,IRM10
2024-07-22 11:16:00-04:00,99.93,99.93,Sell - Stop Loss,IRM10
2024-07-23 10:24:00-04:00,101.25,101.16,Buy,IRM11
2024-07-23 10:26:00-04:00,101.33,101.16,Sell - Away from SMA,IRM11
2024-07-23 13:28:00-04:00,100.66,100.62,Buy,IRM12
2024-07-23 13:30:00-04:00,100.62,100.62,Sell - Stop Loss,IRM12
2024-07-23 15:34:00-04:00,101.07,101.00,Buy,IRM13
2024-07-23 15:36:00-04:00,101.14,101.00,Sell - Away from SMA,IRM13
2024-07-25 15:34:00-04:00,97.31,97.18,Buy,IRM14
2024-07-25 15:36:00-04:00,97.51,97.18,Sell - Away from SMA,IRM14
2024-07-26 11:42:00-04:00,98.54,98.47,Buy,IRM15
2024-07-26 11:44:00-04:00,98.59,98.47,Sell - Away from SMA,IRM15
2024-07-26 12:58:00-04:00,98.71,98.66,Buy,IRM16
2024-07-26 13:00:00-04:00,98.78,98.66,Sell - Away from SMA,IRM16
2024-07-29 10:22:00-04:00,98.99,98.89,Buy,IRM17
2024-07-29 10:24:00-04:00,98.89,98.89,Sell - Stop Loss,IRM17
2024-07-29 12:04:00-04:00,99.17,99.08,Buy,IRM18
2024-07-29 12:06:00-04:00,99.24,99.08,Sell - Away from SMA,IRM18
2024-07-30 10:50:00-04:00,100.41,100.32,Buy,IRM19
2024-07-30 10:52:00-04:00,100.64,100.32,Sell - Away from SMA,IRM19
2024-07-30 13:08:00-04:00,100.76,100.65,Buy,IRM20
2024-07-30 13:10:00-04:00,100.81,100.65,Sell - Away from SMA,IRM20
2024-07-30 14:08:00-04:00,101.07,101.00,Buy,IRM21
2024-07-30 14:10:00-04:00,101.13,101.00,Sell - Away from SMA,IRM21
2024-07-30 15:48:00-04:00,101.71,101.60,Buy,IRM22
2024-07-30 15:50:00-04:00,101.79,101.60,Sell - Away from SMA,IRM22
2024-07-31 11:24:00-04:00,103.01,102.86,Buy,IRM23
2024-07-31 11:26:00-04:00,103.06,102.86,Sell - Away from SMA,IRM23
2024-07-31 11:42:00-04:00,103.08,103.00,Buy,IRM24
2024-07-31 11:44:00-04:00,103.15,103.00,Sell - Away from SMA,IRM24
2024-08-01 11:16:00-04:00,107.53,107.23,Buy,IRM25
2024-08-01 11:18:00-04:00,107.98,107.23,Sell - Away from SMA,IRM25
2024-08-01 11:40:00-04:00,107.88,107.62,Buy,IRM26
2024-08-01 11:42:00-04:00,108.01,107.62,Sell - Away from SMA,IRM26
2024-08-01 13:12:00-04:00,109.97,109.76,Buy,IRM27
2024-08-01 13:14:00-04:00,109.76,109.76,Sell - Stop Loss,IRM27
2024-08-06 09:46:00-04:00,105.60,105.36,Buy,IRM28
2024-08-06 09:48:00-04:00,106.36,105.36,Sell - Away from SMA,IRM28
2024-08-06 11:04:00-04:00,106.86,106.76,Buy,IRM29
2024-08-06 11:06:00-04:00,107.40,106.76,Sell - Away from SMA,IRM29
2024-08-06 13:52:00-04:00,107.36,107.28,Buy,IRM30
2024-08-06 13:54:00-04:00,107.62,107.28,Sell - Away from SMA,IRM30
2024-08-07 09:56:00-04:00,107.90,107.74,Buy,IRM31
2024-08-07 09:58:00-04:00,108.39,107.74,Sell - Away from SMA,IRM31
2024-08-07 10:12:00-04:00,108.37,108.19,Buy,IRM32
2024-08-07 10:14:00-04:00,108.57,108.19,Sell - Away from SMA,IRM32
2024-08-07 10:30:00-04:00,108.31,108.21,Buy,IRM33
2024-08-07 10:32:00-04:00,108.33,108.21,Sell - Away from SMA,IRM33
2024-08-07 12:28:00-04:00,109.48,109.42,Buy,IRM34
2024-08-07 12:30:00-04:00,109.59,109.42,Sell - Away from SMA,IRM34
2024-08-08 14:16:00-04:00,106.75,106.69,Buy,IRM35
2024-08-08 14:18:00-04:00,106.96,106.69,Sell - Away from SMA,IRM35
2024-08-08 15:22:00-04:00,106.96,106.85,Buy,IRM36
2024-08-08 15:24:00-04:00,107.13,106.85,Sell - Away from SMA,IRM36
2024-08-08 15:56:00-04:00,107.32,107.09,Buy,IRM37
2024-08-08 15:58:00-04:00,107.52,107.09,Sell - Away from SMA,IRM37
2024-08-09 10:18:00-04:00,108.32,108.16,Buy,IRM38
2024-08-09 10:20:00-04:00,108.40,108.16,Sell - Away from SMA,IRM38
2024-08-09 11:40:00-04:00,108.67,108.59,Buy,IRM39
2024-08-09 11:44:00-04:00,108.74,108.59,Sell - Away from SMA,IRM39
2024-08-13 09:56:00-04:00,109.04,108.87,Buy,IRM40
2024-08-13 09:58:00-04:00,109.14,108.87,Sell - Away from SMA,IRM40
2024-08-13 10:28:00-04:00,108.92,108.87,Buy,IRM41
2024-08-13 10:30:00-04:00,108.87,108.87,Sell - Stop Loss,IRM41
2024-08-14 11:28:00-04:00,108.72,108.66,Buy,IRM42
2024-08-14 11:32:00-04:00,108.90,108.66,Sell - Away from SMA,IRM42
2024-08-14 13:02:00-04:00,108.92,108.84,Buy,IRM43
2024-08-14 13:06:00-04:00,109.07,108.84,Sell - Away from SMA,IRM43
2024-08-14 14:56:00-04:00,108.99,108.94,Buy,IRM44
2024-08-14 14:58:00-04:00,109.12,108.94,Sell - Away from SMA,IRM44
2024-08-15 12:20:00-04:00,109.04,108.98,Buy,IRM45
2024-08-15 12:22:00-04:00,109.15,108.98,Sell - Away from SMA,IRM45
2024-08-19 09:48:00-04:00,108.77,108.73,Buy,IRM46
2024-08-19 09:50:00-04:00,109.08,108.73,Sell - Away from SMA,IRM46
2024-08-19 10:30:00-04:00,109.57,109.53,Buy,IRM47
2024-08-19 10:32:00-04:00,109.74,109.53,Sell - Away from SMA,IRM47
2024-08-20 15:24:00-04:00,109.64,109.58,Buy,IRM48
2024-08-20 15:32:00-04:00,109.77,109.58,Sell - Away from SMA,IRM48
2024-08-21 10:00:00-04:00,109.84,109.74,Buy,IRM49
2024-08-21 10:08:00-04:00,109.74,109.74,Sell - Stop Loss,IRM49
2024-08-21 10:14:00-04:00,109.86,109.78,Buy,IRM50
2024-08-21 10:16:00-04:00,109.78,109.78,Sell - Stop Loss,IRM50
2024-08-21 12:04:00-04:00,110.73,110.60,Buy,IRM51
2024-08-21 12:06:00-04:00,110.93,110.60,Sell - Away from SMA,IRM51
2024-08-21 12:38:00-04:00,111.46,111.37,Buy,IRM52
2024-08-21 12:40:00-04:00,111.65,111.37,Sell - Away from SMA,IRM52
2024-08-21 14:10:00-04:00,111.86,111.83,Buy,IRM53
2024-08-21 14:14:00-04:00,112.07,111.83,Sell - Away from SMA,IRM53
2024-08-22 12:10:00-04:00,112.34,112.26,Buy,IRM54
2024-08-22 12:12:00-04:00,112.53,112.26,Sell - Away from SMA,IRM54
