Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:36:00-04:00,115.51,115.39,Buy,JBL1
2024-07-16 10:38:00-04:00,116.15,115.39,Sell - Away from SMA,JBL1
2024-07-16 11:52:00-04:00,117.28,117.25,Buy,JBL2
2024-07-16 11:54:00-04:00,117.54,117.25,Sell - Away from SMA,JBL2
2024-07-16 14:40:00-04:00,117.64,117.60,Buy,JBL3
2024-07-16 14:42:00-04:00,117.76,117.60,Sell - Away from SMA,JBL3
2024-07-16 14:50:00-04:00,117.74,117.60,Buy,JBL4
2024-07-16 15:00:00-04:00,117.60,117.60,Sell - Stop Loss,JBL4
2024-07-16 15:26:00-04:00,117.64,117.62,Buy,JBL5
2024-07-16 15:28:00-04:00,117.91,117.62,Sell - Away from SMA,JBL5
2024-07-16 15:42:00-04:00,117.83,117.77,Buy,JBL6
2024-07-16 15:44:00-04:00,117.94,117.77,Sell - Away from SMA,JBL6
2024-07-17 14:22:00-04:00,115.22,115.14,Buy,JBL7
2024-07-17 14:24:00-04:00,115.52,115.14,Sell - Away from SMA,JBL7
2024-07-17 14:28:00-04:00,115.52,115.45,Buy,JBL8
2024-07-17 14:30:00-04:00,115.53,115.45,Sell - Away from SMA,JBL8
2024-07-17 14:42:00-04:00,115.71,115.68,Buy,JBL9
2024-07-17 14:44:00-04:00,115.94,115.68,Sell - Away from SMA,JBL9
2024-07-17 14:54:00-04:00,115.91,115.79,Buy,JBL10
2024-07-17 14:56:00-04:00,116.05,115.79,Sell - Away from SMA,JBL10
2024-07-22 10:56:00-04:00,110.61,110.54,Buy,JBL11
2024-07-22 11:00:00-04:00,110.81,110.54,Sell - Away from SMA,JBL11
2024-07-22 13:42:00-04:00,111.91,111.81,Buy,JBL12
2024-07-22 13:44:00-04:00,112.05,111.81,Sell - Away from SMA,JBL12
2024-07-23 14:36:00-04:00,113.02,112.99,Buy,JBL13
2024-07-23 14:38:00-04:00,113.22,112.99,Sell - Away from SMA,JBL13
2024-07-24 10:08:00-04:00,114.34,114.19,Buy,JBL14
2024-07-24 10:10:00-04:00,114.19,114.19,Sell - Stop Loss,JBL14
2024-07-25 12:16:00-04:00,112.72,112.69,Buy,JBL15
2024-07-25 12:18:00-04:00,113.02,112.69,Sell - Away from SMA,JBL15
2024-07-25 12:28:00-04:00,113.51,113.48,Buy,JBL16
2024-07-25 12:30:00-04:00,113.81,113.48,Sell - Away from SMA,JBL16
2024-07-29 10:20:00-04:00,111.45,111.42,Buy,JBL17
