Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,150.080,150.250,149.670,149.930,149.930,133964.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,149.970,150.040,149.650,149.705,149.705,19310.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,149.750,150.030,149.750,149.860,149.860,17029.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,149.885,150.060,149.810,149.860,149.860,14562.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,149.830,150.030,149.800,149.945,149.945,15577.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,149.720,149.780,149.693,149.705,149.705,29573.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,149.690,149.760,149.595,149.700,149.700,28042.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,149.710,149.900,149.700,149.740,149.740,19766.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,149.755,150.060,149.700,149.710,149.710,21348.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,149.695,149.785,149.520,149.705,149.705,39790.000,149.786,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,149.680,149.740,149.560,149.630,149.630,13472.000,149.756,nan,False,Noise Bar,-0.030,Empty
2024-07-15 09:52:00-04:00,149.680,149.680,149.514,149.570,149.570,13779.000,149.743,nan,False,Noise Bar,-0.013,Empty
2024-07-15 09:54:00-04:00,149.590,149.710,149.470,149.557,149.557,28422.000,149.712,nan,False,Noise Bar,-0.030,Empty
2024-07-15 09:56:00-04:00,149.550,149.650,149.470,149.585,149.585,34071.000,149.685,nan,False,Noise Bar,-0.027,Empty
2024-07-15 09:58:00-04:00,149.605,149.689,149.380,149.440,149.440,20833.000,149.634,nan,False,Noise Bar,-0.051,Empty
2024-07-15 10:00:00-04:00,149.445,149.480,149.300,149.370,149.370,19183.000,149.601,nan,False,Noise Bar,-0.034,Empty
2024-07-15 10:02:00-04:00,149.335,149.335,149.145,149.145,149.145,15034.000,149.545,nan,False,Noise Bar,-0.055,Empty
2024-07-15 10:04:00-04:00,149.170,149.180,148.870,149.085,149.085,46507.000,149.480,nan,False,Noise Bar,-0.065,Empty
2024-07-15 10:06:00-04:00,149.090,149.270,149.080,149.260,149.260,19377.000,149.435,nan,False,Noise Bar,-0.045,Empty
2024-07-15 10:08:00-04:00,149.280,149.335,149.110,149.140,149.140,31147.000,149.378,nan,False,Noise Bar,-0.057,Empty
2024-07-15 10:10:00-04:00,149.100,149.160,148.980,149.055,149.055,31717.000,149.321,nan,False,Noise Bar,-0.058,Empty
2024-07-15 10:12:00-04:00,149.057,149.150,148.890,148.990,148.990,50613.000,149.263,nan,False,Noise Bar,-0.058,Empty
2024-07-15 10:14:00-04:00,149.006,149.140,149.006,149.135,149.135,23312.000,149.221,nan,False,Noise Bar,-0.042,Empty
2024-07-15 10:16:00-04:00,149.170,149.310,149.165,149.295,149.295,18274.000,149.191,nan,False,Noise Bar,-0.029,Empty
2024-07-15 10:18:00-04:00,149.285,149.410,149.280,149.375,149.375,29492.000,149.185,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:20:00-04:00,149.400,149.410,149.230,149.230,149.230,23127.000,149.171,nan,False,Noise Bar,-0.014,Empty
2024-07-15 10:22:00-04:00,149.220,149.270,149.070,149.075,149.075,19535.000,149.164,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:24:00-04:00,149.090,149.210,149.080,149.120,149.120,17070.000,149.167,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:26:00-04:00,149.130,149.210,149.100,149.165,149.165,17883.000,149.158,nan,False,Noise Bar,-0.010,Empty
2024-07-15 10:28:00-04:00,149.170,149.190,149.028,149.050,149.050,34265.000,149.149,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:30:00-04:00,149.060,149.160,149.055,149.120,149.120,18687.000,149.155,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:32:00-04:00,149.110,149.160,149.030,149.030,149.030,14740.000,149.159,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:34:00-04:00,149.020,149.140,148.980,148.985,148.985,16973.000,149.144,nan,False,Noise Bar,-0.015,Empty
2024-07-15 10:36:00-04:00,148.980,149.040,148.900,148.958,148.958,14221.000,149.111,nan,False,Noise Bar,-0.034,Empty
2024-07-15 10:38:00-04:00,148.965,149.030,148.920,149.020,149.020,14840.000,149.075,nan,False,Noise Bar,-0.035,Empty
2024-07-15 10:40:00-04:00,149.020,149.020,148.870,148.925,148.925,18450.000,149.045,nan,False,Noise Bar,-0.030,Empty
