Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:44:00-04:00,15.66,15.60,Buy,KEY1
2024-07-16 09:46:00-04:00,15.72,15.60,Sell - Away from SMA,KEY1
2024-07-16 14:10:00-04:00,15.91,15.88,Buy,KEY2
2024-07-17 09:30:00-04:00,15.88,15.88,Sell - Stop Loss,KEY2
2024-07-17 09:56:00-04:00,16.38,16.31,Buy,KEY3
2024-07-17 09:58:00-04:00,16.40,16.31,Sell - Away from SMA,KEY3
2024-07-23 09:46:00-04:00,15.77,15.69,Buy,KEY4
2024-07-23 09:58:00-04:00,15.91,15.69,Sell - Away from SMA,KEY4
2024-07-25 11:38:00-04:00,16.07,16.03,Buy,KEY5
2024-07-25 12:38:00-04:00,16.19,16.15,Buy,KEY6
2024-07-25 13:02:00-04:00,16.22,16.19,Buy,KEY7
2024-07-25 13:22:00-04:00,16.19,16.19,Sell - Stop Loss,KEY7
2024-07-25 13:36:00-04:00,16.15,16.15,Sell - Stop Loss,KEY6
2024-07-26 09:30:00-04:00,16.27,16.03,Sell - Away from SMA,KEY5
2024-07-31 14:56:00-04:00,16.45,16.41,Buy,KEY8
2024-07-31 15:08:00-04:00,16.41,16.41,Sell - Stop Loss,KEY8
2024-08-05 12:20:00-04:00,14.17,14.14,Buy,KEY9
2024-08-05 12:48:00-04:00,14.14,14.14,Sell - Stop Loss,KEY9
2024-08-07 11:26:00-04:00,14.48,14.43,Buy,KEY10
2024-08-07 11:44:00-04:00,14.43,14.43,Sell - Stop Loss,KEY10
2024-08-08 11:26:00-04:00,14.52,14.48,Buy,KEY11
2024-08-08 11:42:00-04:00,14.48,14.48,Sell - Stop Loss,KEY11
2024-08-09 10:40:00-04:00,14.50,14.47,Buy,KEY12
2024-08-09 11:20:00-04:00,14.47,14.47,Sell - Stop Loss,KEY12
2024-08-09 13:28:00-04:00,14.60,14.56,Buy,KEY13
2024-08-09 13:40:00-04:00,14.56,14.56,Sell - Stop Loss,KEY13
2024-08-09 14:40:00-04:00,14.57,14.54,Buy,KEY14
2024-08-09 15:46:00-04:00,14.54,14.54,Sell - Stop Loss,KEY14
2024-08-12 10:12:00-04:00,16.54,16.49,Buy,KEY15
2024-08-12 10:16:00-04:00,16.49,16.49,Sell - Stop Loss,KEY15
2024-08-13 14:36:00-04:00,15.75,15.71,Buy,KEY16
2024-08-13 14:50:00-04:00,15.71,15.71,Sell - Stop Loss,KEY16
