Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:04:00-04:00,143.81,143.72,Buy,KEYS1
2024-07-15 13:16:00-04:00,143.72,143.72,Sell - Stop Loss,KEYS1
2024-07-15 15:16:00-04:00,144.31,144.19,Buy,KEYS2
2024-07-15 15:18:00-04:00,144.67,144.19,Sell - Away from SMA,KEYS2
2024-07-16 09:48:00-04:00,146.86,146.56,Buy,KEYS3
2024-07-16 09:50:00-04:00,147.22,146.56,Sell - Away from SMA,KEYS3
2024-07-16 09:56:00-04:00,147.29,147.15,Buy,KEYS4
2024-07-16 09:58:00-04:00,147.65,147.15,Sell - Away from SMA,KEYS4
2024-07-16 10:26:00-04:00,146.76,146.60,Buy,KEYS5
2024-07-16 10:28:00-04:00,146.95,146.60,Sell - Away from SMA,KEYS5
2024-07-16 10:58:00-04:00,147.36,147.22,Buy,KEYS6
2024-07-16 11:00:00-04:00,147.64,147.22,Sell - Away from SMA,KEYS6
2024-07-16 12:26:00-04:00,148.27,148.24,Buy,KEYS7
2024-07-16 12:28:00-04:00,148.46,148.24,Sell - Away from SMA,KEYS7
2024-07-16 14:50:00-04:00,148.53,148.46,Buy,KEYS8
2024-07-16 14:52:00-04:00,148.61,148.46,Sell - Away from SMA,KEYS8
2024-07-17 14:18:00-04:00,147.22,147.13,Buy,KEYS9
2024-07-17 14:24:00-04:00,147.31,147.13,Sell - Away from SMA,KEYS9
2024-07-22 10:22:00-04:00,139.01,138.94,Buy,KEYS10
2024-07-22 10:24:00-04:00,139.10,138.94,Sell - Away from SMA,KEYS10
2024-07-22 10:42:00-04:00,139.22,139.17,Buy,KEYS11
2024-07-22 10:44:00-04:00,139.54,139.17,Sell - Away from SMA,KEYS11
2024-07-22 13:30:00-04:00,139.76,139.66,Buy,KEYS12
2024-07-22 13:32:00-04:00,139.98,139.66,Sell - Away from SMA,KEYS12
2024-07-23 09:54:00-04:00,141.67,141.40,Buy,KEYS13
2024-07-23 09:56:00-04:00,141.90,141.40,Sell - Away from SMA,KEYS13
2024-07-29 15:26:00-04:00,137.91,137.88,Buy,KEYS14
2024-07-29 15:32:00-04:00,137.88,137.88,Sell - Stop Loss,KEYS14
2024-07-30 15:22:00-04:00,136.20,136.17,Buy,KEYS15
2024-07-30 15:24:00-04:00,136.17,136.17,Sell - Stop Loss,KEYS15
2024-07-31 10:06:00-04:00,139.35,139.11,Buy,KEYS16
2024-07-31 10:08:00-04:00,139.36,139.11,Sell - Away from SMA,KEYS16
2024-07-31 11:18:00-04:00,138.78,138.70,Buy,KEYS17
2024-07-31 11:20:00-04:00,138.88,138.70,Sell - Away from SMA,KEYS17
2024-07-31 13:14:00-04:00,140.04,139.96,Buy,KEYS18
2024-07-31 13:16:00-04:00,139.96,139.96,Sell - Stop Loss,KEYS18
2024-08-02 14:42:00-04:00,126.46,126.36,Buy,KEYS19
2024-08-02 14:44:00-04:00,126.36,126.36,Sell - Stop Loss,KEYS19
2024-08-02 15:12:00-04:00,126.57,126.49,Buy,KEYS20
2024-08-02 15:14:00-04:00,126.74,126.49,Sell - Away from SMA,KEYS20
2024-08-05 13:14:00-04:00,122.59,122.56,Buy,KEYS21
2024-08-05 13:16:00-04:00,122.94,122.56,Sell - Away from SMA,KEYS21
2024-08-06 09:56:00-04:00,124.44,124.09,Buy,KEYS22
2024-08-06 09:58:00-04:00,124.09,124.09,Sell - Stop Loss,KEYS22
2024-08-06 10:24:00-04:00,123.91,123.65,Buy,KEYS23
2024-08-06 10:26:00-04:00,123.95,123.65,Sell - Away from SMA,KEYS23
2024-08-06 10:46:00-04:00,124.07,123.85,Buy,KEYS24
2024-08-06 10:48:00-04:00,124.26,123.85,Sell - Away from SMA,KEYS24
2024-08-06 10:52:00-04:00,124.13,124.06,Buy,KEYS25
2024-08-06 10:54:00-04:00,124.06,124.06,Sell - Stop Loss,KEYS25
2024-08-07 10:10:00-04:00,124.58,124.25,Buy,KEYS26
2024-08-07 10:12:00-04:00,124.54,124.25,Sell - Away from SMA,KEYS26
2024-08-08 10:28:00-04:00,122.22,121.99,Buy,KEYS27
2024-08-08 10:30:00-04:00,122.42,121.99,Sell - Away from SMA,KEYS27
2024-08-09 13:14:00-04:00,123.20,123.04,Buy,KEYS28
2024-08-09 13:16:00-04:00,123.47,123.04,Sell - Away from SMA,KEYS28
2024-08-09 14:08:00-04:00,123.12,123.06,Buy,KEYS29
2024-08-09 14:10:00-04:00,123.06,123.06,Sell - Stop Loss,KEYS29
2024-08-12 11:54:00-04:00,123.92,123.86,Buy,KEYS30
2024-08-12 11:56:00-04:00,123.86,123.86,Sell - Stop Loss,KEYS30
2024-08-12 14:10:00-04:00,124.07,123.93,Buy,KEYS31
2024-08-12 14:14:00-04:00,124.17,123.93,Sell - Away from SMA,KEYS31
2024-08-13 12:02:00-04:00,126.70,126.59,Buy,KEYS32
2024-08-13 12:04:00-04:00,126.76,126.59,Sell - Away from SMA,KEYS32
2024-08-13 12:40:00-04:00,127.11,127.08,Buy,KEYS33
2024-08-13 12:42:00-04:00,127.32,127.08,Sell - Away from SMA,KEYS33
2024-08-13 12:50:00-04:00,127.28,127.23,Buy,KEYS34
2024-08-13 12:52:00-04:00,127.40,127.23,Sell - Away from SMA,KEYS34
2024-08-14 11:38:00-04:00,128.04,127.88,Buy,KEYS35
2024-08-14 11:42:00-04:00,128.07,127.88,Sell - Away from SMA,KEYS35
2024-08-14 11:46:00-04:00,128.10,128.04,Buy,KEYS36
2024-08-14 11:48:00-04:00,128.04,128.04,Sell - Stop Loss,KEYS36
2024-08-14 11:54:00-04:00,128.19,128.10,Buy,KEYS37
2024-08-14 11:56:00-04:00,128.37,128.10,Sell - Away from SMA,KEYS37
2024-08-14 12:30:00-04:00,127.65,127.59,Buy,KEYS38
2024-08-14 12:32:00-04:00,127.70,127.59,Sell - Away from SMA,KEYS38
2024-08-15 09:44:00-04:00,130.71,130.62,Buy,KEYS39
2024-08-15 09:46:00-04:00,131.08,130.62,Sell - Away from SMA,KEYS39
2024-08-15 11:42:00-04:00,131.44,131.39,Buy,KEYS40
2024-08-15 11:46:00-04:00,131.39,131.39,Sell - Stop Loss,KEYS40
2024-08-15 11:58:00-04:00,131.48,131.43,Buy,KEYS41
2024-08-15 12:02:00-04:00,131.62,131.43,Sell - Away from SMA,KEYS41
2024-08-15 13:40:00-04:00,131.79,131.76,Buy,KEYS42
2024-08-15 13:44:00-04:00,131.96,131.76,Sell - Away from SMA,KEYS42
2024-08-16 10:56:00-04:00,134.17,134.05,Buy,KEYS43
2024-08-16 10:58:00-04:00,134.23,134.05,Sell - Away from SMA,KEYS43
2024-08-16 11:26:00-04:00,134.63,134.56,Buy,KEYS44
2024-08-16 11:28:00-04:00,134.68,134.56,Sell - Away from SMA,KEYS44
2024-08-16 12:28:00-04:00,134.72,134.60,Buy,KEYS45
2024-08-16 12:32:00-04:00,134.78,134.60,Sell - Away from SMA,KEYS45
2024-08-16 13:32:00-04:00,135.14,135.08,Buy,KEYS46
2024-08-16 13:34:00-04:00,135.08,135.08,Sell - Stop Loss,KEYS46
2024-08-16 15:06:00-04:00,135.13,135.03,Buy,KEYS47
2024-08-16 15:20:00-04:00,135.03,135.03,Sell - Stop Loss,KEYS47
2024-08-19 10:06:00-04:00,135.96,135.80,Buy,KEYS48
2024-08-19 10:08:00-04:00,136.08,135.80,Sell - Away from SMA,KEYS48
2024-08-19 10:58:00-04:00,136.56,136.52,Buy,KEYS49
2024-08-19 11:00:00-04:00,136.87,136.52,Sell - Away from SMA,KEYS49
2024-08-19 12:48:00-04:00,137.20,137.15,Buy,KEYS50
2024-08-19 12:50:00-04:00,137.15,137.15,Sell - Stop Loss,KEYS50
2024-08-19 14:16:00-04:00,137.68,137.62,Buy,KEYS51
2024-08-19 14:18:00-04:00,137.75,137.62,Sell - Away from SMA,KEYS51
2024-08-19 14:24:00-04:00,137.87,137.82,Buy,KEYS52
2024-08-19 14:26:00-04:00,138.18,137.82,Sell - Away from SMA,KEYS52
2024-08-19 15:30:00-04:00,138.46,138.44,Buy,KEYS53
2024-08-19 15:32:00-04:00,138.53,138.44,Sell - Away from SMA,KEYS53
2024-08-19 15:46:00-04:00,138.48,138.37,Buy,KEYS54
