Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:44:00-04:00,20.84,20.81,Buy,KIM1
2024-07-15 13:52:00-04:00,20.81,20.81,Sell - Stop Loss,KIM1
2024-07-16 14:08:00-04:00,21.18,21.16,Buy,KIM2
2024-07-17 09:34:00-04:00,21.37,21.16,Sell - Away from SMA,KIM2
2024-07-19 13:54:00-04:00,21.18,21.16,Buy,KIM3
2024-07-19 14:08:00-04:00,21.16,21.16,Sell - Stop Loss,KIM3
2024-07-22 11:50:00-04:00,21.31,21.27,Buy,KIM4
2024-07-22 11:58:00-04:00,21.27,21.27,Sell - Stop Loss,KIM4
2024-07-26 10:20:00-04:00,20.97,20.93,Buy,KIM5
2024-07-29 09:30:00-04:00,21.33,20.93,Sell - Away from SMA,KIM5
2024-07-29 10:54:00-04:00,21.28,21.23,Buy,KIM6
2024-07-30 10:48:00-04:00,21.62,21.23,Sell - Away from SMA,KIM6
2024-07-30 11:14:00-04:00,21.67,21.62,Buy,KIM7
2024-07-30 11:46:00-04:00,21.74,21.68,Buy,KIM8
2024-07-30 14:52:00-04:00,21.94,21.90,Buy,KIM9
2024-07-31 09:30:00-04:00,21.92,21.62,Sell - Away from SMA,KIM7
2024-07-31 09:30:00-04:00,21.92,21.68,Sell - Away from SMA,KIM8
2024-07-31 09:30:00-04:00,21.92,21.90,Sell - Away from SMA,KIM9
2024-08-07 09:52:00-04:00,21.92,21.87,Buy,KIM10
2024-08-07 09:56:00-04:00,22.04,21.87,Sell - Away from SMA,KIM10
2024-08-08 13:40:00-04:00,21.85,21.82,Buy,KIM11
2024-08-08 13:52:00-04:00,21.82,21.82,Sell - Stop Loss,KIM11
2024-08-15 10:50:00-04:00,22.38,22.35,Buy,KIM12
2024-08-15 14:36:00-04:00,22.35,22.35,Sell - Stop Loss,KIM12
2024-08-19 12:20:00-04:00,22.30,22.27,Buy,KIM13
2024-08-19 13:28:00-04:00,22.27,22.27,Sell - Stop Loss,KIM13
2024-08-21 14:14:00-04:00,22.72,22.69,Buy,KIM14
2024-08-21 14:28:00-04:00,22.77,22.74,Buy,KIM15
2024-08-22 09:48:00-04:00,22.74,22.74,Sell - Stop Loss,KIM15
2024-08-22 09:50:00-04:00,22.69,22.69,Sell - Away from SMA,KIM14
