Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,141.540,141.570,141.340,141.340,141.340,25464.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,141.380,141.600,141.345,141.480,141.480,3997.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,141.480,141.750,141.350,141.735,141.735,2662.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,141.735,141.770,141.560,141.770,141.770,3634.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,141.760,141.780,141.590,141.630,141.630,1861.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,141.660,141.660,141.460,141.460,141.460,2704.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,141.390,141.510,141.390,141.410,141.410,2508.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,141.455,141.690,141.445,141.580,141.580,5430.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,141.600,141.700,141.600,141.635,141.635,4725.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,141.630,141.630,141.460,141.460,141.460,2618.000,141.550,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,141.530,141.650,141.510,141.650,141.650,3406.000,141.581,nan,False,Noise Bar,0.031,Empty
2024-07-15 09:52:00-04:00,141.670,141.670,141.590,141.595,141.595,3560.000,141.593,nan,False,Noise Bar,0.012,Empty
2024-07-15 09:54:00-04:00,141.610,141.650,141.480,141.550,141.550,3746.000,141.574,nan,False,Noise Bar,-0.018,Empty
2024-07-15 09:56:00-04:00,141.590,141.705,141.545,141.650,141.650,4606.000,141.562,nan,False,Noise Bar,-0.012,Empty
2024-07-15 09:58:00-04:00,141.700,141.700,141.560,141.630,141.630,4114.000,141.562,nan,False,Noise Bar,0.000,Empty
2024-07-15 10:00:00-04:00,141.598,141.650,141.540,141.560,141.560,4614.000,141.572,nan,False,Noise Bar,0.010,Empty
2024-07-15 10:02:00-04:00,141.570,141.590,141.490,141.520,141.520,3870.000,141.583,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:04:00-04:00,141.580,141.680,141.515,141.595,141.595,7461.000,141.585,nan,False,Noise Bar,0.001,Empty
2024-07-15 10:06:00-04:00,141.580,141.800,141.580,141.750,141.750,4925.000,141.596,nan,False,Noise Bar,0.012,Empty
2024-07-15 10:08:00-04:00,141.790,141.790,141.530,141.585,141.585,5285.000,141.609,nan,False,Noise Bar,0.012,Empty
2024-07-15 10:10:00-04:00,141.500,141.660,141.500,141.660,141.660,4031.000,141.610,nan,False,Noise Bar,0.001,Empty
2024-07-15 10:12:00-04:00,141.700,141.720,141.510,141.560,141.560,4864.000,141.606,nan,False,Noise Bar,-0.004,Empty
2024-07-15 10:14:00-04:00,141.577,141.650,141.540,141.650,141.650,5886.000,141.616,nan,False,Noise Bar,0.010,Empty
2024-07-15 10:16:00-04:00,141.670,141.740,141.640,141.640,141.640,3505.000,141.615,nan,False,Noise Bar,-0.001,Empty
2024-07-15 10:18:00-04:00,141.660,141.675,141.610,141.610,141.610,3216.000,141.613,nan,False,Noise Bar,-0.002,Empty
2024-07-15 10:20:00-04:00,141.530,141.530,141.350,141.350,141.350,3040.000,141.592,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:22:00-04:00,141.350,141.390,141.245,141.390,141.390,11522.000,141.579,nan,False,Noise Bar,-0.013,Empty
2024-07-15 10:24:00-04:00,141.400,141.510,141.290,141.500,141.500,30332.000,141.570,nan,False,Noise Bar,-0.010,Empty
2024-07-15 10:26:00-04:00,141.480,141.530,141.410,141.450,141.450,14125.000,141.540,nan,False,Noise Bar,-0.030,Empty
2024-07-15 10:28:00-04:00,141.500,141.500,141.405,141.430,141.430,5564.000,141.524,nan,False,Noise Bar,-0.016,Empty
2024-07-15 10:30:00-04:00,141.430,141.540,141.430,141.490,141.490,4322.000,141.507,nan,False,Noise Bar,-0.017,Empty
2024-07-15 10:32:00-04:00,141.510,141.666,141.510,141.600,141.600,6847.000,141.511,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:34:00-04:00,141.630,141.680,141.560,141.560,141.560,4679.000,141.502,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:36:00-04:00,141.580,141.620,141.550,141.600,141.600,8167.000,141.498,nan,False,Noise Bar,-0.004,Empty
2024-07-15 10:38:00-04:00,141.620,141.630,141.580,141.600,141.600,7850.000,141.497,nan,False,Noise Bar,-0.001,Empty
2024-07-15 10:40:00-04:00,141.600,141.620,141.540,141.560,141.560,6628.000,141.518,nan,False,Noise Bar,0.021,Empty
2024-07-15 10:42:00-04:00,141.590,141.610,141.565,141.600,141.600,6114.000,141.539,nan,False,Noise Bar,0.021,Empty
2024-07-15 10:44:00-04:00,141.630,141.640,141.530,141.530,141.530,5213.000,141.542,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:46:00-04:00,141.555,141.590,141.495,141.510,141.510,6187.000,141.548,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:48:00-04:00,141.485,141.565,141.450,141.540,141.540,5779.000,141.559,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:50:00-04:00,141.540,141.550,141.460,141.460,141.460,9073.000,141.556,nan,False,Noise Bar,-0.003,Empty
