Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:06:00-04:00,141.87,141.81,Buy,KMB1
2024-07-15 13:08:00-04:00,142.01,141.81,Sell - Away from SMA,KMB1
2024-07-15 13:14:00-04:00,142.10,142.01,Buy,KMB2
2024-07-15 13:16:00-04:00,142.16,142.01,Sell - Away from SMA,KMB2
2024-07-16 15:54:00-04:00,142.41,142.29,Buy,KMB3
2024-07-16 15:56:00-04:00,142.61,142.29,Sell - Away from SMA,KMB3
2024-07-17 10:02:00-04:00,143.96,143.81,Buy,KMB4
2024-07-17 10:04:00-04:00,144.26,143.81,Sell - Away from SMA,KMB4
2024-07-17 10:40:00-04:00,144.56,144.45,Buy,KMB5
2024-07-17 10:42:00-04:00,144.46,144.45,Sell - Away from SMA,KMB5
2024-07-17 12:14:00-04:00,144.19,144.08,Buy,KMB6
2024-07-17 12:16:00-04:00,144.26,144.08,Sell - Away from SMA,KMB6
2024-07-17 12:24:00-04:00,144.48,144.40,Buy,KMB7
2024-07-17 12:26:00-04:00,144.53,144.40,Sell - Away from SMA,KMB7
2024-07-17 12:40:00-04:00,144.54,144.42,Buy,KMB8
2024-07-17 12:44:00-04:00,144.59,144.42,Sell - Away from SMA,KMB8
2024-07-18 12:02:00-04:00,145.36,145.19,Buy,KMB9
2024-07-18 12:04:00-04:00,145.48,145.19,Sell - Away from SMA,KMB9
2024-07-18 12:26:00-04:00,145.30,145.20,Buy,KMB10
2024-07-18 12:28:00-04:00,145.41,145.20,Sell - Away from SMA,KMB10
2024-07-19 15:12:00-04:00,143.98,143.93,Buy,KMB11
2024-07-19 15:14:00-04:00,144.00,143.93,Sell - Away from SMA,KMB11
2024-07-24 10:30:00-04:00,137.08,136.91,Buy,KMB12
2024-07-24 10:32:00-04:00,136.92,136.91,Sell - Away from SMA,KMB12
2024-07-24 10:56:00-04:00,137.47,137.39,Buy,KMB13
2024-07-24 11:00:00-04:00,137.64,137.39,Sell - Away from SMA,KMB13
2024-07-24 11:12:00-04:00,137.86,137.69,Buy,KMB14
2024-07-24 11:14:00-04:00,138.02,137.69,Sell - Away from SMA,KMB14
2024-07-24 12:28:00-04:00,138.72,138.64,Buy,KMB15
2024-07-24 12:30:00-04:00,138.64,138.64,Sell - Stop Loss,KMB15
2024-07-24 12:44:00-04:00,139.17,139.02,Buy,KMB16
2024-07-24 12:46:00-04:00,139.30,139.02,Sell - Away from SMA,KMB16
2024-07-24 14:52:00-04:00,139.88,139.79,Buy,KMB17
2024-07-24 14:54:00-04:00,140.09,139.79,Sell - Away from SMA,KMB17
2024-07-24 15:54:00-04:00,140.21,140.11,Buy,KMB18
2024-07-24 15:56:00-04:00,140.42,140.11,Sell - Away from SMA,KMB18
2024-07-26 10:52:00-04:00,142.04,141.96,Buy,KMB19
2024-07-26 10:54:00-04:00,142.15,141.96,Sell - Away from SMA,KMB19
2024-07-26 12:00:00-04:00,141.99,141.94,Buy,KMB20
2024-07-26 12:02:00-04:00,142.06,141.94,Sell - Away from SMA,KMB20
2024-07-29 13:16:00-04:00,141.18,141.13,Buy,KMB21
2024-07-29 13:18:00-04:00,141.13,141.13,Sell - Stop Loss,KMB21
2024-07-29 14:32:00-04:00,141.44,141.36,Buy,KMB22
2024-07-29 14:34:00-04:00,141.50,141.36,Sell - Away from SMA,KMB22
2024-07-31 13:40:00-04:00,135.30,135.26,Buy,KMB23
2024-07-31 13:42:00-04:00,135.26,135.26,Sell - Stop Loss,KMB23
2024-08-01 10:26:00-04:00,136.41,136.29,Buy,KMB24
2024-08-01 10:28:00-04:00,136.29,136.29,Sell - Stop Loss,KMB24
2024-08-01 13:20:00-04:00,138.42,138.35,Buy,KMB25
2024-08-01 13:22:00-04:00,138.55,138.35,Sell - Away from SMA,KMB25
2024-08-02 15:30:00-04:00,139.29,139.21,Buy,KMB26
2024-08-02 15:32:00-04:00,139.56,139.21,Sell - Away from SMA,KMB26
2024-08-05 15:18:00-04:00,138.08,137.99,Buy,KMB27
2024-08-05 15:22:00-04:00,137.99,137.99,Sell - Stop Loss,KMB27
2024-08-06 09:34:00-04:00,139.66,139.17,Buy,KMB28
2024-08-06 09:36:00-04:00,140.46,139.17,Sell - Away from SMA,KMB28
2024-08-06 09:40:00-04:00,140.39,140.14,Buy,KMB29
2024-08-06 09:42:00-04:00,140.65,140.14,Sell - Away from SMA,KMB29
2024-08-07 10:56:00-04:00,141.20,141.08,Buy,KMB30
2024-08-07 10:58:00-04:00,141.31,141.08,Sell - Away from SMA,KMB30
2024-08-09 15:34:00-04:00,140.53,140.40,Buy,KMB31
2024-08-09 15:36:00-04:00,140.75,140.40,Sell - Away from SMA,KMB31
2024-08-12 14:26:00-04:00,138.32,138.21,Buy,KMB32
2024-08-12 14:34:00-04:00,138.21,138.21,Sell - Stop Loss,KMB32
2024-08-12 14:48:00-04:00,138.42,138.30,Buy,KMB33
2024-08-12 14:50:00-04:00,138.54,138.30,Sell - Away from SMA,KMB33
2024-08-13 09:32:00-04:00,138.50,138.43,Buy,KMB34
2024-08-13 09:34:00-04:00,138.92,138.43,Sell - Away from SMA,KMB34
2024-08-13 12:42:00-04:00,138.70,138.61,Buy,KMB35
2024-08-13 12:44:00-04:00,138.76,138.61,Sell - Away from SMA,KMB35
2024-08-14 10:30:00-04:00,139.37,139.28,Buy,KMB36
2024-08-14 10:34:00-04:00,139.56,139.28,Sell - Away from SMA,KMB36
2024-08-14 11:20:00-04:00,139.89,139.82,Buy,KMB37
2024-08-14 11:22:00-04:00,139.93,139.82,Sell - Away from SMA,KMB37
2024-08-14 12:10:00-04:00,140.40,140.37,Buy,KMB38
2024-08-14 12:12:00-04:00,140.51,140.37,Sell - Away from SMA,KMB38
2024-08-14 12:38:00-04:00,140.53,140.46,Buy,KMB39
2024-08-14 12:40:00-04:00,140.62,140.46,Sell - Away from SMA,KMB39
2024-08-15 13:12:00-04:00,141.33,141.30,Buy,KMB40
2024-08-15 13:14:00-04:00,141.30,141.30,Sell - Stop Loss,KMB40
2024-08-15 15:58:00-04:00,141.72,141.58,Buy,KMB41
2024-08-16 09:30:00-04:00,141.97,141.58,Sell - Away from SMA,KMB41
2024-08-16 12:34:00-04:00,142.02,141.97,Buy,KMB42
2024-08-16 12:46:00-04:00,141.97,141.97,Sell - Stop Loss,KMB42
2024-08-16 14:46:00-04:00,142.57,142.53,Buy,KMB43
2024-08-16 14:48:00-04:00,142.53,142.53,Sell - Stop Loss,KMB43
2024-08-16 14:58:00-04:00,142.61,142.57,Buy,KMB44
2024-08-16 15:04:00-04:00,142.57,142.57,Sell - Stop Loss,KMB44
2024-08-19 09:54:00-04:00,143.10,143.00,Buy,KMB45
2024-08-19 09:56:00-04:00,143.26,143.00,Sell - Away from SMA,KMB45
2024-08-19 14:54:00-04:00,143.55,143.50,Buy,KMB46
2024-08-19 15:00:00-04:00,143.50,143.50,Sell - Stop Loss,KMB46
2024-08-20 10:16:00-04:00,143.81,143.70,Buy,KMB47
2024-08-20 10:18:00-04:00,143.90,143.70,Sell - Away from SMA,KMB47
2024-08-20 11:40:00-04:00,143.94,143.89,Buy,KMB48
2024-08-20 11:42:00-04:00,144.12,143.89,Sell - Away from SMA,KMB48
2024-08-22 12:28:00-04:00,144.61,144.58,Buy,KMB49
2024-08-22 12:34:00-04:00,144.74,144.58,Sell - Away from SMA,KMB49
2024-08-23 14:56:00-04:00,143.03,142.99,Buy,KMB50
2024-08-23 14:58:00-04:00,143.11,142.99,Sell - Away from SMA,KMB50
2024-08-23 15:04:00-04:00,143.17,143.11,Buy,KMB51
2024-08-23 15:16:00-04:00,143.24,143.18,Buy,KMB52
2024-08-23 15:24:00-04:00,143.25,143.21,Buy,KMB53
2024-08-23 15:26:00-04:00,143.34,143.11,Sell - Away from SMA,KMB51
2024-08-23 15:26:00-04:00,143.34,143.18,Sell - Away from SMA,KMB52
2024-08-23 15:26:00-04:00,143.34,143.21,Sell - Away from SMA,KMB53
