Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,63.790,63.940,63.730,63.740,63.740,317651.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,63.740,63.870,63.670,63.715,63.715,34348.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,63.730,63.835,63.730,63.775,63.775,27727.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,63.760,63.890,63.750,63.850,63.850,36049.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,63.850,63.860,63.790,63.820,63.820,20738.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,63.780,63.820,63.770,63.785,63.785,22626.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,63.780,63.825,63.780,63.800,63.800,24890.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,63.800,63.880,63.765,63.790,63.790,31826.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,63.780,63.850,63.750,63.750,63.750,32047.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,63.748,63.805,63.720,63.775,63.775,29662.000,63.780,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,63.780,63.840,63.775,63.810,63.810,37544.000,63.787,nan,False,Noise Bar,0.007,Empty
2024-07-15 09:52:00-04:00,63.805,63.900,63.805,63.865,63.865,24184.000,63.802,nan,False,Noise Bar,0.015,Empty
2024-07-15 09:54:00-04:00,63.865,63.885,63.820,63.820,63.820,17029.000,63.807,nan,False,Noise Bar,0.004,Empty
2024-07-15 09:56:00-04:00,63.830,63.850,63.790,63.835,63.835,22421.000,63.805,nan,False,Noise Bar,-0.001,Empty
2024-07-15 09:58:00-04:00,63.840,63.846,63.795,63.820,63.820,27962.000,63.805,nan,False,Noise Bar,0.000,Empty
2024-07-15 10:00:00-04:00,63.825,63.840,63.700,63.705,63.705,41319.000,63.797,nan,False,Noise Bar,-0.008,Empty
2024-07-15 10:02:00-04:00,63.707,63.710,63.680,63.695,63.695,41568.000,63.787,nan,False,Noise Bar,-0.010,Empty
2024-07-15 10:04:00-04:00,63.700,63.740,63.660,63.710,63.710,71493.000,63.779,nan,False,Noise Bar,-0.008,Empty
2024-07-15 10:06:00-04:00,63.705,63.740,63.695,63.725,63.725,32370.000,63.776,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:08:00-04:00,63.725,63.735,63.680,63.705,63.705,44953.000,63.769,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:10:00-04:00,63.700,63.715,63.680,63.698,63.698,33272.000,63.758,nan,False,Noise Bar,-0.011,Empty
2024-07-15 10:12:00-04:00,63.695,63.700,63.610,63.615,63.615,45936.000,63.733,nan,False,Noise Bar,-0.025,Empty
2024-07-15 10:14:00-04:00,63.615,63.680,63.590,63.675,63.675,47009.000,63.718,nan,False,Noise Bar,-0.015,Empty
2024-07-15 10:16:00-04:00,63.675,63.730,63.670,63.720,63.720,31130.000,63.707,nan,False,Noise Bar,-0.011,Empty
2024-07-15 10:18:00-04:00,63.710,63.735,63.650,63.655,63.655,37330.000,63.690,nan,False,Noise Bar,-0.017,Empty
2024-07-15 10:20:00-04:00,63.650,63.665,63.595,63.615,63.615,45806.000,63.681,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:22:00-04:00,63.610,63.610,63.565,63.565,63.565,32891.000,63.668,nan,False,Noise Bar,-0.013,Empty
2024-07-15 10:24:00-04:00,63.565,63.580,63.530,63.580,63.580,54302.000,63.655,nan,False,Noise Bar,-0.013,Empty
2024-07-15 10:26:00-04:00,63.580,63.625,63.565,63.585,63.585,32697.000,63.641,nan,False,Noise Bar,-0.014,Empty
2024-07-15 10:28:00-04:00,63.590,63.615,63.565,63.595,63.595,24611.000,63.630,nan,False,Noise Bar,-0.011,Empty
2024-07-15 10:30:00-04:00,63.595,63.670,63.595,63.670,63.670,25958.000,63.628,nan,False,Noise Bar,-0.003,Empty
