Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:30:00-04:00,64.03,63.96,Buy,KO1
2024-07-16 13:18:00-04:00,63.99,63.96,Sell - Away from SMA,KO1
2024-07-18 10:18:00-04:00,65.57,65.52,Buy,KO2
2024-07-18 10:30:00-04:00,65.68,65.52,Sell - Away from SMA,KO2
2024-07-22 14:22:00-04:00,64.71,64.66,Buy,KO3
2024-07-22 14:40:00-04:00,64.85,64.66,Sell - Away from SMA,KO3
2024-07-24 12:42:00-04:00,65.45,65.41,Buy,KO4
2024-07-24 12:46:00-04:00,65.54,65.41,Sell - Away from SMA,KO4
2024-07-24 14:06:00-04:00,65.72,65.68,Buy,KO5
2024-07-25 09:30:00-04:00,66.19,65.68,Sell - Away from SMA,KO5
2024-07-25 09:52:00-04:00,66.55,66.40,Buy,KO6
2024-07-25 09:54:00-04:00,66.65,66.40,Sell - Away from SMA,KO6
2024-07-25 11:44:00-04:00,66.47,66.41,Buy,KO7
2024-07-25 11:46:00-04:00,66.54,66.41,Sell - Away from SMA,KO7
2024-07-26 11:14:00-04:00,66.68,66.63,Buy,KO8
2024-07-26 11:16:00-04:00,66.81,66.63,Sell - Away from SMA,KO8
2024-07-30 12:50:00-04:00,67.63,67.56,Buy,KO9
2024-07-30 12:52:00-04:00,67.78,67.56,Sell - Away from SMA,KO9
2024-07-30 13:54:00-04:00,67.58,67.54,Buy,KO10
2024-07-30 14:46:00-04:00,67.54,67.54,Sell - Stop Loss,KO10
2024-07-30 15:44:00-04:00,67.73,67.67,Buy,KO11
2024-07-30 15:58:00-04:00,67.67,67.67,Sell - Stop Loss,KO11
2024-07-31 13:24:00-04:00,67.07,67.03,Buy,KO12
2024-07-31 13:48:00-04:00,67.03,67.03,Sell - Stop Loss,KO12
2024-08-01 11:36:00-04:00,67.21,67.16,Buy,KO13
2024-08-01 11:38:00-04:00,67.30,67.16,Sell - Away from SMA,KO13
2024-08-01 13:10:00-04:00,67.62,67.56,Buy,KO14
2024-08-01 13:12:00-04:00,67.67,67.56,Sell - Away from SMA,KO14
2024-08-01 15:32:00-04:00,68.02,67.94,Buy,KO15
2024-08-01 15:34:00-04:00,68.10,67.94,Sell - Away from SMA,KO15
2024-08-02 15:48:00-04:00,69.13,69.07,Buy,KO16
2024-08-02 15:50:00-04:00,69.07,69.07,Sell - Stop Loss,KO16
2024-08-05 09:40:00-04:00,69.03,68.83,Buy,KO17
2024-08-05 09:42:00-04:00,69.00,68.83,Sell - Away from SMA,KO17
2024-08-06 09:40:00-04:00,68.47,68.32,Buy,KO18
2024-08-06 09:42:00-04:00,68.51,68.32,Sell - Away from SMA,KO18
2024-08-08 13:58:00-04:00,68.78,68.72,Buy,KO19
2024-08-08 14:02:00-04:00,68.72,68.72,Sell - Stop Loss,KO19
2024-08-09 15:06:00-04:00,68.62,68.58,Buy,KO20
2024-08-09 15:30:00-04:00,68.70,68.66,Buy,KO21
2024-08-09 15:40:00-04:00,68.66,68.66,Sell - Stop Loss,KO21
2024-08-09 15:46:00-04:00,68.58,68.58,Sell - Stop Loss,KO20
2024-08-13 10:12:00-04:00,68.28,68.19,Buy,KO22
2024-08-13 10:18:00-04:00,68.19,68.19,Sell - Stop Loss,KO22
2024-08-16 10:40:00-04:00,68.89,68.83,Buy,KO23
2024-08-16 10:42:00-04:00,68.97,68.83,Sell - Away from SMA,KO23
2024-08-16 12:14:00-04:00,68.91,68.88,Buy,KO24
2024-08-16 12:20:00-04:00,68.88,68.88,Sell - Stop Loss,KO24
2024-08-23 15:16:00-04:00,69.47,69.43,Buy,KO25
2024-08-23 15:40:00-04:00,69.70,69.43,Sell - Away from SMA,KO25
