Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-29 12:30:00-04:00,18.82,18.78,Buy,KVUE1
2024-07-30 09:30:00-04:00,18.78,18.78,Sell - Stop Loss,KVUE1
2024-08-02 12:36:00-04:00,18.63,18.60,Buy,KVUE2
2024-08-02 13:44:00-04:00,18.60,18.60,Sell - Stop Loss,KVUE2
2024-08-06 15:56:00-04:00,20.79,20.74,Buy,KVUE3
2024-08-06 15:58:00-04:00,20.90,20.74,Sell - Away from SMA,KVUE3
2024-08-08 10:38:00-04:00,20.87,20.83,Buy,KVUE4
2024-08-08 10:52:00-04:00,20.83,20.83,Sell - Stop Loss,KVUE4
2024-08-12 15:46:00-04:00,21.03,21.00,Buy,KVUE5
2024-08-13 09:30:00-04:00,21.12,21.05,Buy,KVUE6
2024-08-13 09:30:00-04:00,21.31,21.00,Sell - Away from SMA,KVUE5
2024-08-13 09:32:00-04:00,21.36,21.05,Sell - Away from SMA,KVUE6
2024-08-13 14:00:00-04:00,21.39,21.36,Buy,KVUE7
2024-08-13 14:20:00-04:00,21.36,21.36,Sell - Stop Loss,KVUE7
2024-08-15 11:00:00-04:00,21.48,21.44,Buy,KVUE8
2024-08-15 11:20:00-04:00,21.44,21.44,Sell - Stop Loss,KVUE8
2024-08-19 11:46:00-04:00,21.76,21.74,Buy,KVUE9
2024-08-19 12:42:00-04:00,21.74,21.74,Sell - Stop Loss,KVUE9
2024-08-23 10:04:00-04:00,21.77,21.72,Buy,KVUE10
2024-08-23 11:06:00-04:00,21.87,21.83,Buy,KVUE11
2024-08-23 11:44:00-04:00,21.83,21.83,Sell - Stop Loss,KVUE11
2024-08-23 12:26:00-04:00,21.72,21.72,Sell - Stop Loss,KVUE10
