Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:08:00-04:00,444.31,443.95,Buy,LIN1
2024-07-16 10:10:00-04:00,444.61,443.95,Sell - Away from SMA,LIN1
2024-07-17 09:44:00-04:00,447.96,447.67,Buy,LIN2
2024-07-17 09:46:00-04:00,447.67,447.67,Sell - Stop Loss,LIN2
2024-07-17 11:22:00-04:00,450.12,449.96,Buy,LIN3
2024-07-17 11:24:00-04:00,449.96,449.96,Sell - Stop Loss,LIN3
2024-07-17 11:46:00-04:00,450.08,449.94,Buy,LIN4
2024-07-17 11:48:00-04:00,450.43,449.94,Sell - Away from SMA,LIN4
2024-07-17 13:08:00-04:00,450.60,450.35,Buy,LIN5
2024-07-17 13:10:00-04:00,450.35,450.35,Sell - Stop Loss,LIN5
2024-07-17 13:42:00-04:00,449.97,449.75,Buy,LIN6
2024-07-17 13:46:00-04:00,450.68,449.75,Sell - Away from SMA,LIN6
2024-07-22 10:18:00-04:00,446.71,446.58,Buy,LIN7
2024-07-22 10:20:00-04:00,447.18,446.58,Sell - Away from SMA,LIN7
2024-07-22 14:54:00-04:00,447.68,447.59,Buy,LIN8
2024-07-22 14:56:00-04:00,447.59,447.59,Sell - Stop Loss,LIN8
2024-07-25 12:16:00-04:00,447.53,447.34,Buy,LIN9
2024-07-25 12:18:00-04:00,447.80,447.34,Sell - Away from SMA,LIN9
2024-07-26 10:00:00-04:00,447.12,446.84,Buy,LIN10
2024-07-26 10:02:00-04:00,449.00,446.84,Sell - Away from SMA,LIN10
2024-07-26 10:26:00-04:00,449.01,448.84,Buy,LIN11
2024-07-26 10:28:00-04:00,449.79,448.84,Sell - Away from SMA,LIN11
2024-07-26 11:02:00-04:00,449.78,449.42,Buy,LIN12
2024-07-26 11:04:00-04:00,450.02,449.42,Sell - Away from SMA,LIN12
2024-07-26 13:00:00-04:00,451.58,451.43,Buy,LIN13
2024-07-26 13:02:00-04:00,451.43,451.43,Sell - Stop Loss,LIN13
2024-07-31 11:08:00-04:00,457.59,457.40,Buy,LIN14
2024-07-31 11:10:00-04:00,458.00,457.40,Sell - Away from SMA,LIN14
2024-08-02 15:58:00-04:00,454.29,453.52,Buy,LIN15
2024-08-05 09:30:00-04:00,453.52,453.52,Sell - Stop Loss,LIN15
2024-08-06 09:48:00-04:00,446.80,446.23,Buy,LIN16
2024-08-06 09:50:00-04:00,447.81,446.23,Sell - Away from SMA,LIN16
2024-08-06 11:56:00-04:00,449.84,449.67,Buy,LIN17
2024-08-06 11:58:00-04:00,449.67,449.67,Sell - Stop Loss,LIN17
2024-08-09 11:22:00-04:00,445.99,445.79,Buy,LIN18
2024-08-09 11:24:00-04:00,446.04,445.79,Sell - Away from SMA,LIN18
2024-08-09 11:46:00-04:00,446.51,446.26,Buy,LIN19
2024-08-09 11:48:00-04:00,446.87,446.26,Sell - Away from SMA,LIN19
2024-08-09 13:00:00-04:00,445.58,445.54,Buy,LIN20
2024-08-09 13:02:00-04:00,445.96,445.54,Sell - Away from SMA,LIN20
2024-08-13 12:42:00-04:00,449.74,449.60,Buy,LIN21
2024-08-13 12:44:00-04:00,449.60,449.60,Sell - Stop Loss,LIN21
2024-08-13 14:28:00-04:00,449.00,448.76,Buy,LIN22
2024-08-13 14:32:00-04:00,449.08,448.76,Sell - Away from SMA,LIN22
2024-08-15 11:46:00-04:00,455.34,455.12,Buy,LIN23
2024-08-15 11:48:00-04:00,455.57,455.12,Sell - Away from SMA,LIN23
2024-08-15 15:06:00-04:00,455.89,455.80,Buy,LIN24
2024-08-15 15:08:00-04:00,456.36,455.80,Sell - Away from SMA,LIN24
2024-08-19 10:06:00-04:00,457.36,457.19,Buy,LIN25
2024-08-19 10:08:00-04:00,457.92,457.19,Sell - Away from SMA,LIN25
2024-08-21 09:56:00-04:00,459.40,459.33,Buy,LIN26
2024-08-21 09:58:00-04:00,459.94,459.33,Sell - Away from SMA,LIN26
2024-08-21 11:16:00-04:00,460.62,460.50,Buy,LIN27
2024-08-21 11:18:00-04:00,460.87,460.50,Sell - Away from SMA,LIN27
2024-08-22 10:12:00-04:00,462.71,462.57,Buy,LIN28
2024-08-22 10:14:00-04:00,463.04,462.57,Sell - Away from SMA,LIN28
2024-08-22 14:46:00-04:00,461.28,461.25,Buy,LIN29
2024-08-22 14:48:00-04:00,461.61,461.25,Sell - Away from SMA,LIN29
2024-08-23 10:00:00-04:00,462.40,462.07,Buy,LIN30
2024-08-23 10:02:00-04:00,463.56,462.07,Sell - Away from SMA,LIN30
2024-08-23 14:58:00-04:00,464.10,464.00,Buy,LIN31
2024-08-23 15:02:00-04:00,464.00,464.00,Sell - Stop Loss,LIN31
2024-08-23 15:18:00-04:00,464.81,464.66,Buy,LIN32
2024-08-23 15:20:00-04:00,464.88,464.66,Sell - Away from SMA,LIN32
2024-08-23 15:46:00-04:00,465.22,464.97,Buy,LIN33
2024-08-23 15:48:00-04:00,465.87,464.97,Sell - Away from SMA,LIN33
