Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:28:00-04:00,54.27,54.23,Buy,LNT1
2024-07-16 11:46:00-04:00,54.23,54.23,Sell - Stop Loss,LNT1
2024-07-16 13:30:00-04:00,54.36,54.34,Buy,LNT2
2024-07-16 13:40:00-04:00,54.45,54.42,Buy,LNT3
2024-07-16 14:54:00-04:00,54.51,54.48,Buy,LNT4
2024-07-16 14:56:00-04:00,54.48,54.48,Sell - Stop Loss,LNT4
2024-07-16 15:34:00-04:00,54.64,54.34,Sell - Away from SMA,LNT2
2024-07-16 15:34:00-04:00,54.64,54.42,Sell - Away from SMA,LNT3
2024-07-17 10:36:00-04:00,55.86,55.81,Buy,LNT5
2024-07-17 10:38:00-04:00,55.81,55.81,Sell - Stop Loss,LNT5
2024-07-17 11:38:00-04:00,55.65,55.59,Buy,LNT6
2024-07-17 11:48:00-04:00,55.79,55.59,Sell - Away from SMA,LNT6
2024-07-17 11:48:00-04:00,55.76,55.72,Buy,LNT7
2024-07-17 11:50:00-04:00,55.80,55.72,Sell - Away from SMA,LNT7
2024-07-18 11:20:00-04:00,56.17,56.12,Buy,LNT8
2024-07-18 11:32:00-04:00,56.29,56.12,Sell - Away from SMA,LNT8
2024-07-18 12:02:00-04:00,56.10,56.05,Buy,LNT9
2024-07-18 12:06:00-04:00,56.05,56.05,Sell - Stop Loss,LNT9
2024-07-24 10:04:00-04:00,55.11,55.05,Buy,LNT10
2024-07-24 10:06:00-04:00,55.22,55.05,Sell - Away from SMA,LNT10
2024-07-24 11:08:00-04:00,55.34,55.31,Buy,LNT11
2024-07-24 11:10:00-04:00,55.47,55.31,Sell - Away from SMA,LNT11
2024-07-24 11:46:00-04:00,55.63,55.59,Buy,LNT12
2024-07-24 11:54:00-04:00,55.59,55.59,Sell - Stop Loss,LNT12
2024-07-24 12:28:00-04:00,55.78,55.76,Buy,LNT13
2024-07-24 12:34:00-04:00,55.76,55.76,Sell - Stop Loss,LNT13
2024-07-25 09:58:00-04:00,56.30,56.28,Buy,LNT14
2024-07-25 10:00:00-04:00,56.51,56.28,Sell - Away from SMA,LNT14
2024-07-26 10:22:00-04:00,55.79,55.75,Buy,LNT15
2024-07-26 10:26:00-04:00,55.91,55.75,Sell - Away from SMA,LNT15
2024-07-26 10:38:00-04:00,55.78,55.73,Buy,LNT16
2024-07-26 11:22:00-04:00,55.83,55.80,Buy,LNT17
2024-07-26 11:56:00-04:00,56.08,55.73,Sell - Away from SMA,LNT16
2024-07-26 11:56:00-04:00,56.08,55.80,Sell - Away from SMA,LNT17
2024-07-26 15:46:00-04:00,55.97,55.94,Buy,LNT18
2024-07-26 15:50:00-04:00,55.94,55.94,Sell - Stop Loss,LNT18
2024-07-30 12:50:00-04:00,56.09,56.04,Buy,LNT19
2024-07-30 13:18:00-04:00,56.04,56.04,Sell - Stop Loss,LNT19
2024-07-31 14:32:00-04:00,55.58,55.53,Buy,LNT20
2024-07-31 14:36:00-04:00,55.53,55.53,Sell - Stop Loss,LNT20
2024-08-02 13:36:00-04:00,56.68,56.60,Buy,LNT21
2024-08-02 13:40:00-04:00,56.80,56.60,Sell - Away from SMA,LNT21
2024-08-02 15:14:00-04:00,56.68,56.64,Buy,LNT22
2024-08-02 15:26:00-04:00,56.86,56.64,Sell - Away from SMA,LNT22
2024-08-02 15:30:00-04:00,56.86,56.82,Buy,LNT23
2024-08-02 15:32:00-04:00,56.82,56.82,Sell - Stop Loss,LNT23
2024-08-06 09:58:00-04:00,56.10,56.02,Buy,LNT24
2024-08-06 10:00:00-04:00,56.32,56.02,Sell - Away from SMA,LNT24
2024-08-06 14:22:00-04:00,56.24,56.17,Buy,LNT25
2024-08-06 14:36:00-04:00,56.35,56.17,Sell - Away from SMA,LNT25
2024-08-08 15:08:00-04:00,56.08,56.06,Buy,LNT26
2024-08-08 15:32:00-04:00,56.06,56.06,Sell - Stop Loss,LNT26
2024-08-09 15:02:00-04:00,56.08,56.05,Buy,LNT27
2024-08-09 15:06:00-04:00,56.15,56.05,Sell - Away from SMA,LNT27
2024-08-12 15:02:00-04:00,55.86,55.84,Buy,LNT28
2024-08-12 15:42:00-04:00,55.84,55.84,Sell - Stop Loss,LNT28
2024-08-13 10:08:00-04:00,56.09,56.04,Buy,LNT29
2024-08-13 10:12:00-04:00,56.04,56.04,Sell - Stop Loss,LNT29
2024-08-14 09:42:00-04:00,56.10,56.03,Buy,LNT30
2024-08-14 09:56:00-04:00,56.33,56.03,Sell - Away from SMA,LNT30
2024-08-14 12:38:00-04:00,56.85,56.82,Buy,LNT31
2024-08-14 13:04:00-04:00,56.82,56.82,Sell - Stop Loss,LNT31
2024-08-15 12:36:00-04:00,56.52,56.48,Buy,LNT32
2024-08-15 12:40:00-04:00,56.48,56.48,Sell - Stop Loss,LNT32
2024-08-15 15:58:00-04:00,56.90,56.84,Buy,LNT33
2024-08-16 09:30:00-04:00,57.03,56.84,Sell - Away from SMA,LNT33
2024-08-16 11:14:00-04:00,57.26,57.23,Buy,LNT34
2024-08-16 11:20:00-04:00,57.35,57.23,Sell - Away from SMA,LNT34
2024-08-16 13:02:00-04:00,57.26,57.22,Buy,LNT35
2024-08-16 13:28:00-04:00,57.41,57.22,Sell - Away from SMA,LNT35
2024-08-16 14:06:00-04:00,57.48,57.45,Buy,LNT36
2024-08-16 15:50:00-04:00,57.45,57.45,Sell - Stop Loss,LNT36
2024-08-19 09:58:00-04:00,57.58,57.54,Buy,LNT37
2024-08-19 10:02:00-04:00,57.71,57.54,Sell - Away from SMA,LNT37
2024-08-19 12:08:00-04:00,57.81,57.78,Buy,LNT38
2024-08-19 12:18:00-04:00,57.78,57.78,Sell - Stop Loss,LNT38
2024-08-20 10:42:00-04:00,57.85,57.80,Buy,LNT39
2024-08-20 10:46:00-04:00,57.80,57.80,Sell - Stop Loss,LNT39
2024-08-22 10:08:00-04:00,57.86,57.83,Buy,LNT40
2024-08-22 11:10:00-04:00,57.83,57.83,Sell - Stop Loss,LNT40
