Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:50:00-04:00,285.61,285.13,Buy,LULU1
2024-07-16 09:52:00-04:00,286.25,285.13,Sell - Away from SMA,LULU1
2024-07-16 10:16:00-04:00,285.77,285.22,Buy,LULU2
2024-07-16 10:18:00-04:00,285.72,285.22,Sell - Away from SMA,LULU2
2024-07-16 10:22:00-04:00,286.30,286.03,Buy,LULU3
2024-07-16 10:24:00-04:00,286.90,286.03,Sell - Away from SMA,LULU3
2024-07-16 10:34:00-04:00,287.13,286.85,Buy,LULU4
2024-07-16 10:36:00-04:00,286.85,286.85,Sell - Stop Loss,LULU4
2024-07-16 15:00:00-04:00,290.11,289.83,Buy,LULU5
2024-07-16 15:02:00-04:00,290.46,289.83,Sell - Away from SMA,LULU5
2024-07-17 09:50:00-04:00,290.38,289.74,Buy,LULU6
2024-07-17 09:52:00-04:00,291.45,289.74,Sell - Away from SMA,LULU6
2024-07-17 10:34:00-04:00,291.51,291.16,Buy,LULU7
2024-07-17 10:36:00-04:00,291.26,291.16,Sell - Away from SMA,LULU7
2024-07-17 11:08:00-04:00,291.50,291.39,Buy,LULU8
2024-07-17 11:10:00-04:00,291.82,291.39,Sell - Away from SMA,LULU8
2024-07-17 14:22:00-04:00,293.29,293.14,Buy,LULU9
2024-07-17 14:24:00-04:00,293.60,293.14,Sell - Away from SMA,LULU9
2024-07-22 13:32:00-04:00,284.78,284.59,Buy,LULU10
2024-07-22 13:34:00-04:00,285.20,284.59,Sell - Away from SMA,LULU10
2024-07-22 14:56:00-04:00,286.37,286.25,Buy,LULU11
2024-07-22 14:58:00-04:00,286.25,286.25,Sell - Stop Loss,LULU11
2024-07-23 09:46:00-04:00,286.16,285.30,Buy,LULU12
2024-07-23 09:48:00-04:00,286.27,285.30,Sell - Away from SMA,LULU12
2024-07-26 11:42:00-04:00,251.12,250.84,Buy,LULU13
2024-07-26 11:44:00-04:00,250.84,250.84,Sell - Stop Loss,LULU13
2024-07-26 13:28:00-04:00,255.16,254.90,Buy,LULU14
2024-07-26 13:30:00-04:00,255.92,254.90,Sell - Away from SMA,LULU14
2024-07-26 13:58:00-04:00,252.94,252.58,Buy,LULU15
2024-07-26 14:00:00-04:00,252.62,252.58,Sell - Away from SMA,LULU15
2024-07-29 11:02:00-04:00,255.42,255.14,Buy,LULU16
2024-07-29 11:04:00-04:00,255.14,255.14,Sell - Stop Loss,LULU16
2024-07-29 11:40:00-04:00,254.00,253.74,Buy,LULU17
2024-07-29 11:42:00-04:00,254.50,253.74,Sell - Away from SMA,LULU17
2024-07-29 12:12:00-04:00,255.71,255.58,Buy,LULU18
2024-07-29 12:14:00-04:00,256.48,255.58,Sell - Away from SMA,LULU18
2024-07-29 13:40:00-04:00,259.65,259.41,Buy,LULU19
2024-07-29 13:42:00-04:00,260.46,259.41,Sell - Away from SMA,LULU19
2024-07-29 14:08:00-04:00,259.12,258.89,Buy,LULU20
2024-07-29 14:10:00-04:00,259.10,258.89,Sell - Away from SMA,LULU20
2024-07-29 14:40:00-04:00,259.27,259.12,Buy,LULU21
2024-07-29 14:42:00-04:00,259.75,259.12,Sell - Away from SMA,LULU21
2024-07-30 15:42:00-04:00,256.08,255.82,Buy,LULU22
2024-07-30 15:44:00-04:00,256.55,255.82,Sell - Away from SMA,LULU22
2024-07-31 10:10:00-04:00,259.22,258.75,Buy,LULU23
2024-07-31 10:12:00-04:00,259.16,258.75,Sell - Away from SMA,LULU23
2024-07-31 12:42:00-04:00,260.06,259.93,Buy,LULU24
2024-07-31 12:44:00-04:00,260.25,259.93,Sell - Away from SMA,LULU24
2024-07-31 14:08:00-04:00,260.60,260.29,Buy,LULU25
2024-07-31 14:10:00-04:00,261.04,260.29,Sell - Away from SMA,LULU25
2024-07-31 14:14:00-04:00,261.18,260.87,Buy,LULU26
2024-07-31 14:16:00-04:00,261.40,260.87,Sell - Away from SMA,LULU26
2024-07-31 14:44:00-04:00,261.09,260.82,Buy,LULU27
2024-07-31 14:46:00-04:00,261.75,260.82,Sell - Away from SMA,LULU27
2024-08-05 12:20:00-04:00,235.30,235.05,Buy,LULU28
2024-08-05 12:22:00-04:00,235.10,235.05,Sell - Away from SMA,LULU28
2024-08-06 09:50:00-04:00,235.82,235.34,Buy,LULU29
2024-08-06 09:52:00-04:00,236.92,235.34,Sell - Away from SMA,LULU29
2024-08-06 10:44:00-04:00,237.48,237.07,Buy,LULU30
2024-08-06 10:46:00-04:00,238.21,237.07,Sell - Away from SMA,LULU30
2024-08-06 11:36:00-04:00,236.71,236.27,Buy,LULU31
2024-08-06 11:38:00-04:00,237.17,236.27,Sell - Away from SMA,LULU31
2024-08-06 11:50:00-04:00,237.82,237.32,Buy,LULU32
2024-08-06 11:52:00-04:00,238.21,237.32,Sell - Away from SMA,LULU32
2024-08-06 12:04:00-04:00,238.89,238.68,Buy,LULU33
2024-08-06 12:06:00-04:00,239.50,238.68,Sell - Away from SMA,LULU33
2024-08-06 13:12:00-04:00,238.54,238.39,Buy,LULU34
2024-08-06 13:14:00-04:00,238.90,238.39,Sell - Away from SMA,LULU34
2024-08-06 13:36:00-04:00,238.96,238.61,Buy,LULU35
2024-08-06 13:38:00-04:00,239.40,238.61,Sell - Away from SMA,LULU35
2024-08-07 09:58:00-04:00,243.46,243.03,Buy,LULU36
2024-08-07 10:00:00-04:00,244.14,243.03,Sell - Away from SMA,LULU36
2024-08-08 10:32:00-04:00,239.79,239.65,Buy,LULU37
2024-08-08 10:34:00-04:00,240.94,239.65,Sell - Away from SMA,LULU37
2024-08-09 12:04:00-04:00,239.82,239.79,Buy,LULU38
2024-08-09 12:06:00-04:00,239.79,239.79,Sell - Stop Loss,LULU38
2024-08-09 12:42:00-04:00,239.52,239.43,Buy,LULU39
2024-08-09 12:44:00-04:00,239.58,239.43,Sell - Away from SMA,LULU39
2024-08-09 12:48:00-04:00,239.62,239.46,Buy,LULU40
2024-08-09 12:50:00-04:00,240.13,239.46,Sell - Away from SMA,LULU40
2024-08-09 13:06:00-04:00,240.13,240.04,Buy,LULU41
2024-08-09 13:08:00-04:00,240.25,240.04,Sell - Away from SMA,LULU41
2024-08-12 12:24:00-04:00,240.31,240.10,Buy,LULU42
2024-08-12 12:26:00-04:00,240.59,240.10,Sell - Away from SMA,LULU42
2024-08-15 10:20:00-04:00,252.34,252.02,Buy,LULU43
2024-08-15 10:22:00-04:00,252.77,252.02,Sell - Away from SMA,LULU43
2024-08-15 11:10:00-04:00,256.30,255.95,Buy,LULU44
2024-08-15 11:12:00-04:00,256.68,255.95,Sell - Away from SMA,LULU44
2024-08-15 13:10:00-04:00,256.71,256.49,Buy,LULU45
2024-08-15 13:12:00-04:00,257.65,256.49,Sell - Away from SMA,LULU45
2024-08-15 14:26:00-04:00,257.23,257.05,Buy,LULU46
2024-08-15 14:28:00-04:00,257.53,257.05,Sell - Away from SMA,LULU46
2024-08-16 11:34:00-04:00,258.46,258.28,Buy,LULU47
2024-08-16 11:36:00-04:00,258.80,258.28,Sell - Away from SMA,LULU47
2024-08-19 09:46:00-04:00,261.27,260.59,Buy,LULU48
2024-08-19 09:48:00-04:00,260.96,260.59,Sell - Away from SMA,LULU48
2024-08-19 13:44:00-04:00,261.23,261.08,Buy,LULU49
2024-08-19 13:48:00-04:00,261.36,261.08,Sell - Away from SMA,LULU49
2024-08-20 15:34:00-04:00,260.44,260.28,Buy,LULU50
2024-08-20 15:36:00-04:00,260.72,260.28,Sell - Away from SMA,LULU50
2024-08-21 09:44:00-04:00,266.18,265.42,Buy,LULU51
2024-08-21 09:46:00-04:00,267.28,265.42,Sell - Away from SMA,LULU51
2024-08-21 12:26:00-04:00,267.20,267.16,Buy,LULU52
2024-08-21 12:28:00-04:00,267.45,267.16,Sell - Away from SMA,LULU52
2024-08-23 10:28:00-04:00,267.01,266.66,Buy,LULU53
2024-08-23 10:30:00-04:00,267.17,266.66,Sell - Away from SMA,LULU53
2024-08-23 11:34:00-04:00,267.81,267.68,Buy,LULU54
2024-08-23 11:36:00-04:00,268.08,267.68,Sell - Away from SMA,LULU54
2024-08-23 14:06:00-04:00,267.30,267.26,Buy,LULU55
2024-08-23 14:12:00-04:00,267.26,267.26,Sell - Stop Loss,LULU55
