Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:56:00-04:00,27.79,27.75,Buy,LUV1
2024-07-15 14:02:00-04:00,27.75,27.75,Sell - Stop Loss,LUV1
2024-07-16 10:00:00-04:00,28.30,28.22,Buy,LUV2
2024-07-16 10:02:00-04:00,28.38,28.22,Sell - Away from SMA,LUV2
2024-07-16 12:04:00-04:00,28.46,28.42,Buy,LUV3
2024-07-16 12:34:00-04:00,28.42,28.42,Sell - Stop Loss,LUV3
2024-07-16 13:42:00-04:00,28.68,28.62,Buy,LUV4
2024-07-16 13:44:00-04:00,28.71,28.62,Sell - Away from SMA,LUV4
2024-07-16 14:52:00-04:00,28.76,28.71,Buy,LUV5
2024-07-16 15:50:00-04:00,28.71,28.71,Sell - Stop Loss,LUV5
2024-07-18 09:36:00-04:00,28.29,28.13,Buy,LUV6
2024-07-18 09:46:00-04:00,28.37,28.13,Sell - Away from SMA,LUV6
2024-07-22 14:18:00-04:00,27.57,27.52,Buy,LUV7
2024-07-22 14:26:00-04:00,27.52,27.52,Sell - Stop Loss,LUV7
2024-07-25 12:06:00-04:00,28.16,28.10,Buy,LUV8
2024-07-25 12:08:00-04:00,28.20,28.10,Sell - Away from SMA,LUV8
2024-07-25 12:28:00-04:00,28.46,28.39,Buy,LUV9
2024-07-25 12:36:00-04:00,28.39,28.39,Sell - Stop Loss,LUV9
2024-07-25 13:08:00-04:00,28.36,28.30,Buy,LUV10
2024-07-25 13:10:00-04:00,28.50,28.30,Sell - Away from SMA,LUV10
2024-07-30 09:56:00-04:00,26.72,26.61,Buy,LUV11
2024-07-30 09:58:00-04:00,26.78,26.61,Sell - Away from SMA,LUV11
2024-07-30 10:36:00-04:00,27.00,26.94,Buy,LUV12
2024-07-30 10:38:00-04:00,27.14,26.94,Sell - Away from SMA,LUV12
2024-07-31 11:24:00-04:00,27.44,27.39,Buy,LUV13
2024-07-31 11:26:00-04:00,27.51,27.39,Sell - Away from SMA,LUV13
2024-07-31 12:52:00-04:00,27.63,27.58,Buy,LUV14
2024-07-31 12:58:00-04:00,27.58,27.58,Sell - Stop Loss,LUV14
2024-08-06 11:44:00-04:00,24.36,24.31,Buy,LUV15
2024-08-06 12:16:00-04:00,24.61,24.31,Sell - Away from SMA,LUV15
2024-08-06 12:58:00-04:00,24.63,24.59,Buy,LUV16
2024-08-06 13:16:00-04:00,24.59,24.59,Sell - Stop Loss,LUV16
2024-08-07 11:04:00-04:00,24.84,24.79,Buy,LUV17
2024-08-07 11:06:00-04:00,24.79,24.79,Sell - Stop Loss,LUV17
2024-08-07 12:18:00-04:00,24.84,24.81,Buy,LUV18
2024-08-07 12:36:00-04:00,24.81,24.81,Sell - Stop Loss,LUV18
2024-08-08 11:14:00-04:00,25.05,24.99,Buy,LUV19
2024-08-08 11:28:00-04:00,24.99,24.99,Sell - Stop Loss,LUV19
2024-08-08 11:34:00-04:00,25.03,24.99,Buy,LUV20
2024-08-08 11:40:00-04:00,24.99,24.99,Sell - Stop Loss,LUV20
2024-08-09 13:02:00-04:00,25.30,25.26,Buy,LUV21
2024-08-09 13:54:00-04:00,25.26,25.26,Sell - Stop Loss,LUV21
2024-08-12 10:10:00-04:00,25.46,25.40,Buy,LUV22
2024-08-12 10:22:00-04:00,25.40,25.40,Sell - Stop Loss,LUV22
2024-08-12 12:30:00-04:00,25.81,25.76,Buy,LUV23
2024-08-12 12:34:00-04:00,25.76,25.76,Sell - Stop Loss,LUV23
2024-08-13 11:50:00-04:00,25.58,25.54,Buy,LUV24
2024-08-13 11:54:00-04:00,25.54,25.54,Sell - Stop Loss,LUV24
2024-08-14 12:36:00-04:00,25.38,25.34,Buy,LUV25
2024-08-14 12:42:00-04:00,25.34,25.34,Sell - Stop Loss,LUV25
2024-08-15 11:00:00-04:00,26.10,26.03,Buy,LUV26
2024-08-15 13:24:00-04:00,26.18,26.14,Buy,LUV27
2024-08-15 13:32:00-04:00,26.14,26.14,Sell - Stop Loss,LUV27
2024-08-15 15:18:00-04:00,26.39,26.03,Sell - Away from SMA,LUV26
2024-08-16 10:16:00-04:00,26.48,26.43,Buy,LUV28
2024-08-16 10:26:00-04:00,26.60,26.43,Sell - Away from SMA,LUV28
2024-08-16 15:36:00-04:00,26.32,26.29,Buy,LUV29
2024-08-16 15:44:00-04:00,26.29,26.29,Sell - Stop Loss,LUV29
2024-08-19 15:58:00-04:00,26.70,26.66,Buy,LUV30
2024-08-20 09:30:00-04:00,26.82,26.66,Sell - Away from SMA,LUV30
2024-08-22 09:56:00-04:00,26.67,26.60,Buy,LUV31
2024-08-22 10:24:00-04:00,26.83,26.60,Sell - Away from SMA,LUV31
2024-08-22 12:30:00-04:00,27.04,27.00,Buy,LUV32
2024-08-22 12:32:00-04:00,27.12,27.00,Sell - Away from SMA,LUV32
2024-08-22 14:42:00-04:00,27.02,26.98,Buy,LUV33
2024-08-22 14:50:00-04:00,27.08,27.03,Buy,LUV34
2024-08-22 14:58:00-04:00,27.03,27.03,Sell - Stop Loss,LUV34
2024-08-22 15:32:00-04:00,26.98,26.98,Sell - Stop Loss,LUV33
2024-08-23 10:00:00-04:00,27.44,27.37,Buy,LUV35
2024-08-23 10:02:00-04:00,27.68,27.37,Sell - Away from SMA,LUV35
2024-08-23 10:26:00-04:00,27.82,27.76,Buy,LUV36
2024-08-23 10:30:00-04:00,27.91,27.76,Sell - Away from SMA,LUV36
2024-08-23 10:40:00-04:00,28.08,28.01,Buy,LUV37
2024-08-23 10:42:00-04:00,28.16,28.01,Sell - Away from SMA,LUV37
2024-08-23 12:56:00-04:00,27.88,27.83,Buy,LUV38
2024-08-23 13:06:00-04:00,28.01,27.83,Sell - Away from SMA,LUV38
