Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:48:00-04:00,141.94,141.91,Buy,MAA1
2024-07-16 12:50:00-04:00,141.91,141.91,Sell - Stop Loss,MAA1
2024-07-17 10:12:00-04:00,144.10,144.02,Buy,MAA2
2024-07-17 10:14:00-04:00,144.56,144.02,Sell - Away from SMA,MAA2
2024-07-18 09:56:00-04:00,144.87,144.84,Buy,MAA3
2024-07-18 09:58:00-04:00,145.28,144.84,Sell - Away from SMA,MAA3
2024-07-18 10:48:00-04:00,146.05,145.83,Buy,MAA4
2024-07-18 10:50:00-04:00,146.07,145.83,Sell - Away from SMA,MAA4
2024-07-22 10:40:00-04:00,144.51,144.47,Buy,MAA5
2024-07-22 10:42:00-04:00,144.76,144.47,Sell - Away from SMA,MAA5
2024-07-22 15:22:00-04:00,145.20,145.12,Buy,MAA6
2024-07-22 15:26:00-04:00,145.32,145.12,Sell - Away from SMA,MAA6
2024-07-25 09:52:00-04:00,144.32,144.27,Buy,MAA7
2024-07-25 09:54:00-04:00,144.60,144.27,Sell - Away from SMA,MAA7
2024-07-25 10:54:00-04:00,143.74,143.72,Buy,MAA8
2024-07-25 10:56:00-04:00,143.99,143.72,Sell - Away from SMA,MAA8
2024-07-26 13:44:00-04:00,142.64,142.61,Buy,MAA9
2024-07-26 13:50:00-04:00,142.61,142.61,Sell - Stop Loss,MAA9
2024-07-26 15:46:00-04:00,142.89,142.77,Buy,MAA10
2024-07-26 15:48:00-04:00,143.17,142.77,Sell - Away from SMA,MAA10
2024-07-29 11:10:00-04:00,143.66,143.59,Buy,MAA11
2024-07-29 11:14:00-04:00,143.75,143.59,Sell - Away from SMA,MAA11
2024-07-30 15:48:00-04:00,141.00,140.92,Buy,MAA12
2024-07-30 15:50:00-04:00,141.32,140.92,Sell - Away from SMA,MAA12
2024-07-31 10:24:00-04:00,141.06,140.80,Buy,MAA13
2024-07-31 10:26:00-04:00,141.18,140.80,Sell - Away from SMA,MAA13
2024-07-31 11:34:00-04:00,141.49,141.45,Buy,MAA14
2024-07-31 11:36:00-04:00,141.45,141.45,Sell - Stop Loss,MAA14
2024-08-01 11:54:00-04:00,146.28,146.16,Buy,MAA15
2024-08-01 11:56:00-04:00,146.16,146.16,Sell - Stop Loss,MAA15
2024-08-01 12:04:00-04:00,146.12,146.02,Buy,MAA16
2024-08-01 12:06:00-04:00,146.51,146.02,Sell - Away from SMA,MAA16
2024-08-01 15:58:00-04:00,146.35,146.20,Buy,MAA17
2024-08-02 09:30:00-04:00,149.00,146.20,Sell - Away from SMA,MAA17
2024-08-02 15:00:00-04:00,148.68,148.57,Buy,MAA18
2024-08-02 15:02:00-04:00,148.67,148.57,Sell - Away from SMA,MAA18
2024-08-02 15:36:00-04:00,149.69,149.54,Buy,MAA19
2024-08-02 15:38:00-04:00,149.76,149.54,Sell - Away from SMA,MAA19
2024-08-06 09:48:00-04:00,147.97,147.68,Buy,MAA20
2024-08-06 09:50:00-04:00,148.83,147.68,Sell - Away from SMA,MAA20
2024-08-06 13:32:00-04:00,149.54,149.34,Buy,MAA21
2024-08-06 13:34:00-04:00,149.76,149.34,Sell - Away from SMA,MAA21
2024-08-06 14:54:00-04:00,150.52,150.40,Buy,MAA22
2024-08-06 14:56:00-04:00,150.66,150.40,Sell - Away from SMA,MAA22
2024-08-06 15:56:00-04:00,150.16,150.00,Buy,MAA23
2024-08-06 15:58:00-04:00,150.39,150.00,Sell - Away from SMA,MAA23
2024-08-07 09:52:00-04:00,151.41,151.39,Buy,MAA24
2024-08-07 09:54:00-04:00,152.32,151.39,Sell - Away from SMA,MAA24
2024-08-07 12:18:00-04:00,153.42,153.39,Buy,MAA25
2024-08-07 12:20:00-04:00,153.60,153.39,Sell - Away from SMA,MAA25
2024-08-09 15:38:00-04:00,152.93,152.83,Buy,MAA26
2024-08-09 15:40:00-04:00,153.12,152.83,Sell - Away from SMA,MAA26
2024-08-12 09:48:00-04:00,152.85,152.40,Buy,MAA27
2024-08-12 09:50:00-04:00,152.86,152.40,Sell - Away from SMA,MAA27
2024-08-13 12:52:00-04:00,153.16,153.09,Buy,MAA28
2024-08-13 12:54:00-04:00,153.31,153.09,Sell - Away from SMA,MAA28
2024-08-13 13:04:00-04:00,153.16,153.12,Buy,MAA29
2024-08-13 13:08:00-04:00,153.12,153.12,Sell - Stop Loss,MAA29
2024-08-14 13:38:00-04:00,153.11,153.08,Buy,MAA30
2024-08-14 13:44:00-04:00,153.26,153.08,Sell - Away from SMA,MAA30
2024-08-14 15:36:00-04:00,153.45,153.41,Buy,MAA31
2024-08-14 15:40:00-04:00,153.41,153.41,Sell - Stop Loss,MAA31
2024-08-14 15:50:00-04:00,153.35,153.28,Buy,MAA32
2024-08-14 15:52:00-04:00,153.28,153.28,Sell - Stop Loss,MAA32
2024-08-15 15:02:00-04:00,154.17,154.09,Buy,MAA33
2024-08-15 15:10:00-04:00,154.31,154.09,Sell - Away from SMA,MAA33
2024-08-15 15:26:00-04:00,154.61,154.53,Buy,MAA34
2024-08-15 15:28:00-04:00,154.75,154.53,Sell - Away from SMA,MAA34
2024-08-16 15:58:00-04:00,152.63,152.29,Buy,MAA35
2024-08-19 09:30:00-04:00,153.35,152.29,Sell - Away from SMA,MAA35
2024-08-22 11:44:00-04:00,154.08,154.00,Buy,MAA36
2024-08-22 11:48:00-04:00,154.00,154.00,Sell - Stop Loss,MAA36
2024-08-23 10:00:00-04:00,154.80,154.65,Buy,MAA37
2024-08-23 10:04:00-04:00,155.15,154.65,Sell - Away from SMA,MAA37
