Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,448.320,448.600,446.640,446.640,446.640,16882.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,447.065,447.065,445.990,445.990,445.990,1907.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,446.560,446.560,446.130,446.130,446.130,754.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,446.725,446.725,446.725,446.725,446.725,590.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,446.840,446.840,446.840,446.840,446.840,641.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,447.250,447.350,446.910,446.910,446.910,7739.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,446.850,446.850,446.810,446.810,446.810,890.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,446.810,446.810,446.810,446.810,446.810,482.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,446.840,447.078,446.760,446.970,446.970,3650.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,446.810,447.260,446.810,447.260,447.260,3831.000,446.709,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,446.910,447.090,446.910,447.090,447.090,3357.000,446.754,nan,False,Noise Bar,0.045,Empty
2024-07-15 09:52:00-04:00,447.230,447.310,447.000,447.000,447.000,2008.000,446.855,nan,False,Noise Bar,0.101,Empty
2024-07-15 09:54:00-04:00,446.670,446.885,446.670,446.785,446.785,1251.000,446.920,nan,False,Noise Bar,0.065,Empty
2024-07-15 09:56:00-04:00,446.735,446.735,446.735,446.735,446.735,465.000,446.921,nan,False,Noise Bar,0.001,Empty
2024-07-15 09:58:00-04:00,447.020,447.243,446.710,446.845,446.845,7514.000,446.921,nan,False,Noise Bar,0.001,Empty
2024-07-15 10:00:00-04:00,446.740,446.760,446.395,446.395,446.395,1476.000,446.870,nan,False,Noise Bar,-0.052,Empty
2024-07-15 10:02:00-04:00,446.208,446.830,446.208,446.830,446.830,1730.000,446.872,nan,False,Noise Bar,0.002,Empty
2024-07-15 10:04:00-04:00,446.630,446.815,446.600,446.815,446.815,1254.000,446.872,nan,False,Noise Bar,0.001,Empty
2024-07-15 10:06:00-04:00,446.715,447.350,446.715,447.030,447.030,2032.000,446.878,nan,False,Noise Bar,0.006,Empty
