Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:44:00-04:00,449.79,449.68,Buy,MCO1
2024-07-16 09:46:00-04:00,451.13,449.68,Sell - Away from SMA,MCO1
2024-07-16 11:08:00-04:00,451.03,450.92,Buy,MCO2
2024-07-16 11:10:00-04:00,451.30,450.92,Sell - Away from SMA,MCO2
2024-07-16 14:54:00-04:00,450.70,450.64,Buy,MCO3
2024-07-16 14:56:00-04:00,450.64,450.64,Sell - Stop Loss,MCO3
2024-07-17 11:14:00-04:00,454.36,454.12,Buy,MCO4
2024-07-17 11:16:00-04:00,454.72,454.12,Sell - Away from SMA,MCO4
2024-07-17 11:24:00-04:00,455.40,455.11,Buy,MCO5
2024-07-17 11:26:00-04:00,455.11,455.11,Sell - Stop Loss,MCO5
2024-07-17 13:36:00-04:00,456.60,456.33,Buy,MCO6
2024-07-17 13:38:00-04:00,456.74,456.33,Sell - Away from SMA,MCO6
2024-07-22 09:46:00-04:00,445.50,445.12,Buy,MCO7
2024-07-22 09:48:00-04:00,445.36,445.12,Sell - Away from SMA,MCO7
2024-07-22 12:42:00-04:00,447.30,447.25,Buy,MCO8
2024-07-22 12:44:00-04:00,447.49,447.25,Sell - Away from SMA,MCO8
2024-07-22 15:14:00-04:00,448.71,448.59,Buy,MCO9
2024-07-22 15:16:00-04:00,448.84,448.59,Sell - Away from SMA,MCO9
2024-07-23 11:14:00-04:00,452.82,452.76,Buy,MCO10
2024-07-23 11:16:00-04:00,452.76,452.76,Sell - Stop Loss,MCO10
2024-07-23 11:22:00-04:00,453.67,453.09,Buy,MCO11
2024-07-23 11:24:00-04:00,454.28,453.09,Sell - Away from SMA,MCO11
2024-07-23 12:44:00-04:00,451.48,451.45,Buy,MCO12
2024-07-23 12:46:00-04:00,451.45,451.45,Sell - Stop Loss,MCO12
2024-07-23 14:36:00-04:00,454.78,454.30,Buy,MCO13
2024-07-23 14:38:00-04:00,455.57,454.30,Sell - Away from SMA,MCO13
2024-07-25 09:54:00-04:00,442.90,442.42,Buy,MCO14
2024-07-25 09:56:00-04:00,443.89,442.42,Sell - Away from SMA,MCO14
2024-07-25 11:52:00-04:00,443.65,443.45,Buy,MCO15
2024-07-25 11:54:00-04:00,444.60,443.45,Sell - Away from SMA,MCO15
2024-07-25 12:00:00-04:00,444.43,444.07,Buy,MCO16
2024-07-25 12:02:00-04:00,445.14,444.07,Sell - Away from SMA,MCO16
2024-07-25 12:54:00-04:00,446.40,446.09,Buy,MCO17
2024-07-25 12:56:00-04:00,446.66,446.09,Sell - Away from SMA,MCO17
2024-07-26 12:28:00-04:00,451.16,451.05,Buy,MCO18
2024-07-26 12:30:00-04:00,451.05,451.05,Sell - Stop Loss,MCO18
2024-07-26 12:50:00-04:00,451.12,450.85,Buy,MCO19
2024-07-26 12:52:00-04:00,451.86,450.85,Sell - Away from SMA,MCO19
2024-07-26 13:44:00-04:00,449.86,449.58,Buy,MCO20
2024-07-26 13:46:00-04:00,450.96,449.58,Sell - Away from SMA,MCO20
2024-07-29 12:40:00-04:00,450.35,450.29,Buy,MCO21
2024-07-29 12:42:00-04:00,450.89,450.29,Sell - Away from SMA,MCO21
2024-07-30 15:22:00-04:00,456.07,455.64,Buy,MCO22
2024-07-30 15:24:00-04:00,456.29,455.64,Sell - Away from SMA,MCO22
2024-07-31 10:32:00-04:00,456.38,455.99,Buy,MCO23
2024-07-31 10:34:00-04:00,456.58,455.99,Sell - Away from SMA,MCO23
2024-07-31 11:34:00-04:00,458.01,457.90,Buy,MCO24
2024-07-31 11:36:00-04:00,457.90,457.90,Sell - Stop Loss,MCO24
2024-07-31 14:56:00-04:00,458.81,458.78,Buy,MCO25
2024-07-31 15:00:00-04:00,459.26,458.78,Sell - Away from SMA,MCO25
2024-07-31 15:14:00-04:00,458.06,457.86,Buy,MCO26
2024-07-31 15:18:00-04:00,457.86,457.86,Sell - Stop Loss,MCO26
2024-08-01 12:56:00-04:00,460.80,460.60,Buy,MCO27
2024-08-01 12:58:00-04:00,461.06,460.60,Sell - Away from SMA,MCO27
2024-08-02 09:40:00-04:00,460.50,459.63,Buy,MCO28
2024-08-02 09:42:00-04:00,461.03,459.63,Sell - Away from SMA,MCO28
2024-08-02 13:48:00-04:00,456.04,455.89,Buy,MCO29
2024-08-02 13:50:00-04:00,456.48,455.89,Sell - Away from SMA,MCO29
2024-08-02 15:18:00-04:00,457.59,457.47,Buy,MCO30
2024-08-02 15:20:00-04:00,458.02,457.47,Sell - Away from SMA,MCO30
2024-08-02 15:58:00-04:00,459.93,459.29,Buy,MCO31
2024-08-05 09:32:00-04:00,459.29,459.29,Sell - Stop Loss,MCO31
2024-08-06 10:12:00-04:00,452.82,452.58,Buy,MCO32
2024-08-06 10:14:00-04:00,453.25,452.58,Sell - Away from SMA,MCO32
2024-08-06 10:52:00-04:00,454.30,453.82,Buy,MCO33
2024-08-06 10:54:00-04:00,453.94,453.82,Sell - Away from SMA,MCO33
2024-08-06 14:46:00-04:00,454.87,454.61,Buy,MCO34
2024-08-06 14:48:00-04:00,455.38,454.61,Sell - Away from SMA,MCO34
2024-08-07 10:06:00-04:00,458.15,457.28,Buy,MCO35
2024-08-07 10:08:00-04:00,459.33,457.28,Sell - Away from SMA,MCO35
2024-08-07 12:24:00-04:00,459.62,459.44,Buy,MCO36
2024-08-07 12:26:00-04:00,459.82,459.44,Sell - Away from SMA,MCO36
2024-08-08 11:02:00-04:00,455.27,455.24,Buy,MCO37
2024-08-08 11:04:00-04:00,455.24,455.24,Sell - Stop Loss,MCO37
2024-08-08 11:10:00-04:00,456.32,455.94,Buy,MCO38
2024-08-08 11:12:00-04:00,455.94,455.94,Sell - Stop Loss,MCO38
2024-08-09 13:14:00-04:00,461.30,461.27,Buy,MCO39
2024-08-09 13:16:00-04:00,462.11,461.27,Sell - Away from SMA,MCO39
2024-08-13 11:50:00-04:00,465.23,464.99,Buy,MCO40
2024-08-13 11:52:00-04:00,465.32,464.99,Sell - Away from SMA,MCO40
2024-08-15 09:34:00-04:00,469.30,468.86,Buy,MCO41
2024-08-15 09:36:00-04:00,468.86,468.86,Sell - Stop Loss,MCO41
2024-08-15 12:22:00-04:00,467.68,467.64,Buy,MCO42
2024-08-15 12:24:00-04:00,467.64,467.64,Sell - Stop Loss,MCO42
2024-08-16 14:52:00-04:00,466.50,466.45,Buy,MCO43
2024-08-16 14:54:00-04:00,466.82,466.45,Sell - Away from SMA,MCO43
2024-08-16 15:26:00-04:00,466.51,466.47,Buy,MCO44
2024-08-16 15:28:00-04:00,466.47,466.47,Sell - Stop Loss,MCO44
2024-08-19 12:34:00-04:00,470.77,470.62,Buy,MCO45
2024-08-19 12:36:00-04:00,470.93,470.62,Sell - Away from SMA,MCO45
2024-08-20 11:34:00-04:00,472.12,471.99,Buy,MCO46
2024-08-20 11:42:00-04:00,472.00,471.99,Sell - Away from SMA,MCO46
2024-08-20 13:54:00-04:00,473.32,473.19,Buy,MCO47
2024-08-20 13:56:00-04:00,473.19,473.19,Sell - Stop Loss,MCO47
2024-08-20 14:10:00-04:00,473.04,472.85,Buy,MCO48
2024-08-20 14:12:00-04:00,473.53,472.85,Sell - Away from SMA,MCO48
2024-08-20 14:36:00-04:00,474.11,474.04,Buy,MCO49
2024-08-20 14:38:00-04:00,474.25,474.04,Sell - Away from SMA,MCO49
2024-08-21 14:32:00-04:00,476.77,476.72,Buy,MCO50
2024-08-21 14:34:00-04:00,476.72,476.72,Sell - Stop Loss,MCO50
2024-08-22 10:08:00-04:00,476.49,476.26,Buy,MCO51
2024-08-22 10:10:00-04:00,476.74,476.26,Sell - Away from SMA,MCO51
2024-08-23 11:12:00-04:00,482.40,482.22,Buy,MCO52
2024-08-23 11:14:00-04:00,483.35,482.22,Sell - Away from SMA,MCO52
