Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:30:00-04:00,75.39,75.33,Buy,MET1
2024-07-16 13:16:00-04:00,75.33,75.33,Sell - Stop Loss,MET1
2024-07-16 13:32:00-04:00,75.31,75.25,Buy,MET2
2024-07-16 13:40:00-04:00,75.43,75.25,Sell - Away from SMA,MET2
2024-07-23 14:26:00-04:00,75.37,75.33,Buy,MET3
2024-07-23 14:54:00-04:00,75.33,75.33,Sell - Stop Loss,MET3
2024-07-25 09:52:00-04:00,75.93,75.78,Buy,MET4
2024-07-25 09:54:00-04:00,76.10,75.78,Sell - Away from SMA,MET4
2024-07-25 11:16:00-04:00,76.10,76.02,Buy,MET5
2024-07-25 11:18:00-04:00,76.18,76.02,Sell - Away from SMA,MET5
2024-07-25 11:38:00-04:00,76.17,76.12,Buy,MET6
2024-07-25 11:40:00-04:00,76.30,76.12,Sell - Away from SMA,MET6
2024-07-26 10:26:00-04:00,76.28,76.24,Buy,MET7
2024-07-26 10:28:00-04:00,76.40,76.24,Sell - Away from SMA,MET7
2024-07-29 09:30:00-04:00,76.03,75.90,Buy,MET8
2024-07-29 09:32:00-04:00,75.90,75.90,Sell - Stop Loss,MET8
2024-07-29 14:28:00-04:00,75.70,75.66,Buy,MET9
2024-07-29 15:20:00-04:00,75.66,75.66,Sell - Stop Loss,MET9
2024-07-30 11:38:00-04:00,76.88,76.83,Buy,MET10
2024-07-30 11:40:00-04:00,76.83,76.83,Sell - Stop Loss,MET10
2024-07-31 10:32:00-04:00,77.08,76.98,Buy,MET11
2024-07-31 10:34:00-04:00,77.12,76.98,Sell - Away from SMA,MET11
2024-07-31 14:44:00-04:00,77.30,77.23,Buy,MET12
2024-07-31 14:46:00-04:00,77.33,77.23,Sell - Away from SMA,MET12
2024-08-05 12:30:00-04:00,68.20,68.12,Buy,MET13
2024-08-05 12:32:00-04:00,68.12,68.12,Sell - Stop Loss,MET13
2024-08-06 10:40:00-04:00,68.94,68.77,Buy,MET14
2024-08-06 10:42:00-04:00,69.05,68.77,Sell - Away from SMA,MET14
2024-08-06 13:30:00-04:00,68.83,68.77,Buy,MET15
