Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 14:04:00-04:00,103.01,102.96,Buy,MMM1
2024-07-16 14:06:00-04:00,102.96,102.96,Sell - Stop Loss,MMM1
2024-07-17 09:56:00-04:00,103.55,103.38,Buy,MMM2
2024-07-17 09:58:00-04:00,103.76,103.38,Sell - Away from SMA,MMM2
2024-07-17 12:52:00-04:00,104.55,104.37,Buy,MMM3
2024-07-17 12:54:00-04:00,104.76,104.37,Sell - Away from SMA,MMM3
2024-07-18 11:20:00-04:00,105.06,104.95,Buy,MMM4
2024-07-18 11:22:00-04:00,105.19,104.95,Sell - Away from SMA,MMM4
2024-07-22 11:18:00-04:00,104.00,103.82,Buy,MMM5
2024-07-22 11:20:00-04:00,104.04,103.82,Sell - Away from SMA,MMM5
2024-07-22 11:46:00-04:00,104.12,104.01,Buy,MMM6
2024-07-22 11:48:00-04:00,104.16,104.01,Sell - Away from SMA,MMM6
2024-07-22 12:08:00-04:00,104.23,104.15,Buy,MMM7
2024-07-22 12:10:00-04:00,104.35,104.15,Sell - Away from SMA,MMM7
2024-07-22 15:36:00-04:00,104.66,104.55,Buy,MMM8
2024-07-22 15:48:00-04:00,104.78,104.55,Sell - Away from SMA,MMM8
2024-07-22 15:48:00-04:00,104.74,104.67,Buy,MMM9
2024-07-22 15:50:00-04:00,104.80,104.67,Sell - Away from SMA,MMM9
2024-07-24 12:48:00-04:00,104.73,104.61,Buy,MMM10
2024-07-24 12:50:00-04:00,104.84,104.61,Sell - Away from SMA,MMM10
2024-07-25 11:32:00-04:00,104.21,104.08,Buy,MMM11
2024-07-25 11:36:00-04:00,104.09,104.08,Sell - Away from SMA,MMM11
2024-07-26 09:54:00-04:00,119.60,118.97,Buy,MMM12
2024-07-26 09:56:00-04:00,120.97,118.97,Sell - Away from SMA,MMM12
2024-07-26 11:14:00-04:00,121.64,121.09,Buy,MMM13
2024-07-26 11:16:00-04:00,121.96,121.09,Sell - Away from SMA,MMM13
2024-07-26 11:44:00-04:00,123.09,122.75,Buy,MMM14
2024-07-26 11:46:00-04:00,123.60,122.75,Sell - Away from SMA,MMM14
2024-07-26 15:38:00-04:00,125.89,125.62,Buy,MMM15
2024-07-26 15:40:00-04:00,126.29,125.62,Sell - Away from SMA,MMM15
2024-07-30 11:16:00-04:00,125.87,125.62,Buy,MMM16
2024-07-30 11:18:00-04:00,126.04,125.62,Sell - Away from SMA,MMM16
2024-07-30 11:34:00-04:00,125.71,125.50,Buy,MMM17
2024-07-30 11:36:00-04:00,125.94,125.50,Sell - Away from SMA,MMM17
2024-07-30 12:46:00-04:00,126.62,126.47,Buy,MMM18
2024-07-30 12:52:00-04:00,126.47,126.47,Sell - Stop Loss,MMM18
2024-07-30 13:30:00-04:00,126.57,126.45,Buy,MMM19
2024-07-30 13:32:00-04:00,126.50,126.45,Sell - Away from SMA,MMM19
2024-07-30 13:36:00-04:00,126.78,126.58,Buy,MMM20
2024-07-30 13:38:00-04:00,127.00,126.58,Sell - Away from SMA,MMM20
2024-07-30 13:54:00-04:00,126.68,126.60,Buy,MMM21
2024-07-30 13:56:00-04:00,126.93,126.60,Sell - Away from SMA,MMM21
2024-07-30 15:38:00-04:00,127.27,127.11,Buy,MMM22
2024-07-30 15:40:00-04:00,127.35,127.11,Sell - Away from SMA,MMM22
2024-07-31 14:44:00-04:00,127.73,127.44,Buy,MMM23
2024-07-31 14:46:00-04:00,127.99,127.44,Sell - Away from SMA,MMM23
2024-08-02 12:32:00-04:00,125.94,125.76,Buy,MMM24
2024-08-02 12:34:00-04:00,126.09,125.76,Sell - Away from SMA,MMM24
2024-08-02 12:38:00-04:00,126.11,126.00,Buy,MMM25
2024-08-02 12:40:00-04:00,126.22,126.00,Sell - Away from SMA,MMM25
2024-08-05 14:28:00-04:00,125.19,125.12,Buy,MMM26
2024-08-05 14:30:00-04:00,125.12,125.12,Sell - Stop Loss,MMM26
2024-08-08 11:34:00-04:00,125.04,124.91,Buy,MMM27
2024-08-08 11:36:00-04:00,124.91,124.91,Sell - Stop Loss,MMM27
2024-08-08 12:24:00-04:00,125.34,125.24,Buy,MMM28
2024-08-08 12:26:00-04:00,125.46,125.24,Sell - Away from SMA,MMM28
2024-08-12 14:48:00-04:00,123.24,123.06,Buy,MMM29
2024-08-12 14:50:00-04:00,123.36,123.06,Sell - Away from SMA,MMM29
2024-08-13 11:18:00-04:00,123.76,123.63,Buy,MMM30
2024-08-13 11:20:00-04:00,123.83,123.63,Sell - Away from SMA,MMM30
2024-08-13 11:46:00-04:00,123.72,123.67,Buy,MMM31
