Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 14:08:00-04:00,50.42,50.38,Buy,MNST1
2024-07-16 14:18:00-04:00,50.38,50.38,Sell - Stop Loss,MNST1
2024-07-16 15:00:00-04:00,50.54,50.50,Buy,MNST2
2024-07-16 15:44:00-04:00,50.50,50.50,Sell - Stop Loss,MNST2
2024-07-17 09:44:00-04:00,50.97,50.89,Buy,MNST3
2024-07-17 09:46:00-04:00,51.15,50.89,Sell - Away from SMA,MNST3
2024-07-17 14:46:00-04:00,50.80,50.77,Buy,MNST4
2024-07-17 15:08:00-04:00,50.77,50.77,Sell - Stop Loss,MNST4
2024-07-18 10:36:00-04:00,51.28,51.22,Buy,MNST5
2024-07-18 10:42:00-04:00,51.43,51.22,Sell - Away from SMA,MNST5
2024-07-18 11:08:00-04:00,51.41,51.35,Buy,MNST6
2024-07-18 11:10:00-04:00,51.48,51.35,Sell - Away from SMA,MNST6
2024-07-18 11:26:00-04:00,51.53,51.47,Buy,MNST7
2024-07-18 11:30:00-04:00,51.60,51.47,Sell - Away from SMA,MNST7
2024-07-18 13:12:00-04:00,51.58,51.54,Buy,MNST8
2024-07-18 14:16:00-04:00,51.54,51.54,Sell - Stop Loss,MNST8
2024-07-19 15:50:00-04:00,50.97,50.93,Buy,MNST9
2024-07-19 15:54:00-04:00,50.93,50.93,Sell - Stop Loss,MNST9
2024-07-22 14:18:00-04:00,49.97,49.94,Buy,MNST10
2024-07-22 14:22:00-04:00,50.09,49.94,Sell - Away from SMA,MNST10
2024-07-22 15:38:00-04:00,50.29,50.22,Buy,MNST11
2024-07-23 09:30:00-04:00,50.68,50.22,Sell - Away from SMA,MNST11
2024-07-23 13:06:00-04:00,50.58,50.53,Buy,MNST12
2024-07-23 14:00:00-04:00,50.72,50.68,Buy,MNST13
2024-07-23 14:50:00-04:00,50.68,50.68,Sell - Stop Loss,MNST13
2024-07-23 14:54:00-04:00,50.60,50.53,Sell - Away from SMA,MNST12
2024-07-26 10:20:00-04:00,50.61,50.56,Buy,MNST14
2024-07-26 10:22:00-04:00,50.69,50.56,Sell - Away from SMA,MNST14
2024-07-26 15:44:00-04:00,50.92,50.87,Buy,MNST15
2024-07-26 15:50:00-04:00,50.87,50.87,Sell - Stop Loss,MNST15
2024-07-29 10:10:00-04:00,51.36,51.28,Buy,MNST16
2024-07-29 10:12:00-04:00,51.28,51.28,Sell - Stop Loss,MNST16
2024-07-29 13:38:00-04:00,51.40,51.36,Buy,MNST17
2024-07-29 13:44:00-04:00,51.36,51.36,Sell - Stop Loss,MNST17
2024-07-30 12:50:00-04:00,51.54,51.50,Buy,MNST18
2024-07-30 12:56:00-04:00,51.50,51.50,Sell - Stop Loss,MNST18
2024-07-30 15:48:00-04:00,51.68,51.60,Buy,MNST19
2024-07-30 15:50:00-04:00,51.74,51.60,Sell - Away from SMA,MNST19
2024-07-31 11:22:00-04:00,51.89,51.84,Buy,MNST20
2024-07-31 11:24:00-04:00,51.98,51.84,Sell - Away from SMA,MNST20
2024-07-31 14:14:00-04:00,52.08,52.03,Buy,MNST21
2024-07-31 15:18:00-04:00,52.03,52.03,Sell - Stop Loss,MNST21
2024-08-01 15:36:00-04:00,51.46,51.39,Buy,MNST22
2024-08-01 15:44:00-04:00,51.54,51.39,Sell - Away from SMA,MNST22
2024-08-02 09:56:00-04:00,51.47,51.36,Buy,MNST23
2024-08-02 09:58:00-04:00,51.57,51.36,Sell - Away from SMA,MNST23
2024-08-02 13:12:00-04:00,51.19,51.14,Buy,MNST24
2024-08-02 13:14:00-04:00,51.24,51.14,Sell - Away from SMA,MNST24
2024-08-02 14:58:00-04:00,51.31,51.24,Buy,MNST25
2024-08-02 15:46:00-04:00,51.50,51.24,Sell - Away from SMA,MNST25
