Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 12:56:00-04:00,105.70,105.62,Buy,MS1
2024-07-15 12:58:00-04:00,105.74,105.62,Sell - Away from SMA,MS1
2024-07-16 12:10:00-04:00,108.11,107.97,Buy,MS2
2024-07-16 12:12:00-04:00,107.97,107.97,Sell - Stop Loss,MS2
2024-07-17 10:46:00-04:00,106.51,106.31,Buy,MS3
2024-07-17 10:48:00-04:00,106.39,106.31,Sell - Away from SMA,MS3
2024-07-17 12:08:00-04:00,107.52,107.42,Buy,MS4
2024-07-17 12:10:00-04:00,107.64,107.42,Sell - Away from SMA,MS4
2024-07-18 10:20:00-04:00,107.21,107.05,Buy,MS5
2024-07-18 10:22:00-04:00,107.43,107.05,Sell - Away from SMA,MS5
2024-07-22 11:34:00-04:00,103.02,102.95,Buy,MS6
2024-07-22 11:44:00-04:00,102.95,102.95,Sell - Stop Loss,MS6
2024-07-23 11:38:00-04:00,103.76,103.70,Buy,MS7
2024-07-23 11:40:00-04:00,103.84,103.70,Sell - Away from SMA,MS7
2024-07-23 13:02:00-04:00,103.72,103.68,Buy,MS8
2024-07-23 13:04:00-04:00,103.87,103.68,Sell - Away from SMA,MS8
2024-07-23 14:42:00-04:00,103.82,103.77,Buy,MS9
2024-07-23 14:44:00-04:00,103.77,103.77,Sell - Stop Loss,MS9
2024-07-23 15:24:00-04:00,103.78,103.74,Buy,MS10
2024-07-23 15:26:00-04:00,103.92,103.74,Sell - Away from SMA,MS10
2024-07-25 11:06:00-04:00,103.22,103.17,Buy,MS11
2024-07-25 11:08:00-04:00,103.17,103.17,Sell - Stop Loss,MS11
2024-07-25 12:54:00-04:00,103.83,103.76,Buy,MS12
2024-07-25 13:00:00-04:00,103.90,103.84,Buy,MS13
2024-07-25 13:02:00-04:00,104.05,103.76,Sell - Away from SMA,MS12
2024-07-25 13:02:00-04:00,104.05,103.84,Sell - Away from SMA,MS13
2024-07-26 11:54:00-04:00,105.32,105.26,Buy,MS14
2024-07-26 12:08:00-04:00,105.43,105.26,Sell - Away from SMA,MS14
2024-07-30 14:38:00-04:00,103.52,103.46,Buy,MS15
2024-07-30 14:40:00-04:00,103.70,103.46,Sell - Away from SMA,MS15
2024-07-30 15:44:00-04:00,103.44,103.30,Buy,MS16
2024-07-30 15:46:00-04:00,103.60,103.30,Sell - Away from SMA,MS16
2024-07-30 15:54:00-04:00,103.70,103.57,Buy,MS17
2024-07-30 15:56:00-04:00,103.78,103.57,Sell - Away from SMA,MS17
2024-08-05 13:20:00-04:00,92.84,92.74,Buy,MS18
2024-08-05 13:22:00-04:00,93.05,92.74,Sell - Away from SMA,MS18
2024-08-06 11:12:00-04:00,92.75,92.62,Buy,MS19
2024-08-06 11:14:00-04:00,92.98,92.62,Sell - Away from SMA,MS19
2024-08-07 11:00:00-04:00,93.89,93.80,Buy,MS20
2024-08-07 11:04:00-04:00,94.03,93.80,Sell - Away from SMA,MS20
2024-08-08 10:34:00-04:00,94.30,94.20,Buy,MS21
2024-08-08 10:36:00-04:00,94.44,94.20,Sell - Away from SMA,MS21
2024-08-08 12:46:00-04:00,94.26,94.20,Buy,MS22
2024-08-08 12:50:00-04:00,94.40,94.20,Sell - Away from SMA,MS22
2024-08-08 13:40:00-04:00,94.58,94.47,Buy,MS23
2024-08-08 13:42:00-04:00,94.65,94.47,Sell - Away from SMA,MS23
2024-08-08 14:14:00-04:00,94.85,94.76,Buy,MS24
2024-08-08 14:16:00-04:00,94.94,94.76,Sell - Away from SMA,MS24
2024-08-13 15:34:00-04:00,96.40,96.31,Buy,MS25
2024-08-13 15:36:00-04:00,96.54,96.31,Sell - Away from SMA,MS25
2024-08-14 09:38:00-04:00,98.47,98.22,Buy,MS26
2024-08-14 09:40:00-04:00,99.09,98.22,Sell - Away from SMA,MS26
2024-08-14 10:00:00-04:00,100.30,100.12,Buy,MS27
2024-08-14 10:02:00-04:00,100.49,100.12,Sell - Away from SMA,MS27
2024-08-14 11:14:00-04:00,99.40,99.25,Buy,MS28
2024-08-14 11:16:00-04:00,99.44,99.25,Sell - Away from SMA,MS28
2024-08-15 12:06:00-04:00,100.92,100.84,Buy,MS29
2024-08-15 12:14:00-04:00,101.08,100.84,Sell - Away from SMA,MS29
2024-08-16 10:50:00-04:00,100.88,100.77,Buy,MS30
2024-08-16 10:54:00-04:00,100.77,100.77,Sell - Stop Loss,MS30
2024-08-16 11:12:00-04:00,100.96,100.89,Buy,MS31
2024-08-16 11:14:00-04:00,101.06,100.89,Sell - Away from SMA,MS31
2024-08-16 12:14:00-04:00,100.92,100.86,Buy,MS32
2024-08-16 12:24:00-04:00,100.86,100.86,Sell - Stop Loss,MS32
2024-08-16 13:16:00-04:00,101.09,101.05,Buy,MS33
2024-08-16 13:20:00-04:00,101.05,101.05,Sell - Stop Loss,MS33
2024-08-19 10:26:00-04:00,101.54,101.48,Buy,MS34
2024-08-19 10:28:00-04:00,101.62,101.48,Sell - Away from SMA,MS34
2024-08-21 13:10:00-04:00,100.56,100.52,Buy,MS35
2024-08-21 13:14:00-04:00,100.52,100.52,Sell - Stop Loss,MS35
2024-08-21 15:28:00-04:00,100.57,100.50,Buy,MS36
2024-08-21 15:38:00-04:00,100.69,100.50,Sell - Away from SMA,MS36
2024-08-22 09:30:00-04:00,100.78,100.65,Buy,MS37
2024-08-22 09:32:00-04:00,100.65,100.65,Sell - Stop Loss,MS37
2024-08-22 13:10:00-04:00,100.44,100.37,Buy,MS38
2024-08-22 13:12:00-04:00,100.59,100.37,Sell - Away from SMA,MS38
