Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:02:00-04:00,509.11,508.37,Buy,MSCI1
2024-07-16 10:04:00-04:00,509.74,508.37,Sell - Away from SMA,MSCI1
2024-07-16 14:54:00-04:00,509.06,508.87,Buy,MSCI2
2024-07-16 14:56:00-04:00,509.75,508.87,Sell - Away from SMA,MSCI2
2024-07-16 15:20:00-04:00,509.38,509.28,Buy,MSCI3
2024-07-16 15:22:00-04:00,510.29,509.28,Sell - Away from SMA,MSCI3
2024-07-19 14:04:00-04:00,497.30,497.16,Buy,MSCI4
2024-07-19 14:06:00-04:00,498.30,497.16,Sell - Away from SMA,MSCI4
2024-07-22 13:36:00-04:00,503.56,503.36,Buy,MSCI5
2024-07-22 13:38:00-04:00,503.97,503.36,Sell - Away from SMA,MSCI5
2024-07-22 14:28:00-04:00,503.66,503.29,Buy,MSCI6
2024-07-22 14:30:00-04:00,504.65,503.29,Sell - Away from SMA,MSCI6
2024-07-23 09:36:00-04:00,560.40,553.81,Buy,MSCI7
2024-07-23 09:38:00-04:00,562.41,553.81,Sell - Away from SMA,MSCI7
2024-07-23 11:12:00-04:00,554.58,553.32,Buy,MSCI8
2024-07-23 11:14:00-04:00,556.01,553.32,Sell - Away from SMA,MSCI8
2024-07-23 14:52:00-04:00,544.99,544.67,Buy,MSCI9
2024-07-23 14:54:00-04:00,544.96,544.67,Sell - Away from SMA,MSCI9
2024-07-23 15:02:00-04:00,544.65,544.40,Buy,MSCI10
2024-07-23 15:04:00-04:00,544.75,544.40,Sell - Away from SMA,MSCI10
2024-07-25 10:02:00-04:00,538.79,538.09,Buy,MSCI11
2024-07-25 10:04:00-04:00,541.03,538.09,Sell - Away from SMA,MSCI11
2024-07-25 11:52:00-04:00,541.84,541.31,Buy,MSCI12
2024-07-25 11:54:00-04:00,541.31,541.31,Sell - Stop Loss,MSCI12
2024-07-25 13:16:00-04:00,544.46,544.36,Buy,MSCI13
2024-07-25 13:18:00-04:00,544.36,544.36,Sell - Stop Loss,MSCI13
2024-07-29 15:16:00-04:00,540.88,540.84,Buy,MSCI14
2024-07-29 15:20:00-04:00,541.25,540.84,Sell - Away from SMA,MSCI14
2024-07-30 09:32:00-04:00,545.21,542.23,Buy,MSCI15
2024-07-30 09:34:00-04:00,544.70,542.23,Sell - Away from SMA,MSCI15
2024-08-02 14:14:00-04:00,538.14,538.12,Buy,MSCI16
2024-08-02 14:16:00-04:00,539.14,538.12,Sell - Away from SMA,MSCI16
2024-08-06 11:44:00-04:00,528.76,528.66,Buy,MSCI17
2024-08-06 11:46:00-04:00,530.46,528.66,Sell - Away from SMA,MSCI17
2024-08-07 11:42:00-04:00,536.15,535.45,Buy,MSCI18
2024-08-07 11:44:00-04:00,535.45,535.45,Sell - Stop Loss,MSCI18
2024-08-13 11:46:00-04:00,542.69,542.58,Buy,MSCI19
2024-08-13 11:48:00-04:00,542.58,542.58,Sell - Stop Loss,MSCI19
2024-08-13 12:06:00-04:00,542.44,542.19,Buy,MSCI20
2024-08-13 12:08:00-04:00,542.66,542.19,Sell - Away from SMA,MSCI20
2024-08-13 15:18:00-04:00,546.83,546.78,Buy,MSCI21
2024-08-13 15:20:00-04:00,547.21,546.78,Sell - Away from SMA,MSCI21
2024-08-13 15:42:00-04:00,547.92,547.77,Buy,MSCI22
2024-08-13 15:44:00-04:00,547.94,547.77,Sell - Away from SMA,MSCI22
2024-08-14 13:52:00-04:00,554.34,554.17,Buy,MSCI23
2024-08-14 13:54:00-04:00,554.70,554.17,Sell - Away from SMA,MSCI23
2024-08-14 14:44:00-04:00,557.01,556.54,Buy,MSCI24
2024-08-14 14:46:00-04:00,557.57,556.54,Sell - Away from SMA,MSCI24
2024-08-15 10:12:00-04:00,560.02,559.33,Buy,MSCI25
2024-08-15 10:14:00-04:00,560.49,559.33,Sell - Away from SMA,MSCI25
2024-08-15 10:54:00-04:00,562.07,561.38,Buy,MSCI26
2024-08-15 10:56:00-04:00,562.70,561.38,Sell - Away from SMA,MSCI26
2024-08-15 13:52:00-04:00,562.38,562.14,Buy,MSCI27
2024-08-15 13:54:00-04:00,562.87,562.14,Sell - Away from SMA,MSCI27
2024-08-15 15:32:00-04:00,564.56,564.00,Buy,MSCI28
2024-08-15 15:34:00-04:00,565.28,564.00,Sell - Away from SMA,MSCI28
2024-08-15 15:38:00-04:00,565.19,565.03,Buy,MSCI29
2024-08-15 15:40:00-04:00,566.29,565.03,Sell - Away from SMA,MSCI29
2024-08-15 15:56:00-04:00,563.48,562.95,Buy,MSCI30
2024-08-15 15:58:00-04:00,562.95,562.95,Sell - Stop Loss,MSCI30
2024-08-16 14:18:00-04:00,560.95,560.86,Buy,MSCI31
2024-08-16 14:20:00-04:00,560.86,560.86,Sell - Stop Loss,MSCI31
2024-08-16 15:26:00-04:00,561.83,561.75,Buy,MSCI32
2024-08-16 15:28:00-04:00,562.36,561.75,Sell - Away from SMA,MSCI32
2024-08-19 09:30:00-04:00,562.01,561.06,Buy,MSCI33
2024-08-19 09:32:00-04:00,561.66,561.06,Sell - Away from SMA,MSCI33
2024-08-21 14:16:00-04:00,561.18,560.83,Buy,MSCI34
2024-08-21 14:20:00-04:00,561.46,560.83,Sell - Away from SMA,MSCI34
2024-08-21 15:24:00-04:00,561.17,560.94,Buy,MSCI35
2024-08-21 15:26:00-04:00,561.72,560.94,Sell - Away from SMA,MSCI35
2024-08-22 09:40:00-04:00,565.85,565.76,Buy,MSCI36
2024-08-22 09:42:00-04:00,565.76,565.76,Sell - Stop Loss,MSCI36
