Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:42:00-04:00,158.98,158.91,Buy,MTB1
2024-07-15 14:44:00-04:00,158.91,158.91,Sell - Stop Loss,MTB1
2024-07-16 12:20:00-04:00,162.26,162.19,Buy,MTB2
2024-07-16 12:22:00-04:00,162.36,162.19,Sell - Away from SMA,MTB2
2024-07-16 12:34:00-04:00,162.37,162.33,Buy,MTB3
2024-07-16 12:36:00-04:00,162.58,162.33,Sell - Away from SMA,MTB3
2024-07-16 15:42:00-04:00,162.90,162.83,Buy,MTB4
2024-07-16 15:44:00-04:00,162.90,162.83,Sell - Away from SMA,MTB4
2024-07-17 09:44:00-04:00,163.88,163.70,Buy,MTB5
2024-07-17 09:46:00-04:00,164.04,163.70,Sell - Away from SMA,MTB5
2024-07-17 10:50:00-04:00,164.80,164.73,Buy,MTB6
2024-07-17 10:52:00-04:00,164.73,164.73,Sell - Stop Loss,MTB6
2024-07-18 10:18:00-04:00,173.11,172.78,Buy,MTB7
2024-07-18 10:20:00-04:00,173.21,172.78,Sell - Away from SMA,MTB7
2024-07-18 11:46:00-04:00,169.85,169.63,Buy,MTB8
2024-07-18 11:48:00-04:00,169.63,169.63,Sell - Stop Loss,MTB8
2024-07-19 14:12:00-04:00,166.18,166.12,Buy,MTB9
2024-07-19 14:14:00-04:00,166.49,166.12,Sell - Away from SMA,MTB9
2024-07-22 11:50:00-04:00,169.12,169.05,Buy,MTB10
2024-07-22 11:52:00-04:00,169.48,169.05,Sell - Away from SMA,MTB10
2024-07-22 13:38:00-04:00,169.55,169.43,Buy,MTB11
2024-07-22 13:40:00-04:00,169.43,169.43,Sell - Stop Loss,MTB11
2024-07-22 14:34:00-04:00,169.67,169.52,Buy,MTB12
2024-07-22 14:36:00-04:00,170.09,169.52,Sell - Away from SMA,MTB12
2024-07-22 15:36:00-04:00,170.73,170.60,Buy,MTB13
2024-07-22 15:38:00-04:00,171.01,170.60,Sell - Away from SMA,MTB13
2024-07-23 14:18:00-04:00,172.94,172.92,Buy,MTB14
2024-07-23 14:20:00-04:00,173.02,172.92,Sell - Away from SMA,MTB14
2024-07-24 09:50:00-04:00,173.10,172.27,Buy,MTB15
2024-07-24 09:52:00-04:00,172.27,172.27,Sell - Stop Loss,MTB15
2024-07-25 10:58:00-04:00,173.61,173.57,Buy,MTB16
2024-07-25 11:00:00-04:00,174.33,173.57,Sell - Away from SMA,MTB16
2024-07-25 11:16:00-04:00,174.41,174.29,Buy,MTB17
2024-07-25 11:18:00-04:00,174.54,174.29,Sell - Away from SMA,MTB17
2024-07-25 11:34:00-04:00,174.60,174.46,Buy,MTB18
2024-07-25 11:36:00-04:00,174.76,174.46,Sell - Away from SMA,MTB18
2024-07-25 12:22:00-04:00,176.10,175.81,Buy,MTB19
2024-07-25 12:24:00-04:00,176.13,175.81,Sell - Away from SMA,MTB19
2024-07-30 10:22:00-04:00,173.81,173.70,Buy,MTB20
2024-07-30 10:24:00-04:00,174.10,173.70,Sell - Away from SMA,MTB20
2024-07-30 15:38:00-04:00,174.20,174.03,Buy,MTB21
2024-07-30 15:40:00-04:00,174.13,174.03,Sell - Away from SMA,MTB21
2024-08-02 13:36:00-04:00,160.85,160.71,Buy,MTB22
2024-08-02 13:38:00-04:00,160.86,160.71,Sell - Away from SMA,MTB22
2024-08-02 14:10:00-04:00,160.33,160.22,Buy,MTB23
2024-08-02 14:14:00-04:00,160.57,160.22,Sell - Away from SMA,MTB23
2024-08-02 15:18:00-04:00,161.56,161.43,Buy,MTB24
2024-08-02 15:20:00-04:00,161.73,161.43,Sell - Away from SMA,MTB24
2024-08-05 11:54:00-04:00,160.20,160.17,Buy,MTB25
2024-08-05 11:56:00-04:00,160.57,160.17,Sell - Away from SMA,MTB25
2024-08-05 12:26:00-04:00,160.98,160.94,Buy,MTB26
2024-08-05 12:28:00-04:00,161.29,160.94,Sell - Away from SMA,MTB26
2024-08-05 14:40:00-04:00,160.57,160.44,Buy,MTB27
2024-08-05 14:44:00-04:00,160.56,160.44,Sell - Away from SMA,MTB27
2024-08-06 12:28:00-04:00,161.96,161.90,Buy,MTB28
2024-08-06 12:30:00-04:00,161.90,161.90,Sell - Stop Loss,MTB28
2024-08-13 11:12:00-04:00,159.55,159.37,Buy,MTB29
2024-08-13 11:16:00-04:00,159.79,159.37,Sell - Away from SMA,MTB29
2024-08-14 12:36:00-04:00,160.24,160.17,Buy,MTB30
2024-08-14 12:38:00-04:00,160.51,160.17,Sell - Away from SMA,MTB30
2024-08-15 10:50:00-04:00,161.74,161.56,Buy,MTB31
2024-08-15 10:52:00-04:00,161.89,161.56,Sell - Away from SMA,MTB31
2024-08-15 11:32:00-04:00,162.80,162.61,Buy,MTB32
2024-08-15 11:34:00-04:00,162.85,162.61,Sell - Away from SMA,MTB32
2024-08-16 12:50:00-04:00,162.59,162.56,Buy,MTB33
2024-08-16 12:52:00-04:00,162.74,162.56,Sell - Away from SMA,MTB33
2024-08-16 14:46:00-04:00,163.05,163.01,Buy,MTB34
2024-08-16 14:48:00-04:00,163.26,163.01,Sell - Away from SMA,MTB34
2024-08-16 15:12:00-04:00,163.23,163.18,Buy,MTB35
2024-08-16 15:16:00-04:00,163.18,163.18,Sell - Stop Loss,MTB35
2024-08-22 10:40:00-04:00,163.32,163.19,Buy,MTB36
2024-08-22 10:44:00-04:00,163.70,163.19,Sell - Away from SMA,MTB36
2024-08-22 13:16:00-04:00,164.72,164.63,Buy,MTB37
2024-08-22 13:18:00-04:00,164.94,164.63,Sell - Away from SMA,MTB37
2024-08-22 15:30:00-04:00,164.92,164.82,Buy,MTB38
2024-08-22 15:32:00-04:00,164.94,164.82,Sell - Away from SMA,MTB38
2024-08-22 15:36:00-04:00,165.10,164.96,Buy,MTB39
2024-08-22 15:38:00-04:00,165.16,164.96,Sell - Away from SMA,MTB39
