Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:56:00-04:00,34.71,34.57,Buy,MTCH1
2024-07-16 09:58:00-04:00,34.80,34.57,Sell - Away from SMA,MTCH1
2024-07-16 10:30:00-04:00,34.37,34.25,Buy,MTCH2
2024-07-16 10:32:00-04:00,34.54,34.25,Sell - Away from SMA,MTCH2
2024-07-16 11:14:00-04:00,34.70,34.65,Buy,MTCH3
2024-07-16 11:16:00-04:00,34.65,34.65,Sell - Stop Loss,MTCH3
2024-07-17 10:10:00-04:00,34.87,34.78,Buy,MTCH4
2024-07-17 10:14:00-04:00,34.96,34.78,Sell - Away from SMA,MTCH4
2024-07-22 11:26:00-04:00,34.64,34.61,Buy,MTCH5
2024-07-22 11:32:00-04:00,34.61,34.61,Sell - Stop Loss,MTCH5
2024-07-23 10:12:00-04:00,34.63,34.52,Buy,MTCH6
2024-07-23 10:16:00-04:00,34.75,34.52,Sell - Away from SMA,MTCH6
2024-07-25 13:30:00-04:00,33.56,33.49,Buy,MTCH7
2024-07-25 14:00:00-04:00,33.64,33.60,Buy,MTCH8
2024-07-25 14:02:00-04:00,33.60,33.60,Sell - Stop Loss,MTCH8
2024-07-25 14:46:00-04:00,33.49,33.49,Sell - Stop Loss,MTCH7
2024-07-26 15:20:00-04:00,33.14,33.09,Buy,MTCH9
2024-07-26 15:30:00-04:00,33.09,33.09,Sell - Stop Loss,MTCH9
2024-07-29 09:44:00-04:00,33.46,33.38,Buy,MTCH10
2024-07-29 09:48:00-04:00,33.66,33.38,Sell - Away from SMA,MTCH10
2024-07-29 10:36:00-04:00,33.47,33.40,Buy,MTCH11
2024-07-29 10:58:00-04:00,33.64,33.40,Sell - Away from SMA,MTCH11
2024-07-30 13:26:00-04:00,33.67,33.64,Buy,MTCH12
2024-07-30 13:34:00-04:00,33.79,33.64,Sell - Away from SMA,MTCH12
2024-07-30 14:44:00-04:00,33.77,33.73,Buy,MTCH13
2024-07-30 14:46:00-04:00,33.73,33.73,Sell - Stop Loss,MTCH13
2024-07-30 15:20:00-04:00,33.70,33.66,Buy,MTCH14
2024-07-30 15:30:00-04:00,33.66,33.66,Sell - Stop Loss,MTCH14
2024-07-31 10:06:00-04:00,37.83,37.61,Buy,MTCH15
2024-07-31 10:08:00-04:00,37.61,37.61,Sell - Stop Loss,MTCH15
2024-08-01 13:58:00-04:00,36.88,36.78,Buy,MTCH16
2024-08-01 14:00:00-04:00,36.96,36.78,Sell - Away from SMA,MTCH16
2024-08-01 14:10:00-04:00,37.12,37.01,Buy,MTCH17
2024-08-01 14:14:00-04:00,37.18,37.01,Sell - Away from SMA,MTCH17
2024-08-01 15:38:00-04:00,37.32,37.23,Buy,MTCH18
2024-08-01 15:40:00-04:00,37.38,37.23,Sell - Away from SMA,MTCH18
2024-08-02 09:40:00-04:00,37.17,37.08,Buy,MTCH19
2024-08-02 09:42:00-04:00,37.32,37.08,Sell - Away from SMA,MTCH19
2024-08-05 15:36:00-04:00,35.61,35.56,Buy,MTCH20
2024-08-05 15:40:00-04:00,35.70,35.56,Sell - Away from SMA,MTCH20
2024-08-08 12:28:00-04:00,34.56,34.52,Buy,MTCH21
2024-08-08 12:30:00-04:00,34.52,34.52,Sell - Stop Loss,MTCH21
2024-08-09 14:00:00-04:00,34.91,34.89,Buy,MTCH22
2024-08-09 14:24:00-04:00,34.89,34.89,Sell - Stop Loss,MTCH22
2024-08-13 13:34:00-04:00,34.03,34.00,Buy,MTCH23
2024-08-13 13:38:00-04:00,34.20,34.00,Sell - Away from SMA,MTCH23
2024-08-13 14:38:00-04:00,34.29,34.26,Buy,MTCH24
2024-08-13 14:40:00-04:00,34.26,34.26,Sell - Stop Loss,MTCH24
2024-08-15 09:42:00-04:00,35.15,35.05,Buy,MTCH25
2024-08-15 09:44:00-04:00,35.19,35.05,Sell - Away from SMA,MTCH25
2024-08-15 11:12:00-04:00,35.15,35.12,Buy,MTCH26
2024-08-15 11:14:00-04:00,35.26,35.12,Sell - Away from SMA,MTCH26
2024-08-15 14:14:00-04:00,35.39,35.35,Buy,MTCH27
2024-08-16 09:30:00-04:00,35.35,35.35,Sell - Stop Loss,MTCH27
2024-08-16 14:02:00-04:00,34.84,34.79,Buy,MTCH28
2024-08-19 09:30:00-04:00,35.50,34.79,Sell - Away from SMA,MTCH28
2024-08-19 09:30:00-04:00,35.23,35.16,Buy,MTCH29
2024-08-19 09:32:00-04:00,35.71,35.16,Sell - Away from SMA,MTCH29
2024-08-19 09:42:00-04:00,36.11,36.01,Buy,MTCH30
2024-08-19 09:44:00-04:00,36.17,36.01,Sell - Away from SMA,MTCH30
2024-08-19 13:40:00-04:00,36.55,36.51,Buy,MTCH31
2024-08-19 15:06:00-04:00,36.51,36.51,Sell - Stop Loss,MTCH31
2024-08-21 10:22:00-04:00,36.83,36.76,Buy,MTCH32
2024-08-21 10:24:00-04:00,36.94,36.76,Sell - Away from SMA,MTCH32
2024-08-21 12:38:00-04:00,37.15,37.09,Buy,MTCH33
2024-08-21 12:54:00-04:00,37.30,37.09,Sell - Away from SMA,MTCH33
2024-08-23 12:30:00-04:00,37.06,37.02,Buy,MTCH34
2024-08-23 14:36:00-04:00,37.34,37.02,Sell - Away from SMA,MTCH34
