Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-18 09:46:00-04:00,746.99,743.29,Buy,NOW1
2024-07-18 09:48:00-04:00,749.00,743.29,Sell - Away from SMA,NOW1
2024-07-18 10:12:00-04:00,747.06,745.98,Buy,NOW2
2024-07-18 10:14:00-04:00,749.22,745.98,Sell - Away from SMA,NOW2
2024-07-18 15:18:00-04:00,735.84,735.09,Buy,NOW3
2024-07-18 15:20:00-04:00,738.67,735.09,Sell - Away from SMA,NOW3
2024-07-18 15:24:00-04:00,738.17,737.07,Buy,NOW4
2024-07-18 15:26:00-04:00,738.27,737.07,Sell - Away from SMA,NOW4
2024-07-19 12:52:00-04:00,753.52,753.24,Buy,NOW5
2024-07-19 12:54:00-04:00,753.58,753.24,Sell - Away from SMA,NOW5
2024-07-22 10:32:00-04:00,757.82,755.92,Buy,NOW6
2024-07-22 10:34:00-04:00,760.59,755.92,Sell - Away from SMA,NOW6
2024-07-22 13:26:00-04:00,759.25,759.17,Buy,NOW7
2024-07-22 13:28:00-04:00,759.17,759.17,Sell - Stop Loss,NOW7
2024-07-22 14:20:00-04:00,762.81,762.67,Buy,NOW8
2024-07-22 14:22:00-04:00,763.50,762.67,Sell - Away from SMA,NOW8
2024-07-22 15:16:00-04:00,760.54,760.20,Buy,NOW9
2024-07-22 15:18:00-04:00,760.74,760.20,Sell - Away from SMA,NOW9
2024-07-22 15:36:00-04:00,760.43,759.82,Buy,NOW10
2024-07-22 15:38:00-04:00,760.11,759.82,Sell - Away from SMA,NOW10
2024-07-23 09:44:00-04:00,769.99,768.44,Buy,NOW11
2024-07-23 09:46:00-04:00,772.62,768.44,Sell - Away from SMA,NOW11
2024-07-23 10:06:00-04:00,771.78,770.91,Buy,NOW12
2024-07-23 10:08:00-04:00,774.63,770.91,Sell - Away from SMA,NOW12
2024-07-23 11:00:00-04:00,767.78,767.10,Buy,NOW13
2024-07-23 11:02:00-04:00,769.48,767.10,Sell - Away from SMA,NOW13
2024-07-25 10:16:00-04:00,813.85,809.99,Buy,NOW14
2024-07-25 10:18:00-04:00,821.87,809.99,Sell - Away from SMA,NOW14
2024-07-25 10:46:00-04:00,818.04,814.80,Buy,NOW15
2024-07-25 10:48:00-04:00,820.18,814.80,Sell - Away from SMA,NOW15
2024-07-25 11:14:00-04:00,831.78,827.92,Buy,NOW16
2024-07-25 11:16:00-04:00,833.91,827.92,Sell - Away from SMA,NOW16
2024-07-25 11:50:00-04:00,830.61,829.67,Buy,NOW17
2024-07-25 11:52:00-04:00,831.31,829.67,Sell - Away from SMA,NOW17
2024-07-25 14:54:00-04:00,837.24,835.03,Buy,NOW18
2024-07-25 14:56:00-04:00,839.39,835.03,Sell - Away from SMA,NOW18
2024-07-26 10:24:00-04:00,839.71,837.04,Buy,NOW19
2024-07-26 10:26:00-04:00,844.02,837.04,Sell - Away from SMA,NOW19
2024-07-30 15:26:00-04:00,794.90,794.23,Buy,NOW20
2024-07-30 15:28:00-04:00,794.85,794.23,Sell - Away from SMA,NOW20
2024-07-30 15:44:00-04:00,794.68,793.94,Buy,NOW21
2024-07-30 15:46:00-04:00,798.56,793.94,Sell - Away from SMA,NOW21
2024-07-31 10:30:00-04:00,814.72,813.16,Buy,NOW22
2024-07-31 10:32:00-04:00,817.65,813.16,Sell - Away from SMA,NOW22
2024-07-31 15:06:00-04:00,820.57,818.73,Buy,NOW23
2024-07-31 15:08:00-04:00,821.46,818.73,Sell - Away from SMA,NOW23
2024-08-01 09:30:00-04:00,815.44,814.34,Buy,NOW24
2024-08-01 09:32:00-04:00,825.00,814.34,Sell - Away from SMA,NOW24
2024-08-02 12:26:00-04:00,784.47,783.07,Buy,NOW25
2024-08-02 12:28:00-04:00,785.72,783.07,Sell - Away from SMA,NOW25
2024-08-02 13:12:00-04:00,780.79,779.98,Buy,NOW26
2024-08-02 13:14:00-04:00,782.19,779.98,Sell - Away from SMA,NOW26
2024-08-02 13:28:00-04:00,783.15,781.38,Buy,NOW27
2024-08-02 13:30:00-04:00,782.97,781.38,Sell - Away from SMA,NOW27
2024-08-05 12:14:00-04:00,785.72,782.94,Buy,NOW28
2024-08-05 12:16:00-04:00,787.86,782.94,Sell - Away from SMA,NOW28
2024-08-06 09:30:00-04:00,782.34,780.31,Buy,NOW29
2024-08-06 09:32:00-04:00,790.20,780.31,Sell - Away from SMA,NOW29
2024-08-06 09:44:00-04:00,785.61,783.32,Buy,NOW30
2024-08-06 09:46:00-04:00,792.22,783.32,Sell - Away from SMA,NOW30
2024-08-06 09:56:00-04:00,794.87,793.58,Buy,NOW31
2024-08-06 09:58:00-04:00,793.58,793.58,Sell - Stop Loss,NOW31
2024-08-06 11:04:00-04:00,804.82,803.18,Buy,NOW32
2024-08-06 11:06:00-04:00,806.96,803.18,Sell - Away from SMA,NOW32
2024-08-06 11:52:00-04:00,807.61,805.04,Buy,NOW33
2024-08-06 11:54:00-04:00,810.00,805.04,Sell - Away from SMA,NOW33
2024-08-06 12:42:00-04:00,810.81,809.99,Buy,NOW34
2024-08-06 12:44:00-04:00,809.99,809.99,Sell - Stop Loss,NOW34
2024-08-09 09:50:00-04:00,803.55,802.52,Buy,NOW35
2024-08-09 09:52:00-04:00,808.43,802.52,Sell - Away from SMA,NOW35
2024-08-09 10:10:00-04:00,812.01,810.78,Buy,NOW36
2024-08-09 10:12:00-04:00,816.02,810.78,Sell - Away from SMA,NOW36
2024-08-09 14:32:00-04:00,809.18,808.99,Buy,NOW37
2024-08-09 14:34:00-04:00,808.99,808.99,Sell - Stop Loss,NOW37
2024-08-13 09:32:00-04:00,812.87,811.73,Buy,NOW38
2024-08-13 09:34:00-04:00,822.53,811.73,Sell - Away from SMA,NOW38
2024-08-13 11:12:00-04:00,818.14,817.28,Buy,NOW39
2024-08-13 11:14:00-04:00,820.56,817.28,Sell - Away from SMA,NOW39
2024-08-13 12:58:00-04:00,821.35,820.99,Buy,NOW40
2024-08-13 13:00:00-04:00,820.99,820.99,Sell - Stop Loss,NOW40
2024-08-14 11:28:00-04:00,820.92,819.90,Buy,NOW41
2024-08-14 11:30:00-04:00,821.71,819.90,Sell - Away from SMA,NOW41
2024-08-14 11:36:00-04:00,821.62,820.71,Buy,NOW42
2024-08-14 11:38:00-04:00,822.25,820.71,Sell - Away from SMA,NOW42
2024-08-15 10:56:00-04:00,831.62,831.17,Buy,NOW43
2024-08-15 10:58:00-04:00,831.17,831.17,Sell - Stop Loss,NOW43
2024-08-15 11:54:00-04:00,831.37,830.84,Buy,NOW44
2024-08-15 11:56:00-04:00,832.31,830.84,Sell - Away from SMA,NOW44
2024-08-15 12:20:00-04:00,833.86,833.31,Buy,NOW45
2024-08-15 12:22:00-04:00,834.67,833.31,Sell - Away from SMA,NOW45
2024-08-16 12:18:00-04:00,829.39,829.14,Buy,NOW46
2024-08-16 12:20:00-04:00,829.96,829.14,Sell - Away from SMA,NOW46
2024-08-16 13:22:00-04:00,828.02,827.78,Buy,NOW47
2024-08-16 13:24:00-04:00,827.91,827.78,Sell - Away from SMA,NOW47
2024-08-20 09:40:00-04:00,839.90,839.22,Buy,NOW48
2024-08-20 09:42:00-04:00,839.22,839.22,Sell - Stop Loss,NOW48
2024-08-21 14:28:00-04:00,836.66,835.99,Buy,NOW49
2024-08-21 14:30:00-04:00,837.63,835.99,Sell - Away from SMA,NOW49
2024-08-21 15:42:00-04:00,836.88,836.58,Buy,NOW50
2024-08-21 15:44:00-04:00,836.58,836.58,Sell - Stop Loss,NOW50
2024-08-21 15:52:00-04:00,839.07,838.22,Buy,NOW51
2024-08-21 15:54:00-04:00,840.13,838.22,Sell - Away from SMA,NOW51
