Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:32:00-04:00,129.78,129.65,Buy,NTAP1
2024-07-16 12:44:00-04:00,129.71,129.65,Sell - Away from SMA,NTAP1
2024-07-16 13:36:00-04:00,130.43,130.38,Buy,NTAP2
2024-07-16 13:38:00-04:00,130.51,130.38,Sell - Away from SMA,NTAP2
2024-07-16 14:22:00-04:00,130.40,130.35,Buy,NTAP3
2024-07-16 14:34:00-04:00,130.56,130.35,Sell - Away from SMA,NTAP3
2024-07-19 09:54:00-04:00,126.39,126.34,Buy,NTAP4
2024-07-19 09:56:00-04:00,126.52,126.34,Sell - Away from SMA,NTAP4
2024-07-19 10:46:00-04:00,126.25,126.16,Buy,NTAP5
2024-07-19 10:48:00-04:00,126.41,126.16,Sell - Away from SMA,NTAP5
2024-07-19 14:26:00-04:00,126.48,126.43,Buy,NTAP6
2024-07-19 14:28:00-04:00,126.43,126.43,Sell - Stop Loss,NTAP6
2024-07-19 15:04:00-04:00,126.65,126.59,Buy,NTAP7
2024-07-19 15:06:00-04:00,126.76,126.59,Sell - Away from SMA,NTAP7
2024-07-22 09:48:00-04:00,128.20,128.09,Buy,NTAP8
2024-07-22 09:50:00-04:00,128.09,128.09,Sell - Stop Loss,NTAP8
2024-07-22 10:56:00-04:00,128.10,128.01,Buy,NTAP9
2024-07-22 10:58:00-04:00,128.23,128.01,Sell - Away from SMA,NTAP9
2024-07-22 13:42:00-04:00,128.79,128.72,Buy,NTAP10
2024-07-22 13:44:00-04:00,128.87,128.72,Sell - Away from SMA,NTAP10
2024-07-23 11:18:00-04:00,129.24,129.17,Buy,NTAP11
2024-07-23 11:20:00-04:00,129.26,129.17,Sell - Away from SMA,NTAP11
2024-07-23 12:48:00-04:00,129.00,128.97,Buy,NTAP12
2024-07-23 12:50:00-04:00,128.97,128.97,Sell - Stop Loss,NTAP12
2024-07-25 11:10:00-04:00,126.06,125.99,Buy,NTAP13
2024-07-25 11:12:00-04:00,126.38,125.99,Sell - Away from SMA,NTAP13
2024-07-25 11:38:00-04:00,126.13,126.06,Buy,NTAP14
2024-07-25 11:42:00-04:00,126.26,126.06,Sell - Away from SMA,NTAP14
2024-07-25 14:12:00-04:00,126.80,126.77,Buy,NTAP15
2024-07-25 14:16:00-04:00,126.77,126.77,Sell - Stop Loss,NTAP15
2024-07-26 12:24:00-04:00,126.52,126.43,Buy,NTAP16
2024-07-26 12:40:00-04:00,126.67,126.43,Sell - Away from SMA,NTAP16
2024-07-26 12:56:00-04:00,126.68,126.60,Buy,NTAP17
2024-07-26 12:58:00-04:00,126.78,126.60,Sell - Away from SMA,NTAP17
2024-07-31 11:00:00-04:00,125.54,125.43,Buy,NTAP18
2024-07-31 11:02:00-04:00,125.43,125.43,Sell - Stop Loss,NTAP18
2024-07-31 15:10:00-04:00,126.35,126.20,Buy,NTAP19
2024-07-31 15:12:00-04:00,126.45,126.20,Sell - Away from SMA,NTAP19
2024-08-02 14:42:00-04:00,118.92,118.82,Buy,NTAP20
2024-08-02 14:48:00-04:00,119.13,118.82,Sell - Away from SMA,NTAP20
2024-08-02 14:54:00-04:00,119.18,119.12,Buy,NTAP21
2024-08-02 14:56:00-04:00,119.12,119.12,Sell - Stop Loss,NTAP21
2024-08-06 09:38:00-04:00,116.67,116.60,Buy,NTAP22
2024-08-06 09:40:00-04:00,116.60,116.60,Sell - Stop Loss,NTAP22
2024-08-06 09:56:00-04:00,117.66,117.42,Buy,NTAP23
2024-08-06 09:58:00-04:00,117.42,117.42,Sell - Stop Loss,NTAP23
2024-08-06 10:52:00-04:00,118.65,118.47,Buy,NTAP24
2024-08-06 10:54:00-04:00,118.66,118.47,Sell - Away from SMA,NTAP24
2024-08-06 11:40:00-04:00,118.17,117.99,Buy,NTAP25
2024-08-06 11:42:00-04:00,118.28,117.99,Sell - Away from SMA,NTAP25
2024-08-08 13:32:00-04:00,119.06,118.95,Buy,NTAP26
2024-08-08 13:34:00-04:00,119.07,118.95,Sell - Away from SMA,NTAP26
2024-08-08 13:50:00-04:00,119.16,119.09,Buy,NTAP27
2024-08-08 13:52:00-04:00,119.18,119.09,Sell - Away from SMA,NTAP27
2024-08-08 14:20:00-04:00,119.09,119.06,Buy,NTAP28
2024-08-08 14:26:00-04:00,119.06,119.06,Sell - Stop Loss,NTAP28
2024-08-08 15:48:00-04:00,119.15,119.00,Buy,NTAP29
2024-08-08 15:50:00-04:00,119.38,119.00,Sell - Away from SMA,NTAP29
2024-08-09 14:16:00-04:00,121.66,121.58,Buy,NTAP30
2024-08-09 14:18:00-04:00,121.77,121.58,Sell - Away from SMA,NTAP30
2024-08-09 15:14:00-04:00,122.33,122.26,Buy,NTAP31
2024-08-09 15:16:00-04:00,122.36,122.26,Sell - Away from SMA,NTAP31
2024-08-09 15:44:00-04:00,122.64,122.56,Buy,NTAP32
2024-08-09 15:46:00-04:00,122.78,122.56,Sell - Away from SMA,NTAP32
2024-08-12 10:12:00-04:00,123.47,123.28,Buy,NTAP33
2024-08-12 10:14:00-04:00,123.74,123.28,Sell - Away from SMA,NTAP33
