Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:22:00-04:00,90.23,90.17,Buy,NTRS1
2024-07-15 14:24:00-04:00,90.33,90.17,Sell - Away from SMA,NTRS1
2024-07-16 09:32:00-04:00,90.48,89.95,Buy,NTRS2
2024-07-16 09:34:00-04:00,90.98,89.95,Sell - Away from SMA,NTRS2
2024-07-16 10:28:00-04:00,91.23,91.17,Buy,NTRS3
2024-07-16 10:30:00-04:00,91.38,91.17,Sell - Away from SMA,NTRS3
2024-07-19 15:22:00-04:00,86.04,85.99,Buy,NTRS4
2024-07-19 15:24:00-04:00,86.14,85.99,Sell - Away from SMA,NTRS4
2024-07-22 10:56:00-04:00,86.72,86.67,Buy,NTRS5
2024-07-22 10:58:00-04:00,87.00,86.67,Sell - Away from SMA,NTRS5
2024-07-22 15:50:00-04:00,86.92,86.84,Buy,NTRS6
2024-07-22 15:52:00-04:00,87.00,86.84,Sell - Away from SMA,NTRS6
2024-07-22 15:58:00-04:00,87.13,87.02,Buy,NTRS7
2024-07-23 09:30:00-04:00,87.02,87.02,Sell - Stop Loss,NTRS7
2024-07-23 10:16:00-04:00,87.50,87.39,Buy,NTRS8
2024-07-23 10:20:00-04:00,87.55,87.39,Sell - Away from SMA,NTRS8
2024-07-23 11:58:00-04:00,87.33,87.27,Buy,NTRS9
2024-07-23 12:00:00-04:00,87.50,87.27,Sell - Away from SMA,NTRS9
2024-07-24 11:34:00-04:00,87.52,87.45,Buy,NTRS10
2024-07-24 11:36:00-04:00,87.54,87.45,Sell - Away from SMA,NTRS10
2024-07-24 11:40:00-04:00,87.60,87.57,Buy,NTRS11
2024-07-24 11:42:00-04:00,87.76,87.57,Sell - Away from SMA,NTRS11
2024-07-25 12:00:00-04:00,88.35,88.28,Buy,NTRS12
2024-07-25 12:02:00-04:00,88.28,88.28,Sell - Stop Loss,NTRS12
2024-07-26 09:46:00-04:00,88.62,88.60,Buy,NTRS13
2024-07-26 09:48:00-04:00,89.34,88.60,Sell - Away from SMA,NTRS13
2024-07-26 10:58:00-04:00,89.53,89.48,Buy,NTRS14
2024-07-26 11:02:00-04:00,89.48,89.48,Sell - Stop Loss,NTRS14
