Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:32:00-04:00,200.24,200.06,Buy,ODFL1
2024-07-16 10:34:00-04:00,200.54,200.06,Sell - Away from SMA,ODFL1
2024-07-16 10:52:00-04:00,201.06,200.98,Buy,ODFL2
2024-07-16 10:54:00-04:00,201.36,200.98,Sell - Away from SMA,ODFL2
2024-07-16 11:08:00-04:00,201.36,201.05,Buy,ODFL3
2024-07-16 11:10:00-04:00,201.70,201.05,Sell - Away from SMA,ODFL3
2024-07-16 12:06:00-04:00,201.83,201.73,Buy,ODFL4
2024-07-16 12:08:00-04:00,202.18,201.73,Sell - Away from SMA,ODFL4
2024-07-16 12:20:00-04:00,202.05,201.96,Buy,ODFL5
2024-07-16 12:22:00-04:00,202.35,201.96,Sell - Away from SMA,ODFL5
2024-07-16 13:34:00-04:00,202.70,202.54,Buy,ODFL6
2024-07-16 13:36:00-04:00,202.76,202.54,Sell - Away from SMA,ODFL6
2024-07-16 13:48:00-04:00,203.21,203.09,Buy,ODFL7
2024-07-16 13:50:00-04:00,203.09,203.09,Sell - Stop Loss,ODFL7
2024-07-16 14:26:00-04:00,203.18,203.03,Buy,ODFL8
2024-07-16 14:28:00-04:00,203.35,203.03,Sell - Away from SMA,ODFL8
2024-07-16 15:16:00-04:00,203.67,203.51,Buy,ODFL9
2024-07-16 15:18:00-04:00,203.85,203.51,Sell - Away from SMA,ODFL9
2024-07-18 13:28:00-04:00,198.01,197.91,Buy,ODFL10
2024-07-18 13:30:00-04:00,198.40,197.91,Sell - Away from SMA,ODFL10
2024-07-19 14:02:00-04:00,195.07,195.04,Buy,ODFL11
2024-07-19 14:04:00-04:00,195.30,195.04,Sell - Away from SMA,ODFL11
2024-07-19 15:20:00-04:00,196.30,196.26,Buy,ODFL12
2024-07-19 15:22:00-04:00,196.58,196.26,Sell - Away from SMA,ODFL12
2024-07-19 15:50:00-04:00,195.62,195.52,Buy,ODFL13
2024-07-19 15:52:00-04:00,195.52,195.52,Sell - Stop Loss,ODFL13
2024-07-22 13:38:00-04:00,195.21,195.13,Buy,ODFL14
2024-07-22 13:40:00-04:00,195.13,195.13,Sell - Stop Loss,ODFL14
2024-07-22 13:52:00-04:00,194.94,194.84,Buy,ODFL15
2024-07-22 13:54:00-04:00,195.26,194.84,Sell - Away from SMA,ODFL15
2024-07-23 14:34:00-04:00,195.48,195.44,Buy,ODFL16
2024-07-23 14:36:00-04:00,195.44,195.44,Sell - Stop Loss,ODFL16
2024-07-23 15:22:00-04:00,195.40,195.23,Buy,ODFL17
2024-07-23 15:24:00-04:00,195.60,195.23,Sell - Away from SMA,ODFL17
2024-07-24 11:42:00-04:00,197.35,197.06,Buy,ODFL18
2024-07-24 11:44:00-04:00,197.06,197.06,Sell - Stop Loss,ODFL18
2024-07-24 12:14:00-04:00,198.82,198.46,Buy,ODFL19
2024-07-24 12:16:00-04:00,199.23,198.46,Sell - Away from SMA,ODFL19
2024-07-26 12:38:00-04:00,203.71,203.40,Buy,ODFL20
