Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:46:00-04:00,84.92,84.87,Buy,OKE1
2024-07-16 12:48:00-04:00,85.04,84.87,Sell - Away from SMA,OKE1
2024-07-17 10:02:00-04:00,86.14,85.94,Buy,OKE2
2024-07-17 10:04:00-04:00,85.94,85.94,Sell - Stop Loss,OKE2
2024-07-17 10:52:00-04:00,85.69,85.59,Buy,OKE3
2024-07-17 10:54:00-04:00,85.76,85.59,Sell - Away from SMA,OKE3
2024-07-19 09:56:00-04:00,83.87,83.80,Buy,OKE4
2024-07-19 09:58:00-04:00,84.24,83.80,Sell - Away from SMA,OKE4
2024-07-19 10:06:00-04:00,84.51,84.36,Buy,OKE5
2024-07-19 10:08:00-04:00,84.69,84.36,Sell - Away from SMA,OKE5
2024-07-19 11:06:00-04:00,83.90,83.85,Buy,OKE6
2024-07-19 11:10:00-04:00,84.00,83.85,Sell - Away from SMA,OKE6
2024-07-22 13:26:00-04:00,84.08,83.99,Buy,OKE7
2024-07-22 13:28:00-04:00,84.15,83.99,Sell - Away from SMA,OKE7
2024-07-25 12:26:00-04:00,82.02,81.97,Buy,OKE8
2024-07-25 12:28:00-04:00,82.08,81.97,Sell - Away from SMA,OKE8
2024-07-26 12:42:00-04:00,82.18,82.12,Buy,OKE9
2024-07-26 12:46:00-04:00,82.12,82.12,Sell - Stop Loss,OKE9
2024-07-26 13:12:00-04:00,82.26,82.21,Buy,OKE10
2024-07-26 13:22:00-04:00,82.38,82.21,Sell - Away from SMA,OKE10
2024-07-26 13:28:00-04:00,82.37,82.32,Buy,OKE11
2024-07-26 13:32:00-04:00,82.45,82.32,Sell - Away from SMA,OKE11
2024-07-29 14:32:00-04:00,81.86,81.82,Buy,OKE12
2024-07-29 14:36:00-04:00,81.82,81.82,Sell - Stop Loss,OKE12
2024-07-30 10:44:00-04:00,82.59,82.54,Buy,OKE13
2024-07-30 10:50:00-04:00,82.70,82.54,Sell - Away from SMA,OKE13
2024-07-30 13:36:00-04:00,82.54,82.49,Buy,OKE14
2024-07-30 13:38:00-04:00,82.49,82.49,Sell - Stop Loss,OKE14
2024-07-30 15:24:00-04:00,82.86,82.79,Buy,OKE15
2024-07-30 15:30:00-04:00,82.79,82.79,Sell - Stop Loss,OKE15
2024-07-30 15:48:00-04:00,83.04,82.95,Buy,OKE16
2024-07-30 15:50:00-04:00,83.15,82.95,Sell - Away from SMA,OKE16
2024-07-31 12:48:00-04:00,83.35,83.29,Buy,OKE17
2024-07-31 12:50:00-04:00,83.40,83.29,Sell - Away from SMA,OKE17
2024-08-01 09:36:00-04:00,82.86,82.66,Buy,OKE18
2024-08-01 09:38:00-04:00,82.68,82.66,Sell - Away from SMA,OKE18
2024-08-01 15:30:00-04:00,81.96,81.89,Buy,OKE19
2024-08-01 15:32:00-04:00,82.08,81.89,Sell - Away from SMA,OKE19
2024-08-02 15:50:00-04:00,79.89,79.79,Buy,OKE20
2024-08-02 15:52:00-04:00,80.09,79.79,Sell - Away from SMA,OKE20
2024-08-06 09:46:00-04:00,80.91,80.69,Buy,OKE21
2024-08-06 09:48:00-04:00,81.13,80.69,Sell - Away from SMA,OKE21
2024-08-06 10:08:00-04:00,81.49,81.24,Buy,OKE22
2024-08-06 10:10:00-04:00,81.57,81.24,Sell - Away from SMA,OKE22
2024-08-06 13:16:00-04:00,82.45,82.35,Buy,OKE23
2024-08-06 13:18:00-04:00,82.47,82.35,Sell - Away from SMA,OKE23
2024-08-06 13:36:00-04:00,82.52,82.47,Buy,OKE24
2024-08-06 13:38:00-04:00,82.59,82.47,Sell - Away from SMA,OKE24
2024-08-06 14:22:00-04:00,82.53,82.46,Buy,OKE25
2024-08-06 14:24:00-04:00,82.58,82.46,Sell - Away from SMA,OKE25
2024-08-07 09:32:00-04:00,83.56,83.33,Buy,OKE26
2024-08-07 09:34:00-04:00,83.84,83.33,Sell - Away from SMA,OKE26
2024-08-07 10:06:00-04:00,83.48,83.36,Buy,OKE27
2024-08-07 10:08:00-04:00,84.02,83.36,Sell - Away from SMA,OKE27
2024-08-08 10:16:00-04:00,83.97,83.77,Buy,OKE28
2024-08-08 10:18:00-04:00,84.01,83.77,Sell - Away from SMA,OKE28
2024-08-08 10:30:00-04:00,84.07,84.02,Buy,OKE29
2024-08-08 10:32:00-04:00,84.16,84.02,Sell - Away from SMA,OKE29
2024-08-08 10:48:00-04:00,84.30,84.22,Buy,OKE30
2024-08-08 10:54:00-04:00,84.46,84.22,Sell - Away from SMA,OKE30
2024-08-08 13:18:00-04:00,84.79,84.74,Buy,OKE31
2024-08-08 13:20:00-04:00,84.91,84.74,Sell - Away from SMA,OKE31
2024-08-08 13:40:00-04:00,84.98,84.90,Buy,OKE32
2024-08-08 14:04:00-04:00,85.11,84.90,Sell - Away from SMA,OKE32
2024-08-09 15:14:00-04:00,85.22,85.13,Buy,OKE33
2024-08-09 15:28:00-04:00,85.13,85.13,Sell - Stop Loss,OKE33
2024-08-13 10:08:00-04:00,84.76,84.68,Buy,OKE34
2024-08-13 10:10:00-04:00,84.92,84.68,Sell - Away from SMA,OKE34
2024-08-13 10:58:00-04:00,85.00,84.91,Buy,OKE35
2024-08-13 11:00:00-04:00,85.13,84.91,Sell - Away from SMA,OKE35
2024-08-14 10:18:00-04:00,86.15,86.08,Buy,OKE36
2024-08-14 10:20:00-04:00,86.22,86.08,Sell - Away from SMA,OKE36
2024-08-14 12:30:00-04:00,86.03,85.96,Buy,OKE37
2024-08-14 12:38:00-04:00,86.24,85.96,Sell - Away from SMA,OKE37
2024-08-15 15:06:00-04:00,86.74,86.68,Buy,OKE38
2024-08-15 15:16:00-04:00,86.68,86.68,Sell - Stop Loss,OKE38
2024-08-16 10:38:00-04:00,86.96,86.90,Buy,OKE39
2024-08-16 10:40:00-04:00,86.90,86.90,Sell - Stop Loss,OKE39
2024-08-16 11:10:00-04:00,86.95,86.90,Buy,OKE40
2024-08-16 11:14:00-04:00,87.08,86.90,Sell - Away from SMA,OKE40
2024-08-16 15:04:00-04:00,87.64,87.59,Buy,OKE41
2024-08-16 15:06:00-04:00,87.71,87.59,Sell - Away from SMA,OKE41
2024-08-19 09:46:00-04:00,87.85,87.76,Buy,OKE42
2024-08-19 09:48:00-04:00,88.01,87.76,Sell - Away from SMA,OKE42
2024-08-19 10:36:00-04:00,88.59,88.52,Buy,OKE43
2024-08-19 10:38:00-04:00,88.62,88.52,Sell - Away from SMA,OKE43
2024-08-21 09:56:00-04:00,86.91,86.83,Buy,OKE44
2024-08-21 09:58:00-04:00,87.02,86.83,Sell - Away from SMA,OKE44
2024-08-22 09:54:00-04:00,87.28,87.21,Buy,OKE45
2024-08-22 09:58:00-04:00,87.47,87.21,Sell - Away from SMA,OKE45
2024-08-22 12:10:00-04:00,87.76,87.72,Buy,OKE46
2024-08-22 12:12:00-04:00,87.72,87.72,Sell - Stop Loss,OKE46
2024-08-23 10:10:00-04:00,88.13,88.05,Buy,OKE47
2024-08-23 10:12:00-04:00,88.19,88.05,Sell - Away from SMA,OKE47
2024-08-23 14:02:00-04:00,87.75,87.70,Buy,OKE48
