Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:14:00-04:00,77.01,76.75,Buy,ON1
2024-07-16 10:16:00-04:00,76.94,76.75,Sell - Away from SMA,ON1
2024-07-16 15:58:00-04:00,78.71,78.59,Buy,ON2
2024-07-17 09:30:00-04:00,78.59,78.59,Sell - Stop Loss,ON2
2024-07-18 13:20:00-04:00,76.95,76.65,Buy,ON3
2024-07-18 13:22:00-04:00,77.15,76.65,Sell - Away from SMA,ON3
2024-07-19 15:26:00-04:00,73.17,73.04,Buy,ON4
2024-07-19 15:28:00-04:00,73.24,73.04,Sell - Away from SMA,ON4
2024-07-19 15:58:00-04:00,72.52,72.44,Buy,ON5
2024-07-22 09:30:00-04:00,75.38,72.44,Sell - Away from SMA,ON5
2024-07-22 09:40:00-04:00,74.91,74.53,Buy,ON6
2024-07-22 09:42:00-04:00,75.14,74.53,Sell - Away from SMA,ON6
2024-07-22 10:32:00-04:00,75.50,75.26,Buy,ON7
2024-07-22 10:34:00-04:00,75.67,75.26,Sell - Away from SMA,ON7
2024-07-22 14:18:00-04:00,76.54,76.39,Buy,ON8
2024-07-22 14:20:00-04:00,76.65,76.39,Sell - Away from SMA,ON8
2024-07-22 14:24:00-04:00,76.62,76.46,Buy,ON9
2024-07-22 14:26:00-04:00,76.67,76.46,Sell - Away from SMA,ON9
2024-07-23 15:10:00-04:00,73.89,73.79,Buy,ON10
2024-07-23 15:16:00-04:00,73.82,73.79,Sell - Away from SMA,ON10
2024-07-25 12:32:00-04:00,70.23,69.97,Buy,ON11
2024-07-25 12:34:00-04:00,70.27,69.97,Sell - Away from SMA,ON11
2024-07-26 11:20:00-04:00,69.13,69.03,Buy,ON12
2024-07-26 11:22:00-04:00,69.57,69.03,Sell - Away from SMA,ON12
2024-07-26 11:36:00-04:00,69.45,69.29,Buy,ON13
2024-07-26 11:38:00-04:00,69.68,69.29,Sell - Away from SMA,ON13
2024-07-26 11:54:00-04:00,69.87,69.70,Buy,ON14
2024-07-26 11:56:00-04:00,69.95,69.70,Sell - Away from SMA,ON14
2024-07-26 12:38:00-04:00,70.44,70.31,Buy,ON15
2024-07-26 12:40:00-04:00,70.56,70.31,Sell - Away from SMA,ON15
2024-07-29 10:16:00-04:00,78.58,78.27,Buy,ON16
2024-07-29 10:18:00-04:00,79.70,78.27,Sell - Away from SMA,ON16
2024-07-29 12:02:00-04:00,79.63,79.40,Buy,ON17
2024-07-29 12:04:00-04:00,79.96,79.40,Sell - Away from SMA,ON17
2024-07-29 13:02:00-04:00,79.04,78.83,Buy,ON18
2024-07-29 13:04:00-04:00,79.03,78.83,Sell - Away from SMA,ON18
2024-07-30 15:18:00-04:00,75.17,74.98,Buy,ON19
2024-07-30 15:20:00-04:00,75.53,74.98,Sell - Away from SMA,ON19
2024-07-31 11:58:00-04:00,77.80,77.60,Buy,ON20
2024-07-31 12:00:00-04:00,77.93,77.60,Sell - Away from SMA,ON20
2024-07-31 12:28:00-04:00,77.81,77.70,Buy,ON21
2024-07-31 12:30:00-04:00,77.92,77.70,Sell - Away from SMA,ON21
2024-07-31 15:58:00-04:00,78.33,78.08,Buy,ON22
2024-08-01 09:30:00-04:00,78.08,78.08,Sell - Stop Loss,ON22
2024-08-05 10:00:00-04:00,70.07,69.71,Buy,ON23
2024-08-05 10:02:00-04:00,71.84,69.71,Sell - Away from SMA,ON23
2024-08-05 10:34:00-04:00,70.27,69.80,Buy,ON24
2024-08-05 10:36:00-04:00,70.75,69.80,Sell - Away from SMA,ON24
2024-08-05 12:12:00-04:00,70.75,70.56,Buy,ON25
2024-08-05 12:14:00-04:00,71.00,70.56,Sell - Away from SMA,ON25
2024-08-05 13:40:00-04:00,70.74,70.54,Buy,ON26
2024-08-05 13:42:00-04:00,70.97,70.54,Sell - Away from SMA,ON26
2024-08-06 10:52:00-04:00,69.67,69.49,Buy,ON27
2024-08-06 10:54:00-04:00,69.49,69.49,Sell - Stop Loss,ON27
2024-08-06 11:04:00-04:00,69.59,69.48,Buy,ON28
2024-08-06 11:06:00-04:00,69.66,69.48,Sell - Away from SMA,ON28
2024-08-06 13:56:00-04:00,70.15,70.08,Buy,ON29
2024-08-06 13:58:00-04:00,70.08,70.08,Sell - Stop Loss,ON29
2024-08-08 13:00:00-04:00,71.31,71.13,Buy,ON30
2024-08-08 13:02:00-04:00,71.13,71.13,Sell - Stop Loss,ON30
2024-08-08 13:46:00-04:00,71.91,71.74,Buy,ON31
2024-08-08 13:48:00-04:00,72.14,71.74,Sell - Away from SMA,ON31
2024-08-09 13:12:00-04:00,70.89,70.84,Buy,ON32
2024-08-09 13:14:00-04:00,71.34,70.84,Sell - Away from SMA,ON32
2024-08-09 14:04:00-04:00,71.40,71.32,Buy,ON33
2024-08-09 14:06:00-04:00,71.48,71.32,Sell - Away from SMA,ON33
2024-08-12 15:46:00-04:00,70.16,70.06,Buy,ON34
2024-08-12 15:48:00-04:00,70.24,70.06,Sell - Away from SMA,ON34
2024-08-13 14:38:00-04:00,73.23,73.15,Buy,ON35
2024-08-13 14:40:00-04:00,73.15,73.15,Sell - Stop Loss,ON35
2024-08-14 13:46:00-04:00,71.14,71.06,Buy,ON36
2024-08-14 13:48:00-04:00,71.13,71.06,Sell - Away from SMA,ON36
2024-08-15 09:52:00-04:00,74.03,73.84,Buy,ON37
2024-08-15 09:54:00-04:00,74.17,73.84,Sell - Away from SMA,ON37
2024-08-15 11:04:00-04:00,74.38,74.28,Buy,ON38
2024-08-15 11:06:00-04:00,74.65,74.28,Sell - Away from SMA,ON38
2024-08-19 11:02:00-04:00,76.61,76.44,Buy,ON39
2024-08-19 11:04:00-04:00,76.68,76.44,Sell - Away from SMA,ON39
2024-08-19 11:52:00-04:00,76.47,76.41,Buy,ON40
2024-08-19 11:54:00-04:00,76.41,76.41,Sell - Stop Loss,ON40
2024-08-19 12:10:00-04:00,76.18,76.05,Buy,ON41
2024-08-19 12:16:00-04:00,76.27,76.05,Sell - Away from SMA,ON41
2024-08-21 10:40:00-04:00,77.02,76.74,Buy,ON42
2024-08-21 10:42:00-04:00,77.41,76.74,Sell - Away from SMA,ON42
2024-08-21 11:04:00-04:00,76.28,76.12,Buy,ON43
2024-08-21 11:06:00-04:00,76.45,76.12,Sell - Away from SMA,ON43
2024-08-21 14:18:00-04:00,76.61,76.53,Buy,ON44
2024-08-21 14:20:00-04:00,76.71,76.53,Sell - Away from SMA,ON44
2024-08-21 14:24:00-04:00,76.71,76.63,Buy,ON45
2024-08-21 14:26:00-04:00,76.78,76.63,Sell - Away from SMA,ON45
2024-08-23 10:28:00-04:00,76.25,76.09,Buy,ON46
