Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-17 10:52:00-04:00,63.03,62.93,Buy,OXY1
2024-07-17 10:54:00-04:00,62.93,62.93,Sell - Stop Loss,OXY1
2024-07-17 12:48:00-04:00,63.06,63.00,Buy,OXY2
2024-07-17 12:54:00-04:00,63.26,63.00,Sell - Away from SMA,OXY2
2024-07-18 09:36:00-04:00,63.69,63.49,Buy,OXY3
2024-07-18 09:38:00-04:00,63.86,63.49,Sell - Away from SMA,OXY3
2024-07-18 12:06:00-04:00,64.66,64.58,Buy,OXY4
2024-07-18 12:08:00-04:00,64.76,64.58,Sell - Away from SMA,OXY4
2024-07-18 13:38:00-04:00,64.48,64.41,Buy,OXY5
2024-07-18 13:54:00-04:00,64.41,64.41,Sell - Stop Loss,OXY5
2024-07-19 14:18:00-04:00,63.69,63.64,Buy,OXY6
2024-07-19 14:20:00-04:00,63.64,63.64,Sell - Stop Loss,OXY6
2024-07-26 12:38:00-04:00,60.61,60.56,Buy,OXY7
2024-07-26 12:40:00-04:00,60.70,60.56,Sell - Away from SMA,OXY7
2024-07-26 14:00:00-04:00,60.54,60.50,Buy,OXY8
2024-07-26 14:02:00-04:00,60.63,60.50,Sell - Away from SMA,OXY8
2024-07-26 14:10:00-04:00,60.59,60.54,Buy,OXY9
2024-07-26 14:14:00-04:00,60.54,60.54,Sell - Stop Loss,OXY9
2024-07-29 14:10:00-04:00,59.94,59.87,Buy,OXY10
2024-07-29 14:18:00-04:00,59.87,59.87,Sell - Stop Loss,OXY10
2024-07-30 09:44:00-04:00,60.19,60.09,Buy,OXY11
2024-07-30 09:46:00-04:00,60.28,60.09,Sell - Away from SMA,OXY11
2024-07-30 15:48:00-04:00,60.37,60.30,Buy,OXY12
2024-07-30 15:50:00-04:00,60.42,60.30,Sell - Away from SMA,OXY12
2024-07-31 11:08:00-04:00,61.19,61.12,Buy,OXY13
2024-07-31 11:10:00-04:00,61.22,61.12,Sell - Away from SMA,OXY13
2024-07-31 12:48:00-04:00,61.14,61.10,Buy,OXY14
2024-07-31 12:52:00-04:00,61.10,61.10,Sell - Stop Loss,OXY14
2024-07-31 14:44:00-04:00,61.24,61.17,Buy,OXY15
2024-07-31 14:46:00-04:00,61.25,61.17,Sell - Away from SMA,OXY15
2024-08-02 14:04:00-04:00,56.98,56.92,Buy,OXY16
2024-08-02 14:14:00-04:00,57.12,56.92,Sell - Away from SMA,OXY16
2024-08-02 15:50:00-04:00,57.46,57.40,Buy,OXY17
2024-08-02 15:52:00-04:00,57.63,57.40,Sell - Away from SMA,OXY17
2024-08-06 10:46:00-04:00,56.44,56.34,Buy,OXY18
2024-08-06 10:48:00-04:00,56.51,56.34,Sell - Away from SMA,OXY18
2024-08-08 10:32:00-04:00,58.28,58.18,Buy,OXY19
2024-08-08 10:34:00-04:00,58.36,58.18,Sell - Away from SMA,OXY19
2024-08-08 12:14:00-04:00,58.60,58.49,Buy,OXY20
2024-08-08 12:16:00-04:00,58.49,58.49,Sell - Stop Loss,OXY20
2024-08-08 12:30:00-04:00,58.65,58.56,Buy,OXY21
2024-08-08 12:32:00-04:00,58.70,58.56,Sell - Away from SMA,OXY21
2024-08-08 13:46:00-04:00,59.14,59.05,Buy,OXY22
2024-08-08 13:48:00-04:00,59.20,59.05,Sell - Away from SMA,OXY22
2024-08-08 13:54:00-04:00,59.24,59.11,Buy,OXY23
2024-08-08 14:00:00-04:00,59.11,59.11,Sell - Stop Loss,OXY23
2024-08-09 12:20:00-04:00,58.32,58.25,Buy,OXY24
2024-08-09 12:22:00-04:00,58.38,58.25,Sell - Away from SMA,OXY24
2024-08-12 10:34:00-04:00,58.52,58.42,Buy,OXY25
2024-08-12 10:36:00-04:00,58.61,58.42,Sell - Away from SMA,OXY25
2024-08-12 11:32:00-04:00,58.71,58.60,Buy,OXY26
2024-08-12 11:36:00-04:00,58.84,58.60,Sell - Away from SMA,OXY26
2024-08-12 12:24:00-04:00,59.08,59.01,Buy,OXY27
2024-08-12 12:28:00-04:00,59.01,59.01,Sell - Stop Loss,OXY27
2024-08-12 14:22:00-04:00,58.99,58.93,Buy,OXY28
2024-08-12 14:30:00-04:00,58.93,58.93,Sell - Stop Loss,OXY28
2024-08-13 14:06:00-04:00,57.82,57.76,Buy,OXY29
2024-08-13 14:12:00-04:00,57.93,57.76,Sell - Away from SMA,OXY29
2024-08-15 12:16:00-04:00,57.86,57.78,Buy,OXY30
2024-08-15 12:46:00-04:00,57.78,57.78,Sell - Stop Loss,OXY30
2024-08-15 14:06:00-04:00,57.88,57.84,Buy,OXY31
2024-08-15 14:16:00-04:00,57.84,57.84,Sell - Stop Loss,OXY31
2024-08-16 13:16:00-04:00,57.76,57.71,Buy,OXY32
2024-08-16 13:44:00-04:00,57.71,57.71,Sell - Stop Loss,OXY32
2024-08-21 10:30:00-04:00,56.56,56.46,Buy,OXY33
2024-08-21 10:32:00-04:00,56.61,56.46,Sell - Away from SMA,OXY33
2024-08-22 10:42:00-04:00,56.22,56.16,Buy,OXY34
2024-08-22 10:44:00-04:00,56.16,56.16,Sell - Stop Loss,OXY34
2024-08-22 11:26:00-04:00,56.25,56.20,Buy,OXY35
2024-08-22 11:30:00-04:00,56.41,56.20,Sell - Away from SMA,OXY35
