Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:12:00-04:00,121.21,121.14,Buy,PAYX1
2024-07-15 13:14:00-04:00,121.32,121.14,Sell - Away from SMA,PAYX1
2024-07-15 13:22:00-04:00,121.30,121.25,Buy,PAYX2
2024-07-15 13:24:00-04:00,121.25,121.25,Sell - Stop Loss,PAYX2
2024-07-15 14:12:00-04:00,121.36,121.34,Buy,PAYX3
2024-07-15 14:14:00-04:00,121.46,121.34,Sell - Away from SMA,PAYX3
2024-07-15 14:18:00-04:00,121.45,121.38,Buy,PAYX4
2024-07-15 14:20:00-04:00,121.49,121.38,Sell - Away from SMA,PAYX4
2024-07-15 14:32:00-04:00,121.54,121.48,Buy,PAYX5
2024-07-15 14:34:00-04:00,121.62,121.48,Sell - Away from SMA,PAYX5
2024-07-16 09:56:00-04:00,122.81,122.69,Buy,PAYX6
2024-07-16 09:58:00-04:00,122.69,122.69,Sell - Stop Loss,PAYX6
2024-07-16 10:38:00-04:00,123.23,123.13,Buy,PAYX7
2024-07-16 10:40:00-04:00,123.13,123.13,Sell - Stop Loss,PAYX7
2024-07-16 12:18:00-04:00,123.25,123.20,Buy,PAYX8
2024-07-16 12:20:00-04:00,123.34,123.20,Sell - Away from SMA,PAYX8
2024-07-16 14:02:00-04:00,123.41,123.37,Buy,PAYX9
2024-07-16 14:04:00-04:00,123.48,123.37,Sell - Away from SMA,PAYX9
2024-07-16 14:26:00-04:00,123.30,123.22,Buy,PAYX10
2024-07-16 14:32:00-04:00,123.44,123.22,Sell - Away from SMA,PAYX10
2024-07-16 15:58:00-04:00,124.30,124.21,Buy,PAYX11
2024-07-17 09:30:00-04:00,125.10,124.21,Sell - Away from SMA,PAYX11
2024-07-17 10:24:00-04:00,125.42,125.32,Buy,PAYX12
2024-07-17 10:26:00-04:00,125.71,125.32,Sell - Away from SMA,PAYX12
2024-07-17 11:10:00-04:00,126.08,125.97,Buy,PAYX13
2024-07-17 11:12:00-04:00,126.18,125.97,Sell - Away from SMA,PAYX13
2024-07-17 13:42:00-04:00,126.11,126.07,Buy,PAYX14
2024-07-17 13:44:00-04:00,126.07,126.07,Sell - Stop Loss,PAYX14
2024-07-17 14:30:00-04:00,126.18,126.12,Buy,PAYX15
2024-07-17 14:34:00-04:00,126.32,126.12,Sell - Away from SMA,PAYX15
2024-07-18 11:08:00-04:00,127.37,127.29,Buy,PAYX16
2024-07-18 11:10:00-04:00,127.63,127.29,Sell - Away from SMA,PAYX16
2024-07-22 10:56:00-04:00,122.95,122.88,Buy,PAYX17
2024-07-22 10:58:00-04:00,123.13,122.88,Sell - Away from SMA,PAYX17
2024-07-22 14:40:00-04:00,122.83,122.79,Buy,PAYX18
2024-07-22 14:44:00-04:00,122.87,122.79,Sell - Away from SMA,PAYX18
2024-07-23 14:18:00-04:00,123.77,123.72,Buy,PAYX19
2024-07-23 14:20:00-04:00,123.87,123.72,Sell - Away from SMA,PAYX19
2024-07-23 15:32:00-04:00,123.93,123.86,Buy,PAYX20
2024-07-23 15:34:00-04:00,123.99,123.86,Sell - Away from SMA,PAYX20
2024-07-23 15:42:00-04:00,123.97,123.92,Buy,PAYX21
2024-07-23 15:46:00-04:00,123.92,123.92,Sell - Stop Loss,PAYX21
2024-07-24 14:20:00-04:00,123.76,123.68,Buy,PAYX22
2024-07-24 14:22:00-04:00,123.94,123.68,Sell - Away from SMA,PAYX22
2024-07-25 09:44:00-04:00,124.99,124.84,Buy,PAYX23
2024-07-25 09:46:00-04:00,125.26,124.84,Sell - Away from SMA,PAYX23
2024-07-25 11:42:00-04:00,125.42,125.38,Buy,PAYX24
2024-07-25 11:44:00-04:00,125.58,125.38,Sell - Away from SMA,PAYX24
2024-07-26 10:52:00-04:00,124.62,124.50,Buy,PAYX25
2024-07-26 10:54:00-04:00,124.81,124.50,Sell - Away from SMA,PAYX25
2024-07-26 14:10:00-04:00,126.00,125.91,Buy,PAYX26
2024-07-26 14:12:00-04:00,126.16,125.91,Sell - Away from SMA,PAYX26
2024-07-29 11:46:00-04:00,125.92,125.86,Buy,PAYX27
2024-07-29 11:48:00-04:00,126.09,125.86,Sell - Away from SMA,PAYX27
2024-07-30 12:18:00-04:00,128.06,128.00,Buy,PAYX28
2024-07-30 12:20:00-04:00,128.14,128.00,Sell - Away from SMA,PAYX28
2024-07-31 10:28:00-04:00,129.59,129.55,Buy,PAYX29
2024-07-31 10:30:00-04:00,129.55,129.55,Sell - Stop Loss,PAYX29
2024-07-31 11:22:00-04:00,128.81,128.72,Buy,PAYX30
2024-07-31 11:28:00-04:00,128.99,128.72,Sell - Away from SMA,PAYX30
2024-08-02 12:06:00-04:00,126.31,126.12,Buy,PAYX31
2024-08-02 12:08:00-04:00,126.47,126.12,Sell - Away from SMA,PAYX31
2024-08-02 12:26:00-04:00,126.39,126.32,Buy,PAYX32
2024-08-02 12:28:00-04:00,126.49,126.32,Sell - Away from SMA,PAYX32
2024-08-02 13:52:00-04:00,126.30,126.22,Buy,PAYX33
2024-08-02 13:56:00-04:00,126.47,126.22,Sell - Away from SMA,PAYX33
2024-08-02 14:58:00-04:00,127.03,126.98,Buy,PAYX34
2024-08-02 15:00:00-04:00,127.10,126.98,Sell - Away from SMA,PAYX34
2024-08-07 09:54:00-04:00,126.74,126.52,Buy,PAYX35
2024-08-07 09:56:00-04:00,127.19,126.52,Sell - Away from SMA,PAYX35
2024-08-08 11:02:00-04:00,124.64,124.51,Buy,PAYX36
2024-08-08 11:04:00-04:00,124.76,124.51,Sell - Away from SMA,PAYX36
2024-08-08 15:26:00-04:00,124.45,124.36,Buy,PAYX37
2024-08-08 15:28:00-04:00,124.36,124.36,Sell - Stop Loss,PAYX37
2024-08-09 13:28:00-04:00,124.53,124.50,Buy,PAYX38
2024-08-09 13:30:00-04:00,124.71,124.50,Sell - Away from SMA,PAYX38
2024-08-09 14:18:00-04:00,124.24,124.19,Buy,PAYX39
2024-08-09 14:20:00-04:00,124.19,124.19,Sell - Stop Loss,PAYX39
2024-08-09 15:30:00-04:00,124.32,124.25,Buy,PAYX40
2024-08-09 15:34:00-04:00,124.44,124.25,Sell - Away from SMA,PAYX40
2024-08-12 12:24:00-04:00,123.95,123.92,Buy,PAYX41
2024-08-12 12:26:00-04:00,123.92,123.92,Sell - Stop Loss,PAYX41
2024-08-13 10:32:00-04:00,123.53,123.44,Buy,PAYX42
2024-08-13 10:34:00-04:00,123.67,123.44,Sell - Away from SMA,PAYX42
2024-08-13 15:18:00-04:00,125.26,125.21,Buy,PAYX43
2024-08-13 15:20:00-04:00,125.21,125.21,Sell - Stop Loss,PAYX43
2024-08-13 15:28:00-04:00,125.44,125.36,Buy,PAYX44
2024-08-13 15:30:00-04:00,125.36,125.36,Sell - Stop Loss,PAYX44
2024-08-14 12:36:00-04:00,125.14,125.11,Buy,PAYX45
2024-08-14 12:44:00-04:00,125.11,125.11,Sell - Stop Loss,PAYX45
2024-08-15 09:44:00-04:00,125.75,125.60,Buy,PAYX46
2024-08-15 09:46:00-04:00,125.73,125.60,Sell - Away from SMA,PAYX46
2024-08-15 11:02:00-04:00,125.92,125.83,Buy,PAYX47
2024-08-15 11:04:00-04:00,126.06,125.83,Sell - Away from SMA,PAYX47
2024-08-16 12:56:00-04:00,125.45,125.41,Buy,PAYX48
2024-08-16 12:58:00-04:00,125.52,125.41,Sell - Away from SMA,PAYX48
2024-08-16 15:22:00-04:00,125.30,125.24,Buy,PAYX49
2024-08-16 15:34:00-04:00,125.42,125.24,Sell - Away from SMA,PAYX49
2024-08-16 15:40:00-04:00,125.40,125.36,Buy,PAYX50
2024-08-16 15:44:00-04:00,125.36,125.36,Sell - Stop Loss,PAYX50
2024-08-19 14:38:00-04:00,125.16,125.11,Buy,PAYX51
2024-08-19 14:58:00-04:00,125.11,125.11,Sell - Stop Loss,PAYX51
2024-08-21 09:52:00-04:00,125.78,125.74,Buy,PAYX52
2024-08-21 09:54:00-04:00,125.86,125.74,Sell - Away from SMA,PAYX52
2024-08-21 12:54:00-04:00,126.57,126.54,Buy,PAYX53
2024-08-21 12:56:00-04:00,126.60,126.54,Sell - Away from SMA,PAYX53
2024-08-21 13:34:00-04:00,126.76,126.73,Buy,PAYX54
2024-08-21 13:36:00-04:00,126.73,126.73,Sell - Stop Loss,PAYX54
2024-08-21 14:14:00-04:00,126.70,126.65,Buy,PAYX55
2024-08-21 14:30:00-04:00,126.88,126.65,Sell - Away from SMA,PAYX55
2024-08-21 15:40:00-04:00,126.93,126.88,Buy,PAYX56
2024-08-21 15:42:00-04:00,126.95,126.88,Sell - Away from SMA,PAYX56
2024-08-22 13:36:00-04:00,127.28,127.21,Buy,PAYX57
2024-08-22 13:42:00-04:00,127.25,127.21,Sell - Away from SMA,PAYX57
2024-08-22 14:32:00-04:00,127.59,127.48,Buy,PAYX58
2024-08-22 14:34:00-04:00,127.67,127.48,Sell - Away from SMA,PAYX58
2024-08-23 09:56:00-04:00,128.00,127.96,Buy,PAYX59
2024-08-23 09:58:00-04:00,127.96,127.96,Sell - Stop Loss,PAYX59
2024-08-23 10:10:00-04:00,128.75,128.62,Buy,PAYX60
2024-08-23 10:12:00-04:00,128.99,128.62,Sell - Away from SMA,PAYX60
2024-08-23 10:26:00-04:00,129.14,128.98,Buy,PAYX61
2024-08-23 10:28:00-04:00,129.19,128.98,Sell - Away from SMA,PAYX61
2024-08-23 11:18:00-04:00,129.60,129.49,Buy,PAYX62
2024-08-23 11:20:00-04:00,129.66,129.49,Sell - Away from SMA,PAYX62
2024-08-23 13:28:00-04:00,129.34,129.29,Buy,PAYX63
2024-08-23 13:30:00-04:00,129.60,129.29,Sell - Away from SMA,PAYX63
2024-08-23 14:46:00-04:00,129.90,129.86,Buy,PAYX64
2024-08-23 14:56:00-04:00,129.86,129.86,Sell - Stop Loss,PAYX64
2024-08-23 15:16:00-04:00,130.04,129.99,Buy,PAYX65
2024-08-23 15:18:00-04:00,130.08,129.99,Sell - Away from SMA,PAYX65
