Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:50:00-04:00,165.82,165.71,Buy,PG1
2024-07-16 10:52:00-04:00,165.86,165.71,Sell - Away from SMA,PG1
2024-07-16 12:14:00-04:00,166.15,166.07,Buy,PG2
2024-07-16 12:16:00-04:00,166.32,166.07,Sell - Away from SMA,PG2
2024-07-16 14:54:00-04:00,166.65,166.60,Buy,PG3
2024-07-16 14:56:00-04:00,166.74,166.60,Sell - Away from SMA,PG3
2024-07-16 15:12:00-04:00,166.77,166.73,Buy,PG4
2024-07-16 15:20:00-04:00,166.73,166.73,Sell - Stop Loss,PG4
2024-07-16 15:54:00-04:00,166.93,166.84,Buy,PG5
2024-07-16 15:56:00-04:00,167.03,166.84,Sell - Away from SMA,PG5
2024-07-17 10:50:00-04:00,168.82,168.75,Buy,PG6
2024-07-17 10:52:00-04:00,169.24,168.75,Sell - Away from SMA,PG6
2024-07-17 12:04:00-04:00,169.17,169.09,Buy,PG7
2024-07-17 12:06:00-04:00,169.09,169.09,Sell - Stop Loss,PG7
2024-07-17 14:16:00-04:00,169.69,169.61,Buy,PG8
2024-07-17 14:26:00-04:00,169.80,169.61,Sell - Away from SMA,PG8
2024-07-17 15:10:00-04:00,169.90,169.81,Buy,PG9
2024-07-17 15:24:00-04:00,169.81,169.81,Sell - Stop Loss,PG9
2024-07-22 09:38:00-04:00,168.42,168.17,Buy,PG10
2024-07-22 09:40:00-04:00,168.61,168.17,Sell - Away from SMA,PG10
2024-07-22 10:06:00-04:00,168.15,168.02,Buy,PG11
2024-07-22 10:08:00-04:00,168.42,168.02,Sell - Away from SMA,PG11
2024-07-24 12:30:00-04:00,167.38,167.33,Buy,PG12
2024-07-24 12:32:00-04:00,167.42,167.33,Sell - Away from SMA,PG12
2024-07-24 12:58:00-04:00,167.71,167.55,Buy,PG13
2024-07-24 13:00:00-04:00,167.89,167.55,Sell - Away from SMA,PG13
2024-07-24 14:58:00-04:00,167.95,167.86,Buy,PG14
2024-07-24 15:08:00-04:00,167.86,167.86,Sell - Stop Loss,PG14
2024-07-24 15:30:00-04:00,168.21,168.09,Buy,PG15
2024-07-24 15:32:00-04:00,168.28,168.09,Sell - Away from SMA,PG15
2024-07-25 09:38:00-04:00,169.65,169.34,Buy,PG16
2024-07-25 09:40:00-04:00,169.93,169.34,Sell - Away from SMA,PG16
2024-07-25 10:30:00-04:00,169.02,168.92,Buy,PG17
2024-07-25 10:32:00-04:00,168.92,168.92,Sell - Stop Loss,PG17
2024-07-25 11:00:00-04:00,169.01,168.86,Buy,PG18
2024-07-25 11:02:00-04:00,169.13,168.86,Sell - Away from SMA,PG18
2024-07-26 10:20:00-04:00,167.98,167.84,Buy,PG19
2024-07-26 10:22:00-04:00,168.10,167.84,Sell - Away from SMA,PG19
2024-07-29 12:58:00-04:00,169.57,169.51,Buy,PG20
2024-07-29 13:00:00-04:00,169.60,169.51,Sell - Away from SMA,PG20
2024-07-29 14:44:00-04:00,170.27,170.18,Buy,PG21
2024-07-29 14:46:00-04:00,170.32,170.18,Sell - Away from SMA,PG21
2024-07-30 12:54:00-04:00,160.47,160.31,Buy,PG22
2024-07-30 12:56:00-04:00,160.75,160.31,Sell - Away from SMA,PG22
2024-07-30 14:12:00-04:00,160.61,160.48,Buy,PG23
2024-07-30 14:16:00-04:00,160.80,160.48,Sell - Away from SMA,PG23
2024-07-31 11:12:00-04:00,160.96,160.81,Buy,PG24
2024-07-31 11:14:00-04:00,161.11,160.81,Sell - Away from SMA,PG24
2024-08-01 11:08:00-04:00,162.93,162.79,Buy,PG25
2024-08-01 11:10:00-04:00,162.79,162.79,Sell - Stop Loss,PG25
2024-08-01 14:38:00-04:00,165.20,165.11,Buy,PG26
2024-08-01 14:40:00-04:00,165.37,165.11,Sell - Away from SMA,PG26
