Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:18:00-04:00,216.64,216.56,Buy,PGR1
2024-07-15 14:20:00-04:00,216.82,216.56,Sell - Away from SMA,PGR1
2024-07-15 14:42:00-04:00,216.94,216.89,Buy,PGR2
2024-07-15 14:44:00-04:00,217.03,216.89,Sell - Away from SMA,PGR2
2024-07-17 10:26:00-04:00,218.09,217.63,Buy,PGR3
2024-07-17 10:28:00-04:00,218.45,217.63,Sell - Away from SMA,PGR3
2024-07-17 10:58:00-04:00,217.68,217.60,Buy,PGR4
2024-07-17 11:02:00-04:00,217.60,217.60,Sell - Stop Loss,PGR4
2024-07-17 12:22:00-04:00,218.49,218.19,Buy,PGR5
2024-07-17 12:24:00-04:00,219.22,218.19,Sell - Away from SMA,PGR5
2024-07-17 13:42:00-04:00,219.48,219.33,Buy,PGR6
2024-07-17 13:44:00-04:00,219.58,219.33,Sell - Away from SMA,PGR6
2024-07-17 14:16:00-04:00,219.37,219.28,Buy,PGR7
2024-07-17 14:18:00-04:00,219.52,219.28,Sell - Away from SMA,PGR7
2024-07-17 15:36:00-04:00,220.22,219.95,Buy,PGR8
2024-07-17 15:38:00-04:00,220.49,219.95,Sell - Away from SMA,PGR8
2024-07-18 11:42:00-04:00,227.40,227.16,Buy,PGR9
2024-07-18 11:44:00-04:00,227.68,227.16,Sell - Away from SMA,PGR9
2024-07-23 13:06:00-04:00,216.30,216.18,Buy,PGR10
2024-07-23 13:08:00-04:00,216.45,216.18,Sell - Away from SMA,PGR10
2024-07-25 09:54:00-04:00,216.61,216.48,Buy,PGR11
2024-07-25 09:56:00-04:00,216.86,216.48,Sell - Away from SMA,PGR11
2024-07-26 11:54:00-04:00,215.29,215.16,Buy,PGR12
2024-07-26 11:56:00-04:00,215.49,215.16,Sell - Away from SMA,PGR12
2024-07-30 10:00:00-04:00,217.34,217.00,Buy,PGR13
2024-07-30 10:02:00-04:00,217.49,217.00,Sell - Away from SMA,PGR13
2024-07-30 10:48:00-04:00,216.85,216.74,Buy,PGR14
2024-07-30 10:50:00-04:00,217.07,216.74,Sell - Away from SMA,PGR14
2024-07-30 14:58:00-04:00,215.75,215.69,Buy,PGR15
2024-07-30 15:04:00-04:00,215.69,215.69,Sell - Stop Loss,PGR15
2024-08-01 15:04:00-04:00,214.63,214.45,Buy,PGR16
2024-08-01 15:06:00-04:00,214.69,214.45,Sell - Away from SMA,PGR16
2024-08-01 15:34:00-04:00,214.80,214.69,Buy,PGR17
2024-08-01 15:36:00-04:00,215.25,214.69,Sell - Away from SMA,PGR17
2024-08-02 14:52:00-04:00,215.64,215.49,Buy,PGR18
2024-08-02 14:54:00-04:00,215.84,215.49,Sell - Away from SMA,PGR18
2024-08-02 15:18:00-04:00,216.06,216.00,Buy,PGR19
2024-08-02 15:20:00-04:00,216.24,216.00,Sell - Away from SMA,PGR19
2024-08-05 13:44:00-04:00,209.58,209.33,Buy,PGR20
2024-08-05 13:46:00-04:00,209.54,209.33,Sell - Away from SMA,PGR20
2024-08-05 14:06:00-04:00,209.89,209.80,Buy,PGR21
