Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:44:00-04:00,119.31,119.06,Buy,PHM1
2024-07-16 09:46:00-04:00,120.09,119.06,Sell - Away from SMA,PHM1
2024-07-16 14:04:00-04:00,123.53,123.46,Buy,PHM2
2024-07-16 14:06:00-04:00,123.46,123.46,Sell - Stop Loss,PHM2
2024-07-16 14:56:00-04:00,124.29,124.18,Buy,PHM3
2024-07-16 14:58:00-04:00,124.44,124.18,Sell - Away from SMA,PHM3
2024-07-18 09:52:00-04:00,127.86,127.48,Buy,PHM4
2024-07-18 09:54:00-04:00,128.76,127.48,Sell - Away from SMA,PHM4
2024-07-19 14:22:00-04:00,125.20,125.12,Buy,PHM5
2024-07-19 14:30:00-04:00,125.12,125.12,Sell - Stop Loss,PHM5
2024-07-19 15:08:00-04:00,125.46,125.36,Buy,PHM6
2024-07-19 15:10:00-04:00,125.56,125.36,Sell - Away from SMA,PHM6
2024-07-22 12:18:00-04:00,124.61,124.53,Buy,PHM7
2024-07-22 12:20:00-04:00,124.82,124.53,Sell - Away from SMA,PHM7
2024-07-23 11:56:00-04:00,125.27,125.15,Buy,PHM8
2024-07-23 11:58:00-04:00,125.46,125.15,Sell - Away from SMA,PHM8
2024-07-23 12:46:00-04:00,125.70,125.52,Buy,PHM9
2024-07-23 12:48:00-04:00,126.43,125.52,Sell - Away from SMA,PHM9
2024-07-23 15:32:00-04:00,125.88,125.74,Buy,PHM10
2024-07-23 15:34:00-04:00,126.12,125.74,Sell - Away from SMA,PHM10
2024-07-24 13:34:00-04:00,125.15,124.98,Buy,PHM11
2024-07-24 13:36:00-04:00,125.31,124.98,Sell - Away from SMA,PHM11
2024-07-25 10:58:00-04:00,124.99,124.83,Buy,PHM12
2024-07-25 11:00:00-04:00,125.39,124.83,Sell - Away from SMA,PHM12
2024-07-25 11:50:00-04:00,125.78,125.65,Buy,PHM13
2024-07-25 11:52:00-04:00,125.95,125.65,Sell - Away from SMA,PHM13
2024-07-25 13:38:00-04:00,126.02,125.97,Buy,PHM14
2024-07-25 13:44:00-04:00,126.13,125.97,Sell - Away from SMA,PHM14
2024-07-26 10:46:00-04:00,129.30,129.03,Buy,PHM15
2024-07-26 10:48:00-04:00,129.59,129.03,Sell - Away from SMA,PHM15
2024-07-26 11:24:00-04:00,128.94,128.79,Buy,PHM16
2024-07-26 11:26:00-04:00,128.79,128.79,Sell - Stop Loss,PHM16
2024-07-26 13:26:00-04:00,130.29,130.04,Buy,PHM17
2024-07-26 13:28:00-04:00,130.45,130.04,Sell - Away from SMA,PHM17
2024-07-26 14:34:00-04:00,129.79,129.69,Buy,PHM18
2024-07-26 14:36:00-04:00,130.04,129.69,Sell - Away from SMA,PHM18
2024-07-29 11:24:00-04:00,131.30,131.16,Buy,PHM19
2024-07-29 11:26:00-04:00,131.66,131.16,Sell - Away from SMA,PHM19
2024-07-29 12:02:00-04:00,132.22,132.06,Buy,PHM20
2024-07-29 12:04:00-04:00,132.59,132.06,Sell - Away from SMA,PHM20
2024-07-29 12:58:00-04:00,132.27,132.15,Buy,PHM21
2024-07-29 13:04:00-04:00,132.15,132.15,Sell - Stop Loss,PHM21
2024-07-29 13:12:00-04:00,132.29,132.22,Buy,PHM22
2024-07-29 13:14:00-04:00,132.35,132.22,Sell - Away from SMA,PHM22
2024-07-31 14:58:00-04:00,135.50,135.12,Buy,PHM23
2024-07-31 15:00:00-04:00,135.46,135.12,Sell - Away from SMA,PHM23
2024-08-02 12:26:00-04:00,127.53,127.49,Buy,PHM24
2024-08-02 12:28:00-04:00,127.94,127.49,Sell - Away from SMA,PHM24
2024-08-02 12:34:00-04:00,127.96,127.79,Buy,PHM25
2024-08-02 12:36:00-04:00,127.94,127.79,Sell - Away from SMA,PHM25
2024-08-02 15:24:00-04:00,127.35,127.27,Buy,PHM26
2024-08-02 15:26:00-04:00,127.74,127.27,Sell - Away from SMA,PHM26
2024-08-06 11:48:00-04:00,125.30,125.09,Buy,PHM27
2024-08-06 11:50:00-04:00,125.51,125.09,Sell - Away from SMA,PHM27
2024-08-08 10:58:00-04:00,121.87,121.76,Buy,PHM28
2024-08-08 11:00:00-04:00,121.76,121.76,Sell - Stop Loss,PHM28
2024-08-08 11:08:00-04:00,121.88,121.84,Buy,PHM29
2024-08-08 11:10:00-04:00,121.84,121.84,Sell - Stop Loss,PHM29
2024-08-08 13:08:00-04:00,121.86,121.76,Buy,PHM30
2024-08-08 13:10:00-04:00,122.10,121.76,Sell - Away from SMA,PHM30
2024-08-08 13:24:00-04:00,122.42,122.35,Buy,PHM31
2024-08-08 13:26:00-04:00,122.63,122.35,Sell - Away from SMA,PHM31
2024-08-09 09:52:00-04:00,122.14,121.80,Buy,PHM32
2024-08-09 09:54:00-04:00,122.79,121.80,Sell - Away from SMA,PHM32
2024-08-09 10:04:00-04:00,123.32,122.95,Buy,PHM33
2024-08-09 10:06:00-04:00,123.47,122.95,Sell - Away from SMA,PHM33
2024-08-09 10:40:00-04:00,122.84,122.75,Buy,PHM34
2024-08-09 10:42:00-04:00,123.08,122.75,Sell - Away from SMA,PHM34
2024-08-09 13:02:00-04:00,123.86,123.78,Buy,PHM35
2024-08-09 13:04:00-04:00,123.78,123.78,Sell - Stop Loss,PHM35
2024-08-13 09:32:00-04:00,123.17,122.71,Buy,PHM36
2024-08-13 09:34:00-04:00,123.68,122.71,Sell - Away from SMA,PHM36
2024-08-13 09:44:00-04:00,124.45,124.04,Buy,PHM37
2024-08-13 09:46:00-04:00,124.67,124.04,Sell - Away from SMA,PHM37
2024-08-13 11:42:00-04:00,123.06,122.97,Buy,PHM38
2024-08-13 11:44:00-04:00,123.17,122.97,Sell - Away from SMA,PHM38
2024-08-13 12:50:00-04:00,124.18,124.09,Buy,PHM39
2024-08-13 12:52:00-04:00,124.28,124.09,Sell - Away from SMA,PHM39
2024-08-14 14:52:00-04:00,122.52,122.48,Buy,PHM40
2024-08-14 14:54:00-04:00,122.59,122.48,Sell - Away from SMA,PHM40
2024-08-15 13:22:00-04:00,122.67,122.61,Buy,PHM41
2024-08-15 13:24:00-04:00,122.84,122.61,Sell - Away from SMA,PHM41
2024-08-16 10:30:00-04:00,122.82,122.71,Buy,PHM42
2024-08-16 10:32:00-04:00,122.71,122.71,Sell - Stop Loss,PHM42
2024-08-16 11:36:00-04:00,122.81,122.73,Buy,PHM43
2024-08-16 11:38:00-04:00,122.73,122.73,Sell - Stop Loss,PHM43
2024-08-16 11:48:00-04:00,122.80,122.76,Buy,PHM44
2024-08-16 11:56:00-04:00,122.76,122.76,Sell - Stop Loss,PHM44
2024-08-19 10:38:00-04:00,123.10,122.99,Buy,PHM45
2024-08-19 10:40:00-04:00,123.33,122.99,Sell - Away from SMA,PHM45
2024-08-19 10:56:00-04:00,123.90,123.80,Buy,PHM46
2024-08-19 10:58:00-04:00,123.99,123.80,Sell - Away from SMA,PHM46
2024-08-19 11:18:00-04:00,124.45,124.35,Buy,PHM47
2024-08-19 11:20:00-04:00,124.35,124.35,Sell - Stop Loss,PHM47
2024-08-19 11:54:00-04:00,123.98,123.90,Buy,PHM48
2024-08-19 11:56:00-04:00,123.90,123.90,Sell - Stop Loss,PHM48
2024-08-20 10:06:00-04:00,126.95,126.75,Buy,PHM49
2024-08-20 10:08:00-04:00,127.06,126.75,Sell - Away from SMA,PHM49
2024-08-21 09:48:00-04:00,128.00,127.55,Buy,PHM50
2024-08-21 09:50:00-04:00,128.57,127.55,Sell - Away from SMA,PHM50
2024-08-21 10:06:00-04:00,128.04,127.93,Buy,PHM51
2024-08-21 10:08:00-04:00,127.93,127.93,Sell - Stop Loss,PHM51
2024-08-21 10:40:00-04:00,129.34,129.02,Buy,PHM52
2024-08-21 10:42:00-04:00,129.57,129.02,Sell - Away from SMA,PHM52
2024-08-21 11:36:00-04:00,128.47,128.36,Buy,PHM53
2024-08-21 11:38:00-04:00,128.66,128.36,Sell - Away from SMA,PHM53
2024-08-22 14:46:00-04:00,129.01,128.85,Buy,PHM54
2024-08-22 14:52:00-04:00,128.85,128.85,Sell - Stop Loss,PHM54
2024-08-23 09:56:00-04:00,130.85,130.70,Buy,PHM55
2024-08-23 09:58:00-04:00,130.83,130.70,Sell - Away from SMA,PHM55
2024-08-23 11:18:00-04:00,134.69,134.46,Buy,PHM56
2024-08-23 11:20:00-04:00,134.75,134.46,Sell - Away from SMA,PHM56
2024-08-23 12:34:00-04:00,134.70,134.62,Buy,PHM57
2024-08-23 12:36:00-04:00,134.82,134.62,Sell - Away from SMA,PHM57
2024-08-23 12:54:00-04:00,134.50,134.39,Buy,PHM58
2024-08-23 12:56:00-04:00,134.71,134.39,Sell - Away from SMA,PHM58
2024-08-23 14:44:00-04:00,134.80,134.70,Buy,PHM59
2024-08-23 14:48:00-04:00,134.89,134.70,Sell - Away from SMA,PHM59
