Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:10:00-04:00,105.78,105.72,Buy,PM1
2024-07-15 14:32:00-04:00,105.97,105.72,Sell - Away from SMA,PM1
2024-07-16 12:46:00-04:00,105.55,105.51,Buy,PM2
2024-07-16 12:52:00-04:00,105.51,105.51,Sell - Stop Loss,PM2
2024-07-16 15:50:00-04:00,105.92,105.85,Buy,PM3
2024-07-16 15:54:00-04:00,106.00,105.85,Sell - Away from SMA,PM3
2024-07-16 15:58:00-04:00,106.02,105.92,Buy,PM4
2024-07-17 09:30:00-04:00,106.93,105.92,Sell - Away from SMA,PM4
2024-07-17 14:08:00-04:00,108.47,108.40,Buy,PM5
2024-07-17 14:10:00-04:00,108.51,108.40,Sell - Away from SMA,PM5
2024-07-18 10:22:00-04:00,108.88,108.80,Buy,PM6
2024-07-18 10:24:00-04:00,109.18,108.80,Sell - Away from SMA,PM6
2024-07-19 10:02:00-04:00,108.40,108.30,Buy,PM7
2024-07-19 10:04:00-04:00,108.45,108.30,Sell - Away from SMA,PM7
2024-07-22 10:46:00-04:00,107.46,107.35,Buy,PM8
2024-07-22 10:48:00-04:00,107.51,107.35,Sell - Away from SMA,PM8
2024-07-22 10:58:00-04:00,107.37,107.32,Buy,PM9
2024-07-22 11:06:00-04:00,107.57,107.32,Sell - Away from SMA,PM9
2024-07-23 12:10:00-04:00,109.77,109.69,Buy,PM10
2024-07-23 12:16:00-04:00,110.08,109.69,Sell - Away from SMA,PM10
2024-07-24 09:58:00-04:00,109.72,109.43,Buy,PM11
2024-07-24 10:00:00-04:00,109.45,109.43,Sell - Away from SMA,PM11
2024-07-24 10:44:00-04:00,110.29,110.21,Buy,PM12
2024-07-24 10:46:00-04:00,110.53,110.21,Sell - Away from SMA,PM12
2024-07-24 12:22:00-04:00,110.94,110.88,Buy,PM13
2024-07-24 12:24:00-04:00,110.98,110.88,Sell - Away from SMA,PM13
2024-07-24 13:04:00-04:00,110.98,110.86,Buy,PM14
2024-07-24 13:06:00-04:00,110.99,110.86,Sell - Away from SMA,PM14
2024-07-24 14:12:00-04:00,110.77,110.70,Buy,PM15
2024-07-24 14:14:00-04:00,110.81,110.70,Sell - Away from SMA,PM15
2024-07-24 14:22:00-04:00,110.85,110.79,Buy,PM16
2024-07-24 14:24:00-04:00,110.93,110.79,Sell - Away from SMA,PM16
2024-07-25 10:06:00-04:00,113.34,113.16,Buy,PM17
2024-07-25 10:08:00-04:00,113.65,113.16,Sell - Away from SMA,PM17
2024-07-25 11:00:00-04:00,113.00,112.88,Buy,PM18
2024-07-25 11:02:00-04:00,113.36,112.88,Sell - Away from SMA,PM18
2024-07-25 11:18:00-04:00,113.26,113.19,Buy,PM19
2024-07-25 11:20:00-04:00,113.35,113.19,Sell - Away from SMA,PM19
2024-07-26 13:28:00-04:00,113.30,113.22,Buy,PM20
2024-07-26 13:34:00-04:00,113.22,113.22,Sell - Stop Loss,PM20
2024-07-29 11:20:00-04:00,114.00,113.87,Buy,PM21
2024-07-29 11:22:00-04:00,114.12,113.87,Sell - Away from SMA,PM21
2024-07-30 10:32:00-04:00,114.30,114.24,Buy,PM22
2024-07-30 10:34:00-04:00,114.24,114.24,Sell - Stop Loss,PM22
2024-07-30 10:52:00-04:00,114.57,114.52,Buy,PM23
2024-07-30 10:54:00-04:00,114.52,114.52,Sell - Stop Loss,PM23
