Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:10:00-04:00,335.54,334.93,Buy,POOL1
2024-07-16 11:12:00-04:00,336.88,334.93,Sell - Away from SMA,POOL1
2024-07-16 12:52:00-04:00,338.63,338.46,Buy,POOL2
2024-07-16 12:54:00-04:00,339.23,338.46,Sell - Away from SMA,POOL2
2024-07-17 13:36:00-04:00,337.98,337.95,Buy,POOL3
2024-07-17 13:38:00-04:00,338.39,337.95,Sell - Away from SMA,POOL3
2024-07-19 14:30:00-04:00,327.16,327.04,Buy,POOL4
2024-07-19 14:34:00-04:00,327.05,327.04,Sell - Away from SMA,POOL4
2024-07-25 09:52:00-04:00,350.32,349.70,Buy,POOL5
2024-07-25 09:54:00-04:00,349.70,349.70,Sell - Stop Loss,POOL5
2024-07-25 11:48:00-04:00,356.92,356.34,Buy,POOL6
2024-07-25 11:50:00-04:00,359.00,356.34,Sell - Away from SMA,POOL6
2024-07-25 12:32:00-04:00,359.44,359.36,Buy,POOL7
2024-07-25 12:34:00-04:00,360.40,359.36,Sell - Away from SMA,POOL7
2024-07-25 13:06:00-04:00,361.46,360.66,Buy,POOL8
2024-07-25 13:08:00-04:00,362.55,360.66,Sell - Away from SMA,POOL8
2024-07-26 11:00:00-04:00,369.59,368.68,Buy,POOL9
2024-07-26 11:02:00-04:00,370.75,368.68,Sell - Away from SMA,POOL9
2024-07-26 11:32:00-04:00,370.08,369.98,Buy,POOL10
2024-07-26 11:34:00-04:00,369.98,369.98,Sell - Stop Loss,POOL10
2024-07-26 12:28:00-04:00,370.88,370.83,Buy,POOL11
2024-07-26 12:30:00-04:00,372.84,370.83,Sell - Away from SMA,POOL11
2024-07-26 13:24:00-04:00,373.52,373.33,Buy,POOL12
2024-07-26 13:26:00-04:00,374.04,373.33,Sell - Away from SMA,POOL12
2024-07-26 15:44:00-04:00,373.81,373.60,Buy,POOL13
2024-07-26 15:46:00-04:00,374.80,373.60,Sell - Away from SMA,POOL13
2024-07-31 11:18:00-04:00,372.11,372.08,Buy,POOL14
2024-07-31 11:20:00-04:00,372.08,372.08,Sell - Stop Loss,POOL14
2024-08-02 15:12:00-04:00,354.56,354.51,Buy,POOL15
2024-08-02 15:14:00-04:00,355.24,354.51,Sell - Away from SMA,POOL15
2024-08-05 11:26:00-04:00,352.21,352.14,Buy,POOL16
2024-08-05 11:28:00-04:00,352.14,352.14,Sell - Stop Loss,POOL16
2024-08-05 12:12:00-04:00,354.83,354.80,Buy,POOL17
2024-08-05 12:16:00-04:00,356.21,354.80,Sell - Away from SMA,POOL17
2024-08-06 14:38:00-04:00,358.52,358.49,Buy,POOL18
2024-08-06 14:40:00-04:00,358.49,358.49,Sell - Stop Loss,POOL18
2024-08-13 13:12:00-04:00,346.84,346.77,Buy,POOL19
2024-08-13 13:14:00-04:00,347.13,346.77,Sell - Away from SMA,POOL19
2024-08-13 13:22:00-04:00,347.31,347.26,Buy,POOL20
2024-08-13 13:24:00-04:00,347.26,347.26,Sell - Stop Loss,POOL20
