Trade_ID,Action_Type,Ticker,Action_Time,Action_Price,Shares,Total_Action_Value,Cash_After_Trade,Value_of_Open_Positions,Value_of_Fund,Simple_Return,R_Multiple
1,Buy,CRWD,2024-07-15 15:18:00,378.83,131.98,49997.98,50002.02,49997.98,100000.00,,
2,Buy,CRWD,2024-07-15 15:32:00,379.05,65.95,24998.35,25003.67,75025.37,100029.04,,
2,Sell,CRWD,2024-07-15 15:36:00,378.66,65.95,24972.63,49976.30,49975.55,99951.85,-0.10%,-1.00
1,Sell,CRWD,2024-07-15 15:38:00,378.54,131.98,49959.71,99936.01,0.00,99936.01,-0.08%,-1.00
3,Buy,CRWD,2024-07-17 14:20:00,356.78,140.05,49967.04,49968.97,49967.04,99936.01,,
3,Sell,CRWD,2024-07-17 14:22:00,357.28,140.05,50037.06,100006.03,0.00,100006.03,0.14%,1.85
4,Buy,CRWD,2024-07-17 15:30:00,357.89,139.71,50000.81,50005.22,50000.81,100006.03,,
4,Sell,CRWD,2024-07-17 15:32:00,357.30,139.71,49918.38,99923.60,0.00,99923.60,-0.17%,-1.00
5,Buy,CRWD,2024-07-23 11:00:00,270.39,184.77,49959.96,49963.64,49959.96,99923.60,,
5,Sell,CRWD,2024-07-23 11:02:00,271.35,184.77,50137.34,100100.98,0.00,100100.98,0.35%,1.14
6,Buy,CRWD,2024-07-23 11:10:00,272.14,183.91,50049.27,50051.71,50049.27,100100.98,,
6,Sell,CRWD,2024-07-23 11:12:00,273.23,183.91,50249.73,100301.44,0.00,100301.44,0.40%,1.95
7,Buy,CRWD,2024-07-24 13:42:00,264.24,189.79,50150.11,50151.33,50150.11,100301.44,,
7,Sell,CRWD,2024-07-24 13:46:00,263.71,189.79,50049.52,100200.85,0.00,100200.85,-0.20%,-1.00
8,Buy,CRWD,2024-07-25 13:02:00,259.17,193.31,50100.15,50100.70,50100.15,100200.85,,
8,Sell,CRWD,2024-07-25 13:04:00,260.11,193.31,50281.86,100382.56,0.00,100382.56,0.36%,1.42
9,Buy,CRWD,2024-07-26 12:58:00,256.33,195.80,50189.41,50193.15,50189.41,100382.56,,
9,Sell,CRWD,2024-07-26 13:34:00,255.96,195.80,50116.97,100310.12,0.00,100310.12,-0.14%,-1.00
10,Buy,CRWD,2024-07-26 14:02:00,255.76,196.10,50154.54,50155.58,50154.54,100310.12,,
10,Sell,CRWD,2024-07-26 14:08:00,256.93,196.10,50383.97,100539.55,0.00,100539.55,0.46%,2.93
11,Buy,CRWD,2024-07-26 14:38:00,256.56,195.93,50267.80,50271.75,50267.80,100539.55,,
11,Sell,CRWD,2024-07-26 14:40:00,256.09,195.93,50175.71,100447.46,0.00,100447.46,-0.18%,-1.00
12,Buy,CRWD,2024-07-26 15:32:00,256.88,195.51,50222.61,50224.85,50222.61,100447.46,,
12,Sell,CRWD,2024-07-26 15:34:00,256.54,195.51,50156.14,100380.99,0.00,100380.99,-0.13%,-1.00
13,Buy,CRWD,2024-07-26 15:44:00,257.14,195.18,50188.59,50192.40,50188.59,100380.99,,
13,Sell,CRWD,2024-07-26 15:50:00,256.69,195.18,50100.75,100293.15,0.00,100293.15,-0.17%,-1.00
14,Buy,CRWD,2024-07-29 11:40:00,261.63,191.66,50144.01,50149.14,50144.01,100293.15,,
14,Sell,CRWD,2024-07-29 11:44:00,262.72,191.66,50352.92,100502.06,0.00,100502.06,0.42%,1.38
15,Buy,CRWD,2024-07-31 11:02:00,234.26,214.50,50248.77,50253.29,50248.77,100502.06,,
15,Sell,CRWD,2024-07-31 11:04:00,233.92,214.50,50175.84,100429.13,0.00,100429.13,-0.14%,-1.00
16,Buy,CRWD,2024-07-31 11:28:00,235.10,213.58,50212.66,50216.47,50212.66,100429.13,,
16,Sell,CRWD,2024-07-31 11:34:00,234.72,213.58,50131.50,100347.97,0.00,100347.97,-0.16%,-1.00
17,Buy,CRWD,2024-07-31 15:58:00,231.81,216.44,50172.96,50175.01,50172.96,100347.97,,
17,Sell,CRWD,2024-08-01 09:30:00,231.06,216.44,50010.63,100185.64,0.00,100185.64,-0.32%,-1.00
18,Buy,CRWD,2024-08-02 13:12:00,216.76,231.09,50091.07,50094.57,50091.07,100185.64,,
