Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,203.300,204.550,202.950,204.380,204.380,324085.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,204.460,205.080,204.050,205.040,205.040,131117.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,205.070,205.760,204.910,205.490,205.490,94006.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,205.477,205.790,204.480,204.510,204.510,66261.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,204.505,204.705,203.860,204.080,204.080,63284.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,204.080,204.196,203.770,204.005,204.005,32912.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,204.005,204.008,203.210,203.520,203.520,50623.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,203.500,203.690,202.990,203.115,203.115,81575.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,202.940,203.570,202.870,203.560,203.560,37805.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,203.595,203.605,203.295,203.305,203.305,32294.000,204.101,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,203.305,203.670,203.300,203.490,203.490,31659.000,204.012,nan,False,Noise Bar,-0.089,Empty
2024-07-15 09:52:00-04:00,203.490,204.450,203.300,204.390,204.390,40453.000,203.947,nan,False,Noise Bar,-0.065,Empty
2024-07-15 09:54:00-04:00,204.390,204.800,204.270,204.615,204.615,59572.000,203.859,nan,False,Noise Bar,-0.087,Empty
2024-07-15 09:56:00-04:00,204.625,204.960,204.500,204.560,204.560,37478.000,203.864,nan,False,Noise Bar,0.005,Empty
2024-07-15 09:58:00-04:00,204.545,204.770,204.280,204.750,204.750,50540.000,203.931,nan,False,Noise Bar,0.067,Empty
2024-07-15 10:00:00-04:00,204.790,205.370,204.720,205.330,205.330,53191.000,204.064,nan,False,Noise Bar,0.132,Empty
2024-07-15 10:02:00-04:00,205.385,205.760,205.210,205.540,205.540,33288.000,204.265,nan,False,Noise Bar,0.202,Empty
2024-07-15 10:04:00-04:00,205.490,206.100,205.490,206.070,206.070,46071.000,204.561,nan,False,Noise Bar,0.296,Empty
2024-07-15 10:06:00-04:00,206.100,206.180,205.855,205.995,205.995,40256.000,204.804,nan,False,Noise Bar,0.243,Empty
2024-07-15 10:08:00-04:00,205.960,206.550,205.960,206.550,206.550,40122.000,205.129,nan,False,Noise Bar,0.325,Empty
2024-07-15 10:10:00-04:00,206.560,206.770,206.290,206.360,206.360,62963.000,205.416,nan,False,Noise Bar,0.287,Empty
2024-07-15 10:12:00-04:00,206.400,206.460,206.050,206.290,206.290,43761.000,205.606,nan,False,Noise Bar,0.190,Empty
2024-07-15 10:14:00-04:00,206.236,206.660,206.170,206.570,206.570,68028.000,205.801,nan,False,Noise Bar,0.196,Empty
2024-07-15 10:16:00-04:00,206.560,206.760,206.420,206.620,206.620,75241.000,206.007,nan,False,Noise Bar,0.206,Empty
2024-07-15 10:18:00-04:00,206.650,206.650,206.220,206.420,206.420,35408.000,206.174,nan,False,Noise Bar,0.167,Empty
2024-07-15 10:20:00-04:00,206.360,206.535,206.340,206.520,206.520,28592.000,206.293,nan,False,Noise Bar,0.119,Empty
2024-07-15 10:22:00-04:00,206.540,206.730,206.470,206.670,206.670,35931.000,206.407,nan,False,Noise Bar,0.113,Empty
2024-07-15 10:24:00-04:00,206.665,206.860,206.590,206.745,206.745,38670.000,206.474,nan,False,Noise Bar,0.067,Empty
2024-07-15 10:26:00-04:00,206.760,206.840,206.530,206.730,206.730,38203.000,206.547,nan,False,Noise Bar,0.074,Empty
2024-07-15 10:28:00-04:00,206.735,207.050,206.650,207.010,207.010,31442.000,206.593,nan,False,Noise Bar,0.046,Empty
2024-07-15 10:30:00-04:00,207.010,207.420,206.960,207.300,207.300,34017.000,206.687,nan,False,Noise Bar,0.094,Empty
2024-07-15 10:32:00-04:00,207.330,207.340,207.090,207.305,207.305,23839.000,206.789,nan,False,Noise Bar,0.101,Empty
2024-07-15 10:34:00-04:00,207.305,207.500,207.165,207.225,207.225,51048.000,206.854,nan,False,Noise Bar,0.065,Empty
2024-07-15 10:36:00-04:00,207.190,207.579,207.130,207.579,207.579,32186.000,206.950,nan,False,Noise Bar,0.096,Empty
2024-07-15 10:38:00-04:00,207.580,207.870,207.570,207.770,207.770,30233.000,207.085,nan,False,Noise Bar,0.135,Empty
2024-07-15 10:40:00-04:00,207.770,207.890,207.700,207.870,207.870,30001.000,207.220,nan,False,Noise Bar,0.135,Empty
2024-07-15 10:42:00-04:00,207.910,208.070,207.770,207.870,207.870,39855.000,207.340,nan,False,Noise Bar,0.120,Empty
2024-07-15 10:44:00-04:00,207.920,208.035,207.810,207.880,207.880,32169.000,207.454,nan,False,Noise Bar,0.114,Empty
2024-07-15 10:46:00-04:00,207.885,207.919,207.580,207.773,207.773,36954.000,207.558,nan,False,Noise Bar,0.104,Empty
2024-07-15 10:48:00-04:00,207.800,207.910,207.500,207.692,207.692,30947.000,207.626,nan,False,Noise Bar,0.068,Empty
2024-07-15 10:50:00-04:00,207.775,207.930,207.700,207.705,207.705,30528.000,207.667,nan,False,Noise Bar,0.040,Empty
2024-07-15 10:52:00-04:00,207.725,207.810,207.630,207.785,207.785,19410.000,207.715,nan,False,Noise Bar,0.048,Empty
2024-07-15 10:54:00-04:00,207.810,208.200,207.810,208.190,208.190,36876.000,207.811,nan,False,Noise Bar,0.096,Empty
2024-07-15 10:56:00-04:00,208.190,208.430,208.150,208.370,208.370,65092.000,207.891,nan,False,Noise Bar,0.079,Empty
2024-07-15 10:58:00-04:00,208.350,208.450,208.250,208.322,208.322,42773.000,207.946,nan,False,Noise Bar,0.055,Empty
2024-07-15 11:00:00-04:00,208.340,208.570,208.260,208.520,208.520,41547.000,208.011,nan,False,Noise Bar,0.065,Empty
2024-07-15 11:02:00-04:00,208.550,208.650,208.250,208.580,208.580,33771.000,208.082,nan,False,Noise Bar,0.071,Empty
2024-07-15 11:04:00-04:00,208.589,208.620,208.340,208.620,208.620,35757.000,208.156,nan,False,Noise Bar,0.074,Empty
2024-07-15 11:06:00-04:00,208.650,208.650,208.420,208.530,208.530,34261.000,208.231,nan,False,Noise Bar,0.076,Empty
2024-07-15 11:08:00-04:00,208.590,208.599,208.170,208.205,208.205,29894.000,208.283,nan,False,Noise Bar,0.051,Empty
2024-07-15 11:10:00-04:00,208.190,208.490,208.140,208.490,208.490,24871.000,208.361,nan,False,Noise Bar,0.079,Empty
2024-07-15 11:12:00-04:00,208.565,208.610,208.315,208.560,208.560,39709.000,208.439,nan,False,Noise Bar,0.077,Empty
2024-07-15 11:14:00-04:00,208.589,208.840,208.570,208.680,208.680,27785.000,208.488,nan,False,Noise Bar,0.049,Empty
2024-07-15 11:16:00-04:00,208.660,208.800,208.610,208.615,208.615,22795.000,208.512,nan,False,Noise Bar,0.025,Empty
2024-07-15 11:18:00-04:00,208.640,208.930,208.630,208.918,208.918,46462.000,208.572,nan,False,Noise Bar,0.060,Empty
2024-07-15 11:20:00-04:00,208.884,209.160,208.880,209.113,209.113,31918.000,208.631,nan,False,Noise Bar,0.059,Empty
2024-07-15 11:22:00-04:00,209.100,209.195,209.040,209.189,209.189,37104.000,208.692,nan,False,Noise Bar,0.061,Empty
2024-07-15 11:24:00-04:00,209.175,209.240,209.040,209.040,209.040,38584.000,208.734,nan,False,Noise Bar,0.042,Empty
2024-07-15 11:26:00-04:00,209.050,209.100,208.850,208.920,208.920,43254.000,208.773,nan,False,Noise Bar,0.039,Empty
2024-07-15 11:28:00-04:00,208.930,208.950,208.810,208.840,208.840,17106.000,208.836,nan,False,Noise Bar,0.063,Empty
2024-07-15 11:30:00-04:00,208.750,208.880,208.610,208.720,208.720,107516.000,208.859,nan,False,Noise Bar,0.023,Empty
2024-07-15 11:32:00-04:00,208.750,209.020,208.670,208.670,208.670,42083.000,208.870,nan,False,Noise Bar,0.011,Empty
2024-07-15 11:34:00-04:00,208.630,208.650,208.020,208.130,208.130,59541.000,208.815,nan,False,Noise Bar,-0.055,Empty
2024-07-15 11:36:00-04:00,208.130,208.380,208.130,208.342,208.342,33539.000,208.788,nan,False,Noise Bar,-0.027,Empty
2024-07-15 11:38:00-04:00,208.360,208.600,208.360,208.450,208.450,23360.000,208.741,nan,False,Noise Bar,-0.047,Empty
2024-07-15 11:40:00-04:00,208.490,208.750,208.330,208.360,208.360,38761.000,208.666,nan,False,Noise Bar,-0.075,Empty
2024-07-15 11:42:00-04:00,208.370,208.430,207.890,207.890,207.890,19157.000,208.536,nan,False,Noise Bar,-0.130,Empty
2024-07-15 11:44:00-04:00,207.890,207.890,207.320,207.380,207.380,35976.000,208.370,nan,False,Noise Bar,-0.166,Empty
2024-07-15 11:46:00-04:00,207.420,207.430,207.090,207.360,207.360,34689.000,208.214,nan,False,Noise Bar,-0.156,Empty
2024-07-15 11:48:00-04:00,207.380,207.670,207.366,207.650,207.650,25418.000,208.095,nan,False,Noise Bar,-0.119,Empty
2024-07-15 11:50:00-04:00,207.620,207.840,207.570,207.730,207.730,24767.000,207.996,nan,False,Noise Bar,-0.099,Empty
2024-07-15 11:52:00-04:00,207.670,207.770,207.540,207.760,207.760,29494.000,207.905,nan,False,Noise Bar,-0.091,Empty
2024-07-15 11:54:00-04:00,207.740,207.750,207.530,207.598,207.598,29164.000,207.852,nan,False,Noise Bar,-0.053,Empty
2024-07-15 11:56:00-04:00,207.570,207.639,207.510,207.590,207.590,12429.000,207.777,nan,False,Noise Bar,-0.075,Empty
2024-07-15 11:58:00-04:00,207.595,207.980,207.590,207.980,207.980,18023.000,207.730,nan,False,Noise Bar,-0.047,Empty
2024-07-15 12:00:00-04:00,207.990,208.170,207.910,208.130,208.130,22655.000,207.707,nan,False,Noise Bar,-0.023,Empty
2024-07-15 12:02:00-04:00,208.040,208.260,207.960,208.025,208.025,21644.000,207.720,nan,False,Noise Bar,0.013,Empty
2024-07-15 12:04:00-04:00,207.990,208.095,207.780,207.870,207.870,19747.000,207.769,nan,False,Noise Bar,0.049,Empty
2024-07-15 12:06:00-04:00,207.890,207.970,207.640,207.745,207.745,14908.000,207.808,nan,False,Noise Bar,0.038,Empty
2024-07-15 12:08:00-04:00,207.820,207.880,207.520,207.800,207.800,24130.000,207.823,nan,False,Noise Bar,0.015,Empty
2024-07-15 12:10:00-04:00,207.760,207.820,207.490,207.710,207.710,29627.000,207.821,nan,False,Noise Bar,-0.002,Empty
2024-07-15 12:12:00-04:00,207.620,207.625,207.370,207.370,207.370,36415.000,207.782,nan,False,Noise Bar,-0.039,Empty
2024-07-15 12:14:00-04:00,207.390,207.500,207.275,207.395,207.395,17483.000,207.761,nan,False,Noise Bar,-0.020,Empty
2024-07-15 12:16:00-04:00,207.440,207.665,207.337,207.510,207.510,24214.000,207.753,nan,False,Noise Bar,-0.008,Empty
2024-07-15 12:18:00-04:00,207.390,207.430,207.240,207.280,207.280,18431.000,207.683,nan,False,Noise Bar,-0.070,Empty
2024-07-15 12:20:00-04:00,207.280,207.590,207.170,207.590,207.590,24349.000,207.629,nan,False,Noise Bar,-0.054,Empty
2024-07-15 12:22:00-04:00,207.590,207.810,207.580,207.680,207.680,19498.000,207.595,nan,False,Noise Bar,-0.035,Empty
2024-07-15 12:24:00-04:00,207.685,207.900,207.685,207.830,207.830,12423.000,207.591,nan,False,Noise Bar,-0.004,Empty
2024-07-15 12:26:00-04:00,207.855,208.110,207.835,208.110,208.110,11883.000,207.627,nan,False,Noise Bar,0.037,Empty
2024-07-15 12:28:00-04:00,208.100,208.130,207.930,208.070,208.070,12115.000,207.654,nan,False,Noise Bar,0.027,Empty
2024-07-15 12:30:00-04:00,208.088,208.100,208.000,208.010,208.010,13343.000,207.684,nan,False,Noise Bar,0.030,Empty
2024-07-15 12:32:00-04:00,208.020,208.100,208.020,208.080,208.080,9992.000,207.755,nan,False,Noise Bar,0.071,Empty
2024-07-15 12:34:00-04:00,208.085,208.085,207.950,208.010,208.010,16105.000,207.817,nan,False,Noise Bar,0.061,Empty
2024-07-15 12:36:00-04:00,208.000,208.100,207.880,208.030,208.030,26876.000,207.869,nan,False,Noise Bar,0.052,Empty
2024-07-15 12:38:00-04:00,208.150,208.150,207.980,208.030,208.030,9632.000,207.944,nan,False,Noise Bar,0.075,Empty
2024-07-15 12:40:00-04:00,207.990,208.140,207.910,208.070,208.070,19168.000,207.992,nan,False,Noise Bar,0.048,Empty
2024-07-15 12:42:00-04:00,208.140,208.430,208.050,208.110,208.110,32319.000,208.035,nan,False,Noise Bar,0.043,Empty
2024-07-15 12:44:00-04:00,208.120,208.310,207.840,207.930,207.930,25965.000,208.045,nan,False,Noise Bar,0.010,Empty
2024-07-15 12:46:00-04:00,207.940,208.030,207.781,207.930,207.930,14962.000,208.027,nan,False,Noise Bar,-0.018,Empty
2024-07-15 12:48:00-04:00,207.890,208.000,207.835,207.950,207.950,13895.000,208.015,207.216,True,Noise Bar,-0.012,Empty
2024-07-15 12:50:00-04:00,207.950,207.970,207.620,207.645,207.645,15606.000,207.978,207.248,True,Noise Bar,-0.036,Empty
2024-07-15 12:52:00-04:00,207.575,207.589,207.405,207.560,207.560,15114.000,207.926,207.273,True,Noise Bar,-0.052,Empty
2024-07-15 12:54:00-04:00,207.550,207.600,207.428,207.530,207.530,17201.000,207.878,207.294,True,Noise Bar,-0.048,Empty
2024-07-15 12:56:00-04:00,207.550,207.920,207.530,207.820,207.820,26864.000,207.857,207.327,True,Noise Bar,-0.021,Empty
2024-07-15 12:58:00-04:00,207.910,207.910,207.475,207.710,207.710,20067.000,207.826,207.363,True,Noise Bar,-0.032,Empty
2024-07-15 13:00:00-04:00,207.710,207.710,207.040,207.260,207.260,37095.000,207.744,207.396,True,Noise Bar,-0.081,Empty
2024-07-15 13:02:00-04:00,207.310,207.440,206.930,206.950,206.950,18329.000,207.628,207.430,True,Noise Bar,-0.116,Empty
2024-07-15 13:04:00-04:00,207.000,207.520,207.000,207.460,207.460,20132.000,207.582,207.474,True,Noise Bar,-0.047,Empty
2024-07-15 13:06:00-04:00,207.440,207.650,207.370,207.550,207.550,29585.000,207.544,207.513,True,Control Bar,-0.038,Empty
2024-07-15 13:08:00-04:00,207.500,207.620,207.390,207.450,207.450,18097.000,207.494,207.555,False,Ignored Bar A,-0.050,Empty
2024-07-15 13:10:00-04:00,207.420,207.525,207.390,207.470,207.470,16138.000,207.476,207.595,False,Noise Bar,-0.018,Empty
2024-07-15 13:12:00-04:00,207.490,207.575,207.400,207.402,207.402,7961.000,207.460,207.625,False,Noise Bar,-0.016,Empty
2024-07-15 13:14:00-04:00,207.395,207.450,207.310,207.370,207.370,15466.000,207.444,207.652,False,Noise Bar,-0.016,Empty
2024-07-15 13:16:00-04:00,207.420,207.450,207.245,207.310,207.310,14421.000,207.393,207.680,False,Noise Bar,-0.051,Empty
2024-07-15 13:18:00-04:00,207.278,207.390,207.150,207.375,207.375,21800.000,207.360,207.706,False,Noise Bar,-0.034,Empty
2024-07-15 13:20:00-04:00,207.320,207.430,207.210,207.325,207.325,13868.000,207.366,207.726,False,Noise Bar,0.007,Empty
2024-07-15 13:22:00-04:00,207.350,207.718,207.350,207.718,207.718,9996.000,207.443,207.748,False,Noise Bar,0.077,Empty
2024-07-15 13:24:00-04:00,207.760,207.880,207.620,207.640,207.640,19589.000,207.461,207.764,False,Noise Bar,0.018,Empty
2024-07-15 13:26:00-04:00,207.630,207.630,207.500,207.525,207.525,7268.000,207.459,207.779,False,Noise Bar,-0.003,Empty
2024-07-15 13:28:00-04:00,207.410,207.520,207.305,207.460,207.460,11499.000,207.460,207.788,False,Noise Bar,0.001,Empty
2024-07-15 13:30:00-04:00,207.420,207.480,207.290,207.399,207.399,13414.000,207.452,207.798,False,Noise Bar,-0.007,Empty
2024-07-15 13:32:00-04:00,207.395,207.405,206.960,207.110,207.110,22431.000,207.423,207.807,False,Noise Bar,-0.029,Empty
2024-07-15 13:34:00-04:00,207.100,207.310,207.050,207.235,207.235,19903.000,207.410,207.813,False,Noise Bar,-0.013,Empty
2024-07-15 13:36:00-04:00,207.230,207.395,207.135,207.230,207.230,13970.000,207.402,207.819,False,Noise Bar,-0.008,Empty
2024-07-15 13:38:00-04:00,207.155,207.190,207.045,207.080,207.080,10001.000,207.372,207.826,False,Noise Bar,-0.029,Empty
2024-07-15 13:40:00-04:00,207.070,207.070,206.940,207.005,207.005,14401.000,207.340,207.831,False,Noise Bar,-0.032,Empty
2024-07-15 13:42:00-04:00,206.990,207.025,206.930,206.960,206.960,20655.000,207.264,207.834,False,Noise Bar,-0.076,Empty
2024-07-15 13:44:00-04:00,206.880,206.990,206.760,206.760,206.760,18075.000,207.176,207.834,False,Noise Bar,-0.088,Empty
