Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,285.000,285.000,284.180,284.200,284.200,15362.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,284.630,287.330,284.260,286.900,286.900,17942.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,286.360,286.430,285.385,286.430,286.430,5589.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,286.090,286.610,285.590,286.500,286.500,13797.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,285.580,286.140,285.390,286.090,286.090,5502.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,285.980,285.980,285.980,285.980,285.980,433.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,286.460,287.140,286.190,286.585,286.585,13315.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,286.490,287.250,286.490,286.945,286.945,11715.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,286.810,287.025,285.040,285.630,285.630,28863.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,285.110,286.360,284.550,286.360,286.360,12075.000,286.162,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,286.360,286.380,286.270,286.270,286.270,1903.000,286.369,nan,False,Noise Bar,0.207,Empty
2024-07-15 09:52:00-04:00,286.840,286.850,286.840,286.850,286.850,1266.000,286.364,nan,False,Noise Bar,-0.005,Empty
2024-07-15 09:54:00-04:00,287.440,288.180,287.220,288.000,288.000,5056.000,286.521,nan,False,Noise Bar,0.157,Empty
2024-07-15 09:56:00-04:00,287.530,287.990,287.515,287.880,287.880,4031.000,286.659,nan,False,Noise Bar,0.138,Empty
2024-07-15 09:58:00-04:00,287.710,287.820,287.260,287.445,287.445,7683.000,286.795,nan,False,Noise Bar,0.136,Empty
2024-07-15 10:00:00-04:00,287.130,287.430,286.765,286.765,286.765,4255.000,286.873,nan,False,Noise Bar,0.079,Empty
2024-07-15 10:02:00-04:00,286.400,286.820,286.375,286.740,286.740,6087.000,286.889,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:04:00-04:00,286.740,287.060,286.155,286.155,286.155,5156.000,286.810,nan,False,Noise Bar,-0.079,Empty
2024-07-15 10:06:00-04:00,286.170,287.110,286.155,286.580,286.580,6869.000,286.904,nan,False,Noise Bar,0.095,Empty
2024-07-15 10:08:00-04:00,286.530,286.530,286.310,286.310,286.310,3111.000,286.899,nan,False,Noise Bar,-0.005,Empty
2024-07-15 10:10:00-04:00,286.720,286.955,286.720,286.955,286.955,3597.000,286.968,nan,False,Noise Bar,0.068,Empty
2024-07-15 10:12:00-04:00,287.025,287.025,286.185,286.185,286.185,17220.000,286.901,nan,False,Noise Bar,-0.067,Empty
2024-07-15 10:14:00-04:00,286.480,287.520,286.430,287.520,287.520,4113.000,286.853,nan,False,Noise Bar,-0.048,Empty
2024-07-15 10:18:00-04:00,287.075,287.490,286.750,286.930,286.930,9451.000,286.758,nan,False,Noise Bar,-0.095,Empty
2024-07-15 10:20:00-04:00,287.015,287.015,287.015,287.015,287.015,1579.000,286.715,nan,False,Noise Bar,-0.043,Empty
2024-07-15 10:22:00-04:00,287.290,287.300,287.060,287.110,287.110,1762.000,286.750,nan,False,Noise Bar,0.034,Empty
2024-07-15 10:24:00-04:00,286.950,287.040,286.812,286.920,286.920,3775.000,286.768,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:26:00-04:00,286.990,287.190,286.950,287.190,287.190,1724.000,286.871,nan,False,Noise Bar,0.104,Empty
2024-07-15 10:28:00-04:00,287.050,287.280,287.000,287.045,287.045,10314.000,286.918,nan,False,Noise Bar,0.047,Empty
2024-07-15 10:30:00-04:00,287.040,287.440,286.969,287.190,287.190,13935.000,287.006,nan,False,Noise Bar,0.088,Empty
2024-07-15 10:32:00-04:00,287.380,287.520,287.190,287.520,287.520,3392.000,287.062,nan,False,Noise Bar,0.057,Empty
2024-07-15 10:34:00-04:00,287.217,288.020,287.217,288.020,288.020,2280.000,287.246,nan,False,Noise Bar,0.183,Empty
2024-07-15 10:36:00-04:00,287.840,287.970,287.310,287.450,287.450,2709.000,287.239,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:38:00-04:00,287.500,287.500,287.290,287.290,287.290,959.000,287.275,nan,False,Noise Bar,0.036,Empty
2024-07-15 10:40:00-04:00,287.270,287.270,287.080,287.080,287.080,1916.000,287.282,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:42:00-04:00,287.085,287.260,287.020,287.100,287.100,1551.000,287.281,nan,False,Noise Bar,-0.001,Empty
2024-07-15 10:44:00-04:00,287.065,287.230,287.065,287.065,287.065,982.000,287.295,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:46:00-04:00,287.060,287.510,287.060,287.510,287.510,5190.000,287.327,nan,False,Noise Bar,0.032,Empty
2024-07-15 10:48:00-04:00,287.570,287.680,287.475,287.680,287.680,2400.000,287.390,nan,False,Noise Bar,0.063,Empty
2024-07-15 10:50:00-04:00,287.690,287.690,287.670,287.670,287.670,858.000,287.439,nan,False,Noise Bar,0.048,Empty
2024-07-15 10:52:00-04:00,287.690,288.000,287.600,287.920,287.920,4688.000,287.479,nan,False,Noise Bar,0.040,Empty
2024-07-15 10:54:00-04:00,288.070,288.800,287.890,288.780,288.780,6812.000,287.555,nan,False,Noise Bar,0.076,Empty
2024-07-15 10:56:00-04:00,288.470,288.780,288.190,288.285,288.285,4234.000,287.638,nan,False,Noise Bar,0.083,Empty
2024-07-15 10:58:00-04:00,288.250,288.360,287.980,288.360,288.360,5556.000,287.745,nan,False,Noise Bar,0.107,Empty
2024-07-15 11:00:00-04:00,288.450,288.720,288.450,288.720,288.720,2409.000,287.909,nan,False,Noise Bar,0.164,Empty
2024-07-15 11:02:00-04:00,288.640,289.370,288.640,289.310,289.310,5473.000,288.130,nan,False,Noise Bar,0.221,Empty
2024-07-15 11:04:00-04:00,289.450,289.690,289.060,289.245,289.245,7355.000,288.348,nan,False,Noise Bar,0.218,Empty
2024-07-15 11:06:00-04:00,289.245,289.245,288.750,289.090,289.090,4038.000,288.506,nan,False,Noise Bar,0.158,Empty
2024-07-15 11:08:00-04:00,289.130,289.160,288.930,288.935,288.935,2465.000,288.632,nan,False,Noise Bar,0.126,Empty
2024-07-15 11:10:00-04:00,288.935,289.160,288.935,289.000,289.000,2096.000,288.764,nan,False,Noise Bar,0.133,Empty
2024-07-15 11:12:00-04:00,289.090,289.160,289.045,289.150,289.150,2327.000,288.887,nan,False,Noise Bar,0.123,Empty
2024-07-15 11:14:00-04:00,289.280,289.280,289.280,289.280,289.280,1707.000,288.937,nan,False,Noise Bar,0.050,Empty
2024-07-15 11:16:00-04:00,289.420,289.420,289.335,289.420,289.420,1713.000,289.051,nan,False,Noise Bar,0.114,Empty
2024-07-15 11:18:00-04:00,289.380,289.660,289.345,289.660,289.660,3244.000,289.181,nan,False,Noise Bar,0.130,Empty
2024-07-15 11:20:00-04:00,289.820,289.840,289.560,289.840,289.840,1229.000,289.293,nan,False,Noise Bar,0.112,Empty
2024-07-15 11:22:00-04:00,289.760,289.760,289.610,289.615,289.615,2414.000,289.323,nan,False,Noise Bar,0.030,Empty
2024-07-15 11:24:00-04:00,289.610,289.625,289.492,289.625,289.625,939.000,289.361,nan,False,Noise Bar,0.038,Empty
2024-07-15 11:26:00-04:00,289.625,289.770,289.615,289.615,289.615,876.000,289.414,nan,False,Noise Bar,0.052,Empty
2024-07-15 11:28:00-04:00,289.780,289.990,289.765,289.980,289.980,2959.000,289.518,nan,False,Noise Bar,0.105,Empty
2024-07-15 11:30:00-04:00,289.980,290.380,289.970,290.380,290.380,6193.000,289.657,nan,False,Noise Bar,0.138,Empty
2024-07-15 11:32:00-04:00,289.990,290.255,289.330,289.330,289.330,7552.000,289.674,nan,False,Noise Bar,0.018,Empty
2024-07-15 11:34:00-04:00,289.705,289.960,289.450,289.630,289.630,2617.000,289.710,nan,False,Noise Bar,0.035,Empty
2024-07-15 11:36:00-04:00,289.440,289.625,289.430,289.625,289.625,785.000,289.730,nan,False,Noise Bar,0.020,Empty
2024-07-15 11:38:00-04:00,289.590,289.590,289.410,289.500,289.500,1182.000,289.714,nan,False,Noise Bar,-0.016,Empty
2024-07-15 11:40:00-04:00,289.480,289.540,289.195,289.211,289.211,1824.000,289.651,nan,False,Noise Bar,-0.063,Empty
2024-07-15 11:42:00-04:00,289.230,289.420,289.225,289.225,289.225,961.000,289.612,nan,False,Noise Bar,-0.039,Empty
2024-07-15 11:44:00-04:00,289.300,289.360,288.980,289.100,289.100,3794.000,289.560,nan,False,Noise Bar,-0.052,Empty
2024-07-15 11:46:00-04:00,288.995,289.330,288.735,289.330,289.330,6549.000,289.531,nan,False,Noise Bar,-0.029,Empty
2024-07-15 11:48:00-04:00,289.400,289.400,289.360,289.360,289.360,2246.000,289.469,nan,False,Noise Bar,-0.062,Empty
2024-07-15 11:50:00-04:00,289.430,289.770,289.420,289.770,289.770,3012.000,289.408,nan,False,Noise Bar,-0.061,Empty
2024-07-15 11:52:00-04:00,289.705,290.220,289.705,290.220,290.220,1652.000,289.497,nan,False,Noise Bar,0.089,Empty
2024-07-15 11:54:00-04:00,290.200,290.510,290.200,290.510,290.510,2148.000,289.585,nan,False,Noise Bar,0.088,Empty
2024-07-15 11:56:00-04:00,290.580,290.580,290.200,290.200,290.200,7252.000,289.643,nan,False,Noise Bar,0.058,Empty
2024-07-15 11:58:00-04:00,290.230,290.460,290.200,290.460,290.460,2745.000,289.739,nan,False,Noise Bar,0.096,Empty
2024-07-15 12:00:00-04:00,290.390,290.660,290.200,290.660,290.660,2347.000,289.883,nan,False,Noise Bar,0.145,Empty
2024-07-15 12:02:00-04:00,290.440,291.000,290.435,291.000,291.000,5766.000,290.061,nan,False,Noise Bar,0.177,Empty
2024-07-15 12:04:00-04:00,290.980,290.980,290.445,290.445,290.445,11033.000,290.195,nan,False,Noise Bar,0.135,Empty
2024-07-15 12:08:00-04:00,290.240,290.530,290.240,290.530,290.530,1610.000,290.315,nan,False,Noise Bar,0.120,Empty
2024-07-15 12:10:00-04:00,290.540,290.690,290.540,290.620,290.620,1466.000,290.442,nan,False,Noise Bar,0.126,Empty
2024-07-15 12:12:00-04:00,290.700,290.700,290.700,290.700,290.700,1182.000,290.535,nan,False,Noise Bar,0.093,Empty
2024-07-15 12:14:00-04:00,290.490,290.690,290.310,290.340,290.340,3205.000,290.547,nan,False,Noise Bar,0.012,Empty
2024-07-15 12:16:00-04:00,290.580,290.580,290.030,290.140,290.140,14162.000,290.510,nan,False,Noise Bar,-0.037,Empty
2024-07-15 12:18:00-04:00,289.980,290.190,289.480,289.710,289.710,2772.000,290.461,nan,False,Noise Bar,-0.049,Empty
2024-07-15 12:20:00-04:00,289.900,289.900,289.900,289.900,289.900,936.000,290.405,nan,False,Noise Bar,-0.056,Empty
2024-07-15 12:22:00-04:00,289.875,290.265,289.551,290.265,290.265,3881.000,290.365,nan,False,Noise Bar,-0.039,Empty
2024-07-15 12:24:00-04:00,290.200,290.200,289.740,289.870,289.870,3854.000,290.252,nan,False,Noise Bar,-0.113,Empty
2024-07-15 12:26:00-04:00,290.070,290.070,289.650,290.050,290.050,1757.000,290.212,nan,False,Noise Bar,-0.040,Empty
2024-07-15 12:28:00-04:00,289.980,289.980,289.980,289.980,289.980,319.000,290.158,nan,False,Noise Bar,-0.055,Empty
2024-07-15 12:30:00-04:00,289.855,290.020,289.855,290.020,290.020,927.000,290.098,nan,False,Noise Bar,-0.060,Empty
2024-07-15 12:32:00-04:00,289.855,289.855,289.640,289.745,289.745,2331.000,290.002,nan,False,Noise Bar,-0.096,Empty
2024-07-15 12:34:00-04:00,289.700,289.700,289.556,289.556,289.556,425.000,289.924,nan,False,Noise Bar,-0.078,Empty
2024-07-15 12:36:00-04:00,289.695,289.695,289.695,289.695,289.695,400.000,289.879,nan,False,Noise Bar,-0.045,Empty
2024-07-15 12:38:00-04:00,289.890,289.935,289.735,289.735,289.735,970.000,289.882,nan,False,Noise Bar,0.002,Empty
2024-07-15 12:40:00-04:00,289.580,289.735,289.490,289.580,289.580,11670.000,289.850,nan,False,Noise Bar,-0.032,Empty
