Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-17 14:24:00-04:00,573.24,573.20,Buy,ROP1
2024-07-17 14:26:00-04:00,573.32,573.20,Sell - Away from SMA,ROP1
2024-07-22 10:46:00-04:00,576.11,575.66,Buy,ROP2
2024-07-22 10:50:00-04:00,576.45,575.66,Sell - Away from SMA,ROP2
2024-07-22 12:52:00-04:00,574.89,574.86,Buy,ROP3
2024-07-22 12:54:00-04:00,575.55,574.86,Sell - Away from SMA,ROP3
2024-07-22 14:20:00-04:00,576.02,575.97,Buy,ROP4
2024-07-22 14:22:00-04:00,575.97,575.97,Sell - Stop Loss,ROP4
2024-07-22 14:46:00-04:00,576.73,576.71,Buy,ROP5
2024-07-22 14:48:00-04:00,576.71,576.71,Sell - Stop Loss,ROP5
2024-07-23 09:56:00-04:00,577.74,577.64,Buy,ROP6
2024-07-23 09:58:00-04:00,578.75,577.64,Sell - Away from SMA,ROP6
2024-07-23 12:02:00-04:00,576.78,576.76,Buy,ROP7
2024-07-23 12:10:00-04:00,577.43,576.76,Sell - Away from SMA,ROP7
2024-07-24 14:28:00-04:00,527.52,526.99,Buy,ROP8
2024-07-24 14:30:00-04:00,528.29,526.99,Sell - Away from SMA,ROP8
2024-07-24 15:48:00-04:00,535.28,534.82,Buy,ROP9
2024-07-24 15:50:00-04:00,537.62,534.82,Sell - Away from SMA,ROP9
2024-07-25 10:58:00-04:00,538.13,537.68,Buy,ROP10
2024-07-25 11:00:00-04:00,539.34,537.68,Sell - Away from SMA,ROP10
2024-07-25 14:24:00-04:00,544.26,543.72,Buy,ROP11
2024-07-25 14:26:00-04:00,544.70,543.72,Sell - Away from SMA,ROP11
2024-07-26 10:36:00-04:00,544.73,544.04,Buy,ROP12
2024-07-26 10:38:00-04:00,546.08,544.04,Sell - Away from SMA,ROP12
2024-07-31 12:38:00-04:00,547.03,546.99,Buy,ROP13
2024-07-31 12:44:00-04:00,546.99,546.99,Sell - Stop Loss,ROP13
2024-08-02 15:00:00-04:00,536.20,536.14,Buy,ROP14
2024-08-02 15:02:00-04:00,536.82,536.14,Sell - Away from SMA,ROP14
2024-08-02 15:22:00-04:00,536.26,536.13,Buy,ROP15
2024-08-02 15:24:00-04:00,537.02,536.13,Sell - Away from SMA,ROP15
2024-08-06 09:58:00-04:00,525.95,525.91,Buy,ROP16
2024-08-06 10:00:00-04:00,528.52,525.91,Sell - Away from SMA,ROP16
2024-08-07 11:42:00-04:00,524.90,524.62,Buy,ROP17
2024-08-07 11:44:00-04:00,525.24,524.62,Sell - Away from SMA,ROP17
2024-08-15 11:46:00-04:00,544.58,544.21,Buy,ROP18
2024-08-15 11:48:00-04:00,544.50,544.21,Sell - Away from SMA,ROP18
2024-08-15 12:22:00-04:00,546.17,545.82,Buy,ROP19
2024-08-15 12:24:00-04:00,545.82,545.82,Sell - Stop Loss,ROP19
2024-08-16 10:38:00-04:00,546.00,545.68,Buy,ROP20
2024-08-16 10:42:00-04:00,547.02,545.68,Sell - Away from SMA,ROP20
2024-08-21 15:54:00-04:00,550.54,549.94,Buy,ROP21
2024-08-21 15:56:00-04:00,551.86,549.94,Sell - Away from SMA,ROP21
