Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:22:00-04:00,73.65,73.50,Buy,SBUX1
2024-07-16 10:24:00-04:00,73.71,73.50,Sell - Away from SMA,SBUX1
2024-07-16 12:38:00-04:00,74.31,74.24,Buy,SBUX2
2024-07-16 12:42:00-04:00,74.39,74.24,Sell - Away from SMA,SBUX2
2024-07-16 13:20:00-04:00,74.81,74.72,Buy,SBUX3
2024-07-16 13:28:00-04:00,74.94,74.72,Sell - Away from SMA,SBUX3
2024-07-16 15:32:00-04:00,75.04,74.98,Buy,SBUX4
2024-07-16 15:50:00-04:00,75.26,74.98,Sell - Away from SMA,SBUX4
2024-07-17 09:58:00-04:00,75.51,75.30,Buy,SBUX5
2024-07-17 10:00:00-04:00,75.73,75.30,Sell - Away from SMA,SBUX5
2024-07-19 11:50:00-04:00,74.61,74.54,Buy,SBUX6
2024-07-19 12:00:00-04:00,74.72,74.54,Sell - Away from SMA,SBUX6
2024-07-19 14:00:00-04:00,74.81,74.74,Buy,SBUX7
2024-07-19 14:20:00-04:00,74.74,74.74,Sell - Stop Loss,SBUX7
2024-07-22 12:58:00-04:00,77.09,77.00,Buy,SBUX8
2024-07-22 13:00:00-04:00,77.19,77.00,Sell - Away from SMA,SBUX8
2024-07-22 13:22:00-04:00,77.20,77.11,Buy,SBUX9
2024-07-22 13:26:00-04:00,77.26,77.11,Sell - Away from SMA,SBUX9
2024-07-25 09:56:00-04:00,75.03,74.85,Buy,SBUX10
2024-07-25 09:58:00-04:00,75.22,74.85,Sell - Away from SMA,SBUX10
2024-07-25 10:04:00-04:00,75.30,75.17,Buy,SBUX11
2024-07-25 10:06:00-04:00,75.76,75.17,Sell - Away from SMA,SBUX11
2024-07-26 13:00:00-04:00,74.78,74.71,Buy,SBUX12
2024-07-26 13:04:00-04:00,74.90,74.71,Sell - Away from SMA,SBUX12
2024-07-29 12:58:00-04:00,75.22,75.15,Buy,SBUX13
2024-07-29 13:00:00-04:00,75.31,75.15,Sell - Away from SMA,SBUX13
2024-07-29 13:54:00-04:00,75.30,75.24,Buy,SBUX14
2024-07-29 13:56:00-04:00,75.38,75.24,Sell - Away from SMA,SBUX14
2024-07-29 15:20:00-04:00,75.28,75.24,Buy,SBUX15
2024-07-29 15:24:00-04:00,75.24,75.24,Sell - Stop Loss,SBUX15
2024-07-31 10:36:00-04:00,79.11,78.91,Buy,SBUX16
2024-07-31 10:38:00-04:00,79.22,78.91,Sell - Away from SMA,SBUX16
2024-07-31 12:26:00-04:00,79.08,79.00,Buy,SBUX17
2024-07-31 12:32:00-04:00,79.31,79.00,Sell - Away from SMA,SBUX17
2024-07-31 12:42:00-04:00,79.18,79.11,Buy,SBUX18
2024-07-31 12:44:00-04:00,79.24,79.11,Sell - Away from SMA,SBUX18
2024-07-31 13:36:00-04:00,79.16,79.09,Buy,SBUX19
2024-07-31 13:42:00-04:00,79.30,79.09,Sell - Away from SMA,SBUX19
2024-07-31 13:48:00-04:00,79.26,79.19,Buy,SBUX20
2024-07-31 13:50:00-04:00,79.49,79.19,Sell - Away from SMA,SBUX20
2024-08-02 12:24:00-04:00,76.20,76.13,Buy,SBUX21
2024-08-02 12:26:00-04:00,76.32,76.13,Sell - Away from SMA,SBUX21
2024-08-02 12:38:00-04:00,76.48,76.38,Buy,SBUX22
2024-08-02 12:40:00-04:00,76.65,76.38,Sell - Away from SMA,SBUX22
2024-08-02 13:48:00-04:00,76.12,76.04,Buy,SBUX23
2024-08-02 13:52:00-04:00,76.04,76.04,Sell - Stop Loss,SBUX23
2024-08-06 09:48:00-04:00,74.96,74.74,Buy,SBUX24
2024-08-06 09:50:00-04:00,75.28,74.74,Sell - Away from SMA,SBUX24
2024-08-06 10:04:00-04:00,75.50,75.37,Buy,SBUX25
2024-08-06 10:06:00-04:00,75.59,75.37,Sell - Away from SMA,SBUX25
2024-08-06 11:36:00-04:00,75.34,75.22,Buy,SBUX26
2024-08-06 11:42:00-04:00,75.55,75.22,Sell - Away from SMA,SBUX26
2024-08-06 12:50:00-04:00,75.74,75.66,Buy,SBUX27
2024-08-06 12:52:00-04:00,75.92,75.66,Sell - Away from SMA,SBUX27
2024-08-08 10:20:00-04:00,75.86,75.74,Buy,SBUX28
2024-08-08 10:22:00-04:00,75.96,75.74,Sell - Away from SMA,SBUX28
2024-08-08 10:32:00-04:00,76.04,75.98,Buy,SBUX29
2024-08-08 10:34:00-04:00,75.98,75.98,Sell - Stop Loss,SBUX29
2024-08-08 11:24:00-04:00,75.92,75.86,Buy,SBUX30
2024-08-08 11:28:00-04:00,75.86,75.86,Sell - Stop Loss,SBUX30
2024-08-09 14:04:00-04:00,75.24,75.19,Buy,SBUX31
2024-08-09 14:10:00-04:00,75.19,75.19,Sell - Stop Loss,SBUX31
2024-08-12 09:36:00-04:00,77.03,76.73,Buy,SBUX32
2024-08-12 09:38:00-04:00,77.55,76.73,Sell - Away from SMA,SBUX32
2024-08-12 10:30:00-04:00,77.97,77.86,Buy,SBUX33
2024-08-12 10:32:00-04:00,78.12,77.86,Sell - Away from SMA,SBUX33
2024-08-13 09:52:00-04:00,93.89,92.91,Buy,SBUX34
2024-08-13 09:54:00-04:00,94.44,92.91,Sell - Away from SMA,SBUX34
2024-08-13 10:02:00-04:00,93.97,93.35,Buy,SBUX35
2024-08-13 10:04:00-04:00,94.68,93.35,Sell - Away from SMA,SBUX35
2024-08-13 15:30:00-04:00,94.45,94.24,Buy,SBUX36
2024-08-13 15:32:00-04:00,94.73,94.24,Sell - Away from SMA,SBUX36
2024-08-13 15:36:00-04:00,94.76,94.65,Buy,SBUX37
2024-08-13 15:38:00-04:00,94.98,94.65,Sell - Away from SMA,SBUX37
2024-08-13 15:54:00-04:00,95.25,95.03,Buy,SBUX38
2024-08-13 15:56:00-04:00,95.80,95.03,Sell - Away from SMA,SBUX38
2024-08-14 13:18:00-04:00,92.61,92.48,Buy,SBUX39
2024-08-14 13:20:00-04:00,92.83,92.48,Sell - Away from SMA,SBUX39
2024-08-14 14:38:00-04:00,94.86,94.69,Buy,SBUX40
2024-08-14 14:40:00-04:00,95.45,94.69,Sell - Away from SMA,SBUX40
2024-08-16 14:56:00-04:00,95.12,95.01,Buy,SBUX41
2024-08-16 15:00:00-04:00,95.01,95.01,Sell - Stop Loss,SBUX41
2024-08-20 11:02:00-04:00,93.52,93.42,Buy,SBUX42
2024-08-20 11:04:00-04:00,93.60,93.42,Sell - Away from SMA,SBUX42
2024-08-21 13:28:00-04:00,93.19,93.13,Buy,SBUX43
2024-08-21 13:30:00-04:00,93.13,93.13,Sell - Stop Loss,SBUX43
2024-08-22 11:16:00-04:00,92.68,92.62,Buy,SBUX44
2024-08-22 11:18:00-04:00,92.62,92.62,Sell - Stop Loss,SBUX44
2024-08-22 12:46:00-04:00,92.32,92.23,Buy,SBUX45
2024-08-22 12:52:00-04:00,92.23,92.23,Sell - Stop Loss,SBUX45
2024-08-22 14:32:00-04:00,92.37,92.30,Buy,SBUX46
2024-08-22 14:38:00-04:00,92.47,92.30,Sell - Away from SMA,SBUX46
2024-08-23 09:42:00-04:00,93.20,93.07,Buy,SBUX47
2024-08-23 09:44:00-04:00,93.24,93.07,Sell - Away from SMA,SBUX47
2024-08-23 10:22:00-04:00,94.06,93.93,Buy,SBUX48
2024-08-23 10:24:00-04:00,94.20,93.93,Sell - Away from SMA,SBUX48
