Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-19 09:58:00-04:00,270.46,269.90,Buy,SNA1
2024-07-19 10:00:00-04:00,271.41,269.90,Sell - Away from SMA,SNA1
2024-07-22 15:14:00-04:00,274.00,273.92,Buy,SNA2
2024-07-22 15:16:00-04:00,274.14,273.92,Sell - Away from SMA,SNA2
2024-07-23 15:36:00-04:00,274.79,274.69,Buy,SNA3
2024-07-23 15:38:00-04:00,274.96,274.69,Sell - Away from SMA,SNA3
2024-07-29 12:18:00-04:00,281.34,281.32,Buy,SNA4
2024-07-29 12:20:00-04:00,281.32,281.32,Sell - Stop Loss,SNA4
2024-07-30 15:36:00-04:00,284.73,284.70,Buy,SNA5
2024-07-30 15:38:00-04:00,285.26,284.70,Sell - Away from SMA,SNA5
2024-07-31 13:40:00-04:00,286.15,286.11,Buy,SNA6
2024-07-31 13:44:00-04:00,286.18,286.11,Sell - Away from SMA,SNA6
2024-08-15 10:28:00-04:00,274.87,274.83,Buy,SNA7
2024-08-15 10:32:00-04:00,275.09,274.83,Sell - Away from SMA,SNA7
2024-08-15 15:28:00-04:00,276.21,276.18,Buy,SNA8
2024-08-15 15:30:00-04:00,276.68,276.18,Sell - Away from SMA,SNA8
2024-08-16 15:58:00-04:00,276.24,276.00,Buy,SNA9
2024-08-19 09:30:00-04:00,276.00,276.00,Sell - Stop Loss,SNA9
2024-08-23 10:28:00-04:00,281.49,281.44,Buy,SNA10
2024-08-23 10:30:00-04:00,282.31,281.44,Sell - Away from SMA,SNA10
