Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 15:54:00-04:00,149.81,149.62,Buy,SPG1
2024-07-15 15:56:00-04:00,150.09,149.62,Sell - Away from SMA,SPG1
2024-07-16 11:08:00-04:00,150.41,150.26,Buy,SPG2
2024-07-16 11:10:00-04:00,150.67,150.26,Sell - Away from SMA,SPG2
2024-07-17 09:50:00-04:00,152.49,152.44,Buy,SPG3
2024-07-17 09:52:00-04:00,153.30,152.44,Sell - Away from SMA,SPG3
2024-07-17 10:22:00-04:00,154.70,154.54,Buy,SPG4
2024-07-17 10:24:00-04:00,154.54,154.54,Sell - Stop Loss,SPG4
2024-07-17 11:30:00-04:00,154.40,154.28,Buy,SPG5
2024-07-17 11:32:00-04:00,154.56,154.28,Sell - Away from SMA,SPG5
2024-07-17 11:44:00-04:00,154.76,154.62,Buy,SPG6
2024-07-17 11:46:00-04:00,155.28,154.62,Sell - Away from SMA,SPG6
2024-07-17 12:20:00-04:00,155.00,154.89,Buy,SPG7
2024-07-17 12:26:00-04:00,155.08,154.89,Sell - Away from SMA,SPG7
2024-07-18 09:56:00-04:00,157.25,156.95,Buy,SPG8
2024-07-18 09:58:00-04:00,157.54,156.95,Sell - Away from SMA,SPG8
2024-07-19 12:40:00-04:00,153.42,153.36,Buy,SPG9
2024-07-19 12:42:00-04:00,153.54,153.36,Sell - Away from SMA,SPG9
2024-07-19 14:50:00-04:00,153.56,153.52,Buy,SPG10
2024-07-19 14:52:00-04:00,153.85,153.52,Sell - Away from SMA,SPG10
2024-07-22 11:30:00-04:00,156.78,156.67,Buy,SPG11
2024-07-22 11:32:00-04:00,156.67,156.67,Sell - Stop Loss,SPG11
2024-07-22 14:18:00-04:00,156.73,156.66,Buy,SPG12
2024-07-22 14:28:00-04:00,156.66,156.66,Sell - Stop Loss,SPG12
2024-07-22 15:46:00-04:00,157.23,157.09,Buy,SPG13
2024-07-22 15:48:00-04:00,157.23,157.09,Sell - Away from SMA,SPG13
2024-07-23 10:16:00-04:00,157.84,157.55,Buy,SPG14
2024-07-23 10:18:00-04:00,157.87,157.55,Sell - Away from SMA,SPG14
2024-07-23 12:04:00-04:00,157.61,157.53,Buy,SPG15
2024-07-23 12:06:00-04:00,157.73,157.53,Sell - Away from SMA,SPG15
2024-07-25 11:38:00-04:00,151.79,151.61,Buy,SPG16
2024-07-25 11:40:00-04:00,151.97,151.61,Sell - Away from SMA,SPG16
2024-07-26 09:46:00-04:00,150.56,150.29,Buy,SPG17
2024-07-26 09:48:00-04:00,150.87,150.29,Sell - Away from SMA,SPG17
2024-07-26 10:44:00-04:00,151.71,151.56,Buy,SPG18
2024-07-26 10:46:00-04:00,151.87,151.56,Sell - Away from SMA,SPG18
2024-07-26 11:10:00-04:00,151.83,151.72,Buy,SPG19
2024-07-26 11:12:00-04:00,152.07,151.72,Sell - Away from SMA,SPG19
2024-07-26 11:56:00-04:00,151.69,151.60,Buy,SPG20
2024-07-26 11:58:00-04:00,152.10,151.60,Sell - Away from SMA,SPG20
2024-07-26 13:26:00-04:00,152.21,152.18,Buy,SPG21
2024-07-26 13:28:00-04:00,152.42,152.18,Sell - Away from SMA,SPG21
2024-07-26 15:12:00-04:00,152.66,152.54,Buy,SPG22
2024-07-26 15:18:00-04:00,152.72,152.54,Sell - Away from SMA,SPG22
2024-07-29 12:50:00-04:00,153.00,152.98,Buy,SPG23
2024-07-29 12:52:00-04:00,153.07,152.98,Sell - Away from SMA,SPG23
2024-07-30 10:46:00-04:00,153.72,153.69,Buy,SPG24
2024-07-30 10:48:00-04:00,153.69,153.69,Sell - Stop Loss,SPG24
2024-07-30 11:34:00-04:00,154.02,153.90,Buy,SPG25
2024-07-30 11:40:00-04:00,153.90,153.90,Sell - Stop Loss,SPG25
2024-07-30 12:24:00-04:00,154.08,154.06,Buy,SPG26
2024-07-30 12:28:00-04:00,154.50,154.06,Sell - Away from SMA,SPG26
2024-07-30 12:38:00-04:00,154.33,154.20,Buy,SPG27
2024-07-30 12:48:00-04:00,154.49,154.20,Sell - Away from SMA,SPG27
