Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-17 13:12:00-04:00,78.10,78.05,Buy,SRE1
2024-07-17 13:26:00-04:00,78.05,78.05,Sell - Stop Loss,SRE1
2024-07-18 10:02:00-04:00,78.45,78.37,Buy,SRE2
2024-07-18 10:04:00-04:00,78.53,78.37,Sell - Away from SMA,SRE2
2024-07-18 11:08:00-04:00,79.13,79.02,Buy,SRE3
2024-07-18 11:10:00-04:00,79.19,79.02,Sell - Away from SMA,SRE3
2024-07-19 15:42:00-04:00,77.65,77.59,Buy,SRE4
2024-07-19 15:48:00-04:00,77.59,77.59,Sell - Stop Loss,SRE4
2024-07-22 09:44:00-04:00,77.90,77.76,Buy,SRE5
2024-07-22 09:46:00-04:00,78.05,77.76,Sell - Away from SMA,SRE5
2024-07-22 10:02:00-04:00,77.76,77.67,Buy,SRE6
2024-07-22 10:08:00-04:00,77.94,77.67,Sell - Away from SMA,SRE6
2024-07-22 11:14:00-04:00,78.02,77.96,Buy,SRE7
2024-07-22 11:38:00-04:00,77.96,77.96,Sell - Stop Loss,SRE7
2024-07-22 11:46:00-04:00,77.94,77.90,Buy,SRE8
2024-07-22 11:52:00-04:00,77.90,77.90,Sell - Stop Loss,SRE8
2024-07-22 14:34:00-04:00,78.01,77.97,Buy,SRE9
2024-07-22 14:40:00-04:00,78.13,77.97,Sell - Away from SMA,SRE9
2024-07-24 11:04:00-04:00,78.27,78.23,Buy,SRE10
2024-07-24 11:08:00-04:00,78.47,78.23,Sell - Away from SMA,SRE10
2024-07-25 09:40:00-04:00,79.75,79.64,Buy,SRE11
2024-07-25 09:42:00-04:00,79.72,79.64,Sell - Away from SMA,SRE11
2024-07-26 10:26:00-04:00,78.68,78.60,Buy,SRE12
2024-07-26 10:28:00-04:00,78.60,78.60,Sell - Stop Loss,SRE12
2024-07-26 11:26:00-04:00,78.65,78.59,Buy,SRE13
2024-07-26 11:28:00-04:00,78.78,78.59,Sell - Away from SMA,SRE13
2024-07-26 13:14:00-04:00,78.76,78.72,Buy,SRE14
2024-07-26 13:38:00-04:00,78.72,78.72,Sell - Stop Loss,SRE14
2024-07-29 10:24:00-04:00,78.75,78.69,Buy,SRE15
2024-07-29 10:28:00-04:00,78.69,78.69,Sell - Stop Loss,SRE15
2024-07-29 11:46:00-04:00,78.72,78.68,Buy,SRE16
2024-07-29 12:02:00-04:00,78.68,78.68,Sell - Stop Loss,SRE16
2024-07-29 15:26:00-04:00,79.15,79.11,Buy,SRE17
2024-07-29 15:28:00-04:00,79.22,79.11,Sell - Away from SMA,SRE17
2024-07-29 15:48:00-04:00,79.40,79.33,Buy,SRE18
2024-07-29 15:50:00-04:00,79.33,79.33,Sell - Stop Loss,SRE18
2024-07-30 10:28:00-04:00,79.46,79.38,Buy,SRE19
2024-07-30 10:34:00-04:00,79.51,79.38,Sell - Away from SMA,SRE19
2024-07-30 11:34:00-04:00,79.73,79.68,Buy,SRE20
2024-07-30 11:36:00-04:00,79.85,79.68,Sell - Away from SMA,SRE20
2024-08-01 09:32:00-04:00,80.57,80.50,Buy,SRE21
2024-08-01 09:34:00-04:00,80.84,80.50,Sell - Away from SMA,SRE21
2024-08-01 12:32:00-04:00,81.05,81.01,Buy,SRE22
2024-08-01 12:34:00-04:00,81.10,81.01,Sell - Away from SMA,SRE22
2024-08-01 13:12:00-04:00,81.35,81.30,Buy,SRE23
2024-08-01 13:14:00-04:00,81.37,81.30,Sell - Away from SMA,SRE23
2024-08-01 15:30:00-04:00,81.33,81.28,Buy,SRE24
2024-08-01 15:32:00-04:00,81.41,81.28,Sell - Away from SMA,SRE24
2024-08-09 11:12:00-04:00,78.05,77.93,Buy,SRE25
2024-08-09 11:14:00-04:00,78.17,77.93,Sell - Away from SMA,SRE25
2024-08-09 13:18:00-04:00,78.28,78.22,Buy,SRE26
2024-08-09 13:20:00-04:00,78.32,78.22,Sell - Away from SMA,SRE26
2024-08-09 15:18:00-04:00,78.31,78.26,Buy,SRE27
2024-08-09 15:28:00-04:00,78.43,78.26,Sell - Away from SMA,SRE27
2024-08-12 10:10:00-04:00,78.32,78.24,Buy,SRE28
2024-08-12 10:12:00-04:00,78.44,78.24,Sell - Away from SMA,SRE28
2024-08-15 11:24:00-04:00,79.04,78.99,Buy,SRE29
2024-08-15 11:26:00-04:00,79.08,78.99,Sell - Away from SMA,SRE29
2024-08-16 10:40:00-04:00,79.68,79.61,Buy,SRE30
2024-08-16 10:44:00-04:00,79.85,79.61,Sell - Away from SMA,SRE30
2024-08-16 10:48:00-04:00,79.82,79.76,Buy,SRE31
2024-08-16 10:50:00-04:00,79.97,79.76,Sell - Away from SMA,SRE31
2024-08-19 11:56:00-04:00,80.84,80.79,Buy,SRE32
2024-08-19 12:06:00-04:00,80.79,80.79,Sell - Stop Loss,SRE32
