Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:44:00-04:00,132.24,132.13,Buy,STLD1
2024-07-16 11:46:00-04:00,132.60,132.13,Sell - Away from SMA,STLD1
2024-07-16 12:04:00-04:00,132.57,132.51,Buy,STLD2
2024-07-16 12:06:00-04:00,132.79,132.51,Sell - Away from SMA,STLD2
2024-07-16 14:06:00-04:00,132.62,132.59,Buy,STLD3
2024-07-16 14:08:00-04:00,132.82,132.59,Sell - Away from SMA,STLD3
2024-07-18 10:48:00-04:00,132.02,131.67,Buy,STLD4
2024-07-18 10:50:00-04:00,132.45,131.67,Sell - Away from SMA,STLD4
2024-07-18 11:16:00-04:00,132.84,132.62,Buy,STLD5
2024-07-18 11:18:00-04:00,133.15,132.62,Sell - Away from SMA,STLD5
2024-07-23 14:10:00-04:00,126.56,126.48,Buy,STLD6
2024-07-23 14:12:00-04:00,126.71,126.48,Sell - Away from SMA,STLD6
2024-07-23 14:54:00-04:00,126.42,126.33,Buy,STLD7
2024-07-23 14:58:00-04:00,126.33,126.33,Sell - Stop Loss,STLD7
2024-07-24 09:58:00-04:00,126.64,126.30,Buy,STLD8
2024-07-24 10:00:00-04:00,126.51,126.30,Sell - Away from SMA,STLD8
2024-07-25 10:10:00-04:00,126.02,125.69,Buy,STLD9
2024-07-25 10:12:00-04:00,126.30,125.69,Sell - Away from SMA,STLD9
2024-07-25 13:54:00-04:00,127.61,127.50,Buy,STLD10
2024-07-25 13:56:00-04:00,127.61,127.50,Sell - Away from SMA,STLD10
2024-07-25 14:02:00-04:00,127.83,127.78,Buy,STLD11
2024-07-25 14:04:00-04:00,127.90,127.78,Sell - Away from SMA,STLD11
2024-07-26 10:46:00-04:00,128.82,128.77,Buy,STLD12
2024-07-26 10:48:00-04:00,129.19,128.77,Sell - Away from SMA,STLD12
2024-07-26 11:58:00-04:00,130.80,130.74,Buy,STLD13
2024-07-26 12:00:00-04:00,131.20,130.74,Sell - Away from SMA,STLD13
2024-07-26 15:06:00-04:00,131.50,131.46,Buy,STLD14
2024-07-26 15:08:00-04:00,131.69,131.46,Sell - Away from SMA,STLD14
2024-08-02 14:40:00-04:00,121.45,121.38,Buy,STLD15
2024-08-02 14:42:00-04:00,121.67,121.38,Sell - Away from SMA,STLD15
2024-08-02 15:30:00-04:00,121.85,121.68,Buy,STLD16
2024-08-02 15:32:00-04:00,121.90,121.68,Sell - Away from SMA,STLD16
2024-08-05 11:40:00-04:00,121.67,121.51,Buy,STLD17
2024-08-05 11:42:00-04:00,121.92,121.51,Sell - Away from SMA,STLD17
2024-08-05 12:26:00-04:00,123.12,122.91,Buy,STLD18
2024-08-05 12:28:00-04:00,123.44,122.91,Sell - Away from SMA,STLD18
2024-08-05 13:10:00-04:00,122.37,122.17,Buy,STLD19
2024-08-05 13:12:00-04:00,122.52,122.17,Sell - Away from SMA,STLD19
2024-08-06 10:06:00-04:00,123.32,122.98,Buy,STLD20
2024-08-06 10:08:00-04:00,123.50,122.98,Sell - Away from SMA,STLD20
2024-08-06 14:40:00-04:00,124.08,124.04,Buy,STLD21
2024-08-06 14:44:00-04:00,124.04,124.04,Sell - Stop Loss,STLD21
2024-08-07 10:12:00-04:00,123.38,123.15,Buy,STLD22
2024-08-07 10:14:00-04:00,123.19,123.15,Sell - Away from SMA,STLD22
2024-08-13 13:12:00-04:00,116.53,116.47,Buy,STLD23
2024-08-13 13:16:00-04:00,116.48,116.47,Sell - Away from SMA,STLD23
2024-08-13 13:40:00-04:00,116.51,116.40,Buy,STLD24
2024-08-13 13:42:00-04:00,116.61,116.40,Sell - Away from SMA,STLD24
2024-08-13 14:38:00-04:00,116.74,116.64,Buy,STLD25
2024-08-13 14:40:00-04:00,116.64,116.64,Sell - Stop Loss,STLD25
2024-08-13 15:44:00-04:00,117.03,116.96,Buy,STLD26
2024-08-13 15:46:00-04:00,117.28,116.96,Sell - Away from SMA,STLD26
2024-08-14 13:34:00-04:00,114.27,114.21,Buy,STLD27
2024-08-14 13:36:00-04:00,114.21,114.21,Sell - Stop Loss,STLD27
2024-08-14 14:42:00-04:00,115.26,115.11,Buy,STLD28
2024-08-14 14:44:00-04:00,115.39,115.11,Sell - Away from SMA,STLD28
2024-08-14 15:52:00-04:00,115.24,115.06,Buy,STLD29
2024-08-14 15:54:00-04:00,115.06,115.06,Sell - Stop Loss,STLD29
2024-08-15 10:34:00-04:00,117.44,117.36,Buy,STLD30
2024-08-15 10:38:00-04:00,117.36,117.36,Sell - Stop Loss,STLD30
2024-08-15 11:24:00-04:00,118.15,118.01,Buy,STLD31
2024-08-15 11:26:00-04:00,118.55,118.01,Sell - Away from SMA,STLD31
2024-08-15 11:34:00-04:00,118.88,118.63,Buy,STLD32
2024-08-15 11:36:00-04:00,119.02,118.63,Sell - Away from SMA,STLD32
2024-08-15 13:36:00-04:00,118.62,118.55,Buy,STLD33
2024-08-15 13:38:00-04:00,118.75,118.55,Sell - Away from SMA,STLD33
2024-08-19 10:52:00-04:00,117.88,117.74,Buy,STLD34
2024-08-19 10:54:00-04:00,118.00,117.74,Sell - Away from SMA,STLD34
2024-08-20 14:46:00-04:00,116.09,115.98,Buy,STLD35
2024-08-20 15:06:00-04:00,116.30,115.98,Sell - Away from SMA,STLD35
2024-08-21 09:42:00-04:00,117.75,117.54,Buy,STLD36
2024-08-21 09:44:00-04:00,117.94,117.54,Sell - Away from SMA,STLD36
2024-08-21 10:40:00-04:00,117.76,117.50,Buy,STLD37
2024-08-21 10:42:00-04:00,117.92,117.50,Sell - Away from SMA,STLD37
