Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,107.350,107.580,106.930,107.015,107.015,63476.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,107.130,107.150,106.760,106.885,106.885,8606.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,107.125,107.248,107.125,107.248,107.248,4077.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,107.250,107.260,106.970,107.000,107.000,7997.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,106.920,106.940,106.790,106.858,106.858,1922.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,106.910,106.965,106.845,106.965,106.965,4301.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,106.970,106.970,106.314,106.435,106.435,8429.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,106.430,106.470,106.230,106.295,106.295,24852.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,106.295,106.800,106.295,106.705,106.705,15313.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,106.705,106.710,106.560,106.560,106.560,8465.000,106.797,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,106.610,106.610,106.330,106.380,106.380,10007.000,106.733,nan,False,Noise Bar,-0.064,Empty
2024-07-15 09:52:00-04:00,106.420,106.790,106.415,106.777,106.777,21690.000,106.722,nan,False,Noise Bar,-0.011,Empty
2024-07-15 09:54:00-04:00,106.870,106.870,106.625,106.625,106.625,10762.000,106.660,nan,False,Noise Bar,-0.062,Empty
2024-07-15 09:56:00-04:00,106.670,106.770,106.630,106.695,106.695,7690.000,106.630,nan,False,Noise Bar,-0.031,Empty
2024-07-15 09:58:00-04:00,106.650,106.660,106.500,106.550,106.550,12815.000,106.599,nan,False,Noise Bar,-0.031,Empty
2024-07-15 10:00:00-04:00,106.520,106.840,106.520,106.805,106.805,17573.000,106.583,nan,False,Noise Bar,-0.016,Empty
2024-07-15 10:02:00-04:00,106.810,107.190,106.810,107.120,107.120,11476.000,106.651,nan,False,Noise Bar,0.069,Empty
2024-07-15 10:04:00-04:00,107.090,107.160,107.060,107.110,107.110,10078.000,106.733,nan,False,Noise Bar,0.082,Empty
2024-07-15 10:06:00-04:00,107.140,107.190,106.850,106.925,106.925,11240.000,106.755,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:08:00-04:00,106.950,107.100,106.920,107.014,107.014,4845.000,106.800,nan,False,Noise Bar,0.045,Empty
2024-07-15 10:10:00-04:00,107.050,107.110,106.980,106.990,106.990,6308.000,106.861,nan,False,Noise Bar,0.061,Empty
2024-07-15 10:12:00-04:00,106.975,106.980,106.870,106.915,106.915,5568.000,106.875,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:14:00-04:00,106.870,106.935,106.870,106.890,106.890,28358.000,106.901,nan,False,Noise Bar,0.026,Empty
2024-07-15 10:16:00-04:00,106.860,106.971,106.860,106.930,106.930,11222.000,106.925,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:18:00-04:00,106.935,106.935,106.780,106.790,106.790,18212.000,106.949,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:20:00-04:00,106.805,106.850,106.670,106.832,106.832,6780.000,106.952,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:22:00-04:00,106.800,106.850,106.790,106.805,106.805,3989.000,106.920,nan,False,Noise Bar,-0.032,Empty
2024-07-15 10:24:00-04:00,106.780,106.940,106.780,106.895,106.895,7664.000,106.899,nan,False,Noise Bar,-0.022,Empty
2024-07-15 10:26:00-04:00,106.915,107.030,106.840,106.900,106.900,12878.000,106.896,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:28:00-04:00,106.915,107.240,106.885,107.150,107.150,16816.000,106.910,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:30:00-04:00,107.135,107.180,107.130,107.130,107.130,4191.000,106.924,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:32:00-04:00,107.130,107.150,107.070,107.110,107.110,5497.000,106.943,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:34:00-04:00,107.060,107.200,107.050,107.190,107.190,6391.000,106.973,nan,False,Noise Bar,0.030,Empty
2024-07-15 10:36:00-04:00,107.180,107.190,106.960,107.000,107.000,5320.000,106.980,nan,False,Noise Bar,0.007,Empty
