Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:22:00-04:00,50.97,50.92,Buy,SYF1
2024-07-15 13:24:00-04:00,50.98,50.92,Sell - Away from SMA,SYF1
2024-07-18 09:34:00-04:00,51.86,51.67,Buy,SYF2
2024-07-18 09:36:00-04:00,51.97,51.67,Sell - Away from SMA,SYF2
2024-07-19 12:32:00-04:00,50.19,50.13,Buy,SYF3
2024-07-19 12:54:00-04:00,50.22,50.19,Buy,SYF4
2024-07-19 13:52:00-04:00,50.19,50.19,Sell - Stop Loss,SYF4
2024-07-19 13:58:00-04:00,50.39,50.13,Sell - Away from SMA,SYF3
2024-07-22 11:34:00-04:00,50.31,50.26,Buy,SYF5
2024-07-22 11:38:00-04:00,50.26,50.26,Sell - Stop Loss,SYF5
2024-07-22 12:56:00-04:00,50.34,50.29,Buy,SYF6
2024-07-22 12:58:00-04:00,50.29,50.29,Sell - Stop Loss,SYF6
2024-07-23 10:00:00-04:00,50.71,50.63,Buy,SYF7
2024-07-23 10:02:00-04:00,50.86,50.63,Sell - Away from SMA,SYF7
2024-07-23 11:00:00-04:00,50.71,50.66,Buy,SYF8
2024-07-23 11:04:00-04:00,50.86,50.66,Sell - Away from SMA,SYF8
2024-07-25 10:10:00-04:00,50.24,50.15,Buy,SYF9
2024-07-25 10:12:00-04:00,50.23,50.15,Sell - Away from SMA,SYF9
2024-07-25 10:30:00-04:00,50.30,50.21,Buy,SYF10
2024-07-25 10:32:00-04:00,50.39,50.21,Sell - Away from SMA,SYF10
2024-07-25 11:28:00-04:00,50.51,50.48,Buy,SYF11
2024-07-25 11:36:00-04:00,50.48,50.48,Sell - Stop Loss,SYF11
2024-07-25 12:32:00-04:00,51.00,50.94,Buy,SYF12
2024-07-25 13:10:00-04:00,51.23,50.94,Sell - Away from SMA,SYF12
2024-07-26 10:22:00-04:00,50.87,50.84,Buy,SYF13
2024-07-26 10:24:00-04:00,50.95,50.84,Sell - Away from SMA,SYF13
2024-07-26 11:58:00-04:00,50.86,50.83,Buy,SYF14
2024-07-26 12:00:00-04:00,50.95,50.83,Sell - Away from SMA,SYF14
2024-07-26 15:40:00-04:00,50.80,50.74,Buy,SYF15
2024-07-26 15:48:00-04:00,50.94,50.74,Sell - Away from SMA,SYF15
2024-07-31 14:56:00-04:00,51.41,51.34,Buy,SYF16
2024-07-31 14:58:00-04:00,51.42,51.34,Sell - Away from SMA,SYF16
2024-08-05 12:16:00-04:00,43.50,43.45,Buy,SYF17
2024-08-05 12:22:00-04:00,43.67,43.45,Sell - Away from SMA,SYF17
2024-08-05 12:26:00-04:00,43.68,43.64,Buy,SYF18
2024-08-05 12:28:00-04:00,43.80,43.64,Sell - Away from SMA,SYF18
2024-08-05 13:08:00-04:00,43.64,43.58,Buy,SYF19
2024-08-05 13:10:00-04:00,43.70,43.58,Sell - Away from SMA,SYF19
2024-08-06 11:48:00-04:00,44.31,44.22,Buy,SYF20
2024-08-06 11:50:00-04:00,44.43,44.22,Sell - Away from SMA,SYF20
2024-08-08 14:18:00-04:00,45.84,45.78,Buy,SYF21
2024-08-08 14:40:00-04:00,45.78,45.78,Sell - Stop Loss,SYF21
2024-08-09 15:16:00-04:00,46.31,46.26,Buy,SYF22
2024-08-09 15:28:00-04:00,46.43,46.26,Sell - Away from SMA,SYF22
2024-08-09 15:34:00-04:00,46.48,46.42,Buy,SYF23
2024-08-09 15:36:00-04:00,46.52,46.42,Sell - Away from SMA,SYF23
2024-08-14 11:32:00-04:00,46.02,45.96,Buy,SYF24
2024-08-14 11:34:00-04:00,46.10,45.96,Sell - Away from SMA,SYF24
2024-08-14 12:36:00-04:00,45.99,45.96,Buy,SYF25
2024-08-14 12:42:00-04:00,45.96,45.96,Sell - Stop Loss,SYF25
2024-08-14 13:46:00-04:00,46.29,46.24,Buy,SYF26
2024-08-14 13:48:00-04:00,46.33,46.24,Sell - Away from SMA,SYF26
2024-08-16 10:00:00-04:00,46.41,46.30,Buy,SYF27
2024-08-16 10:02:00-04:00,46.57,46.30,Sell - Away from SMA,SYF27
2024-08-16 12:16:00-04:00,46.57,46.50,Buy,SYF28
2024-08-16 12:26:00-04:00,46.50,46.50,Sell - Stop Loss,SYF28
2024-08-16 12:36:00-04:00,46.52,46.47,Buy,SYF29
2024-08-16 14:38:00-04:00,46.56,46.52,Buy,SYF30
2024-08-16 15:50:00-04:00,46.52,46.52,Sell - Stop Loss,SYF30
2024-08-16 15:58:00-04:00,46.60,46.53,Buy,SYF31
2024-08-19 09:30:00-04:00,46.84,46.47,Sell - Away from SMA,SYF29
2024-08-19 09:30:00-04:00,46.84,46.53,Sell - Away from SMA,SYF31
2024-08-19 09:44:00-04:00,47.06,46.98,Buy,SYF32
2024-08-19 09:46:00-04:00,47.13,46.98,Sell - Away from SMA,SYF32
2024-08-19 14:40:00-04:00,47.36,47.33,Buy,SYF33
2024-08-19 15:00:00-04:00,47.33,47.33,Sell - Stop Loss,SYF33
2024-08-21 09:30:00-04:00,47.15,47.09,Buy,SYF34
2024-08-21 09:32:00-04:00,47.36,47.09,Sell - Away from SMA,SYF34
2024-08-21 14:18:00-04:00,47.08,47.04,Buy,SYF35
2024-08-21 14:34:00-04:00,47.21,47.04,Sell - Away from SMA,SYF35
2024-08-22 09:42:00-04:00,47.23,47.19,Buy,SYF36
2024-08-22 09:44:00-04:00,47.19,47.19,Sell - Stop Loss,SYF36
2024-08-22 13:36:00-04:00,47.34,47.29,Buy,SYF37
2024-08-22 13:56:00-04:00,47.29,47.29,Sell - Stop Loss,SYF37
2024-08-23 14:12:00-04:00,48.57,48.51,Buy,SYF38
2024-08-23 14:18:00-04:00,48.68,48.51,Sell - Away from SMA,SYF38
