Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-08-01 13:48:00-04:00,19.62,19.58,Buy,T1
2024-08-01 13:50:00-04:00,19.58,19.58,Sell - Stop Loss,T1
2024-08-06 09:50:00-04:00,19.10,19.06,Buy,T2
2024-08-06 09:52:00-04:00,19.15,19.06,Sell - Away from SMA,T2
2024-08-06 10:44:00-04:00,19.24,19.20,Buy,T3
2024-08-06 11:00:00-04:00,19.20,19.20,Sell - Stop Loss,T3
2024-08-09 10:40:00-04:00,19.48,19.44,Buy,T4
2024-08-12 09:30:00-04:00,19.44,19.44,Sell - Stop Loss,T4
2024-08-20 09:40:00-04:00,19.44,19.40,Buy,T5
2024-08-20 09:48:00-04:00,19.56,19.40,Sell - Away from SMA,T5
2024-08-22 15:58:00-04:00,19.50,19.46,Buy,T6
2024-08-23 09:52:00-04:00,19.57,19.53,Buy,T7
