Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 15:40:00-04:00,403.08,402.96,Buy,TDY1
2024-07-16 15:42:00-04:00,403.66,402.96,Sell - Away from SMA,TDY1
2024-07-23 10:20:00-04:00,401.71,401.68,Buy,TDY2
2024-07-23 10:22:00-04:00,402.94,401.68,Sell - Away from SMA,TDY2
2024-07-23 15:48:00-04:00,403.03,402.91,Buy,TDY3
2024-07-23 15:50:00-04:00,402.91,402.91,Sell - Stop Loss,TDY3
2024-07-24 10:08:00-04:00,414.03,413.17,Buy,TDY4
2024-07-24 10:10:00-04:00,414.94,413.17,Sell - Away from SMA,TDY4
2024-07-24 10:16:00-04:00,414.37,413.38,Buy,TDY5
2024-07-24 10:18:00-04:00,417.79,413.38,Sell - Away from SMA,TDY5
2024-07-24 10:22:00-04:00,417.62,416.71,Buy,TDY6
2024-07-24 10:24:00-04:00,416.71,416.71,Sell - Stop Loss,TDY6
2024-07-24 15:54:00-04:00,417.55,417.11,Buy,TDY7
2024-07-24 15:56:00-04:00,417.11,417.11,Sell - Stop Loss,TDY7
2024-07-25 11:38:00-04:00,417.78,417.65,Buy,TDY8
2024-07-25 11:40:00-04:00,418.34,417.65,Sell - Away from SMA,TDY8
2024-07-26 10:24:00-04:00,425.12,424.29,Buy,TDY9
2024-07-26 10:26:00-04:00,424.29,424.29,Sell - Stop Loss,TDY9
2024-07-26 11:02:00-04:00,424.63,424.40,Buy,TDY10
2024-07-26 11:06:00-04:00,425.24,424.40,Sell - Away from SMA,TDY10
2024-07-26 11:58:00-04:00,424.62,424.60,Buy,TDY11
2024-07-26 12:00:00-04:00,424.82,424.60,Sell - Away from SMA,TDY11
2024-07-29 11:52:00-04:00,423.09,422.99,Buy,TDY12
2024-07-29 11:54:00-04:00,422.99,422.99,Sell - Stop Loss,TDY12
2024-07-30 15:44:00-04:00,424.24,423.96,Buy,TDY13
2024-07-30 15:46:00-04:00,425.27,423.96,Sell - Away from SMA,TDY13
2024-07-31 14:46:00-04:00,426.74,426.41,Buy,TDY14
2024-07-31 14:48:00-04:00,427.69,426.41,Sell - Away from SMA,TDY14
2024-08-02 15:00:00-04:00,410.62,410.49,Buy,TDY15
2024-08-02 15:02:00-04:00,411.06,410.49,Sell - Away from SMA,TDY15
2024-08-06 13:32:00-04:00,408.68,408.32,Buy,TDY16
2024-08-06 13:34:00-04:00,409.04,408.32,Sell - Away from SMA,TDY16
2024-08-19 13:42:00-04:00,417.94,417.90,Buy,TDY17
2024-08-19 14:06:00-04:00,418.23,417.90,Sell - Away from SMA,TDY17
2024-08-19 15:58:00-04:00,418.79,418.45,Buy,TDY18
2024-08-20 09:30:00-04:00,419.45,418.45,Sell - Away from SMA,TDY18
2024-08-21 10:10:00-04:00,418.01,417.69,Buy,TDY19
2024-08-21 10:12:00-04:00,418.66,417.69,Sell - Away from SMA,TDY19
