Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:10:00-04:00,154.04,153.98,Buy,TGT1
2024-07-16 12:12:00-04:00,154.20,153.98,Sell - Away from SMA,TGT1
2024-07-16 14:10:00-04:00,154.33,154.22,Buy,TGT2
2024-07-16 14:12:00-04:00,154.52,154.22,Sell - Away from SMA,TGT2
2024-07-16 14:58:00-04:00,154.63,154.52,Buy,TGT3
2024-07-16 15:00:00-04:00,154.69,154.52,Sell - Away from SMA,TGT3
2024-07-17 12:48:00-04:00,155.59,155.45,Buy,TGT4
2024-07-17 12:50:00-04:00,155.76,155.45,Sell - Away from SMA,TGT4
2024-07-17 13:42:00-04:00,155.40,155.32,Buy,TGT5
2024-07-17 13:44:00-04:00,155.57,155.32,Sell - Away from SMA,TGT5
2024-07-17 14:22:00-04:00,155.70,155.63,Buy,TGT6
2024-07-17 14:28:00-04:00,155.63,155.63,Sell - Stop Loss,TGT6
2024-07-17 15:16:00-04:00,155.98,155.91,Buy,TGT7
2024-07-17 15:18:00-04:00,156.05,155.91,Sell - Away from SMA,TGT7
2024-07-18 14:22:00-04:00,153.19,153.10,Buy,TGT8
2024-07-18 14:24:00-04:00,153.34,153.10,Sell - Away from SMA,TGT8
2024-07-19 13:56:00-04:00,150.50,150.37,Buy,TGT9
2024-07-19 13:58:00-04:00,150.60,150.37,Sell - Away from SMA,TGT9
2024-07-22 14:28:00-04:00,149.81,149.70,Buy,TGT10
2024-07-22 14:30:00-04:00,149.86,149.70,Sell - Away from SMA,TGT10
2024-07-22 15:06:00-04:00,150.29,150.23,Buy,TGT11
2024-07-22 15:08:00-04:00,150.23,150.23,Sell - Stop Loss,TGT11
2024-07-22 15:50:00-04:00,150.45,150.28,Buy,TGT12
2024-07-22 15:52:00-04:00,150.62,150.28,Sell - Away from SMA,TGT12
2024-07-23 10:16:00-04:00,150.64,150.52,Buy,TGT13
2024-07-23 10:18:00-04:00,150.81,150.52,Sell - Away from SMA,TGT13
2024-07-23 13:42:00-04:00,150.67,150.57,Buy,TGT14
2024-07-23 13:44:00-04:00,150.87,150.57,Sell - Away from SMA,TGT14
2024-07-25 09:38:00-04:00,146.84,146.62,Buy,TGT15
2024-07-25 09:40:00-04:00,147.25,146.62,Sell - Away from SMA,TGT15
2024-07-25 09:48:00-04:00,147.26,147.01,Buy,TGT16
2024-07-25 09:50:00-04:00,148.27,147.01,Sell - Away from SMA,TGT16
2024-07-25 10:54:00-04:00,147.12,147.00,Buy,TGT17
2024-07-25 10:56:00-04:00,147.44,147.00,Sell - Away from SMA,TGT17
2024-07-26 11:18:00-04:00,148.33,148.19,Buy,TGT18
2024-07-26 11:20:00-04:00,148.65,148.19,Sell - Away from SMA,TGT18
2024-07-26 11:36:00-04:00,148.81,148.71,Buy,TGT19
2024-07-26 11:38:00-04:00,148.88,148.71,Sell - Away from SMA,TGT19
2024-07-29 12:58:00-04:00,146.64,146.50,Buy,TGT20
2024-07-29 13:00:00-04:00,146.97,146.50,Sell - Away from SMA,TGT20
2024-07-29 13:20:00-04:00,147.09,147.02,Buy,TGT21
2024-07-29 13:22:00-04:00,147.25,147.02,Sell - Away from SMA,TGT21
2024-07-29 15:42:00-04:00,146.96,146.88,Buy,TGT22
2024-07-29 15:46:00-04:00,147.22,146.88,Sell - Away from SMA,TGT22
2024-07-30 09:48:00-04:00,147.23,147.04,Buy,TGT23
2024-07-30 09:50:00-04:00,147.74,147.04,Sell - Away from SMA,TGT23
2024-07-31 10:06:00-04:00,148.54,148.28,Buy,TGT24
2024-07-31 10:08:00-04:00,148.96,148.28,Sell - Away from SMA,TGT24
2024-07-31 10:24:00-04:00,149.21,149.07,Buy,TGT25
2024-07-31 10:26:00-04:00,149.70,149.07,Sell - Away from SMA,TGT25
2024-07-31 12:08:00-04:00,149.95,149.88,Buy,TGT26
2024-07-31 12:10:00-04:00,150.07,149.88,Sell - Away from SMA,TGT26
2024-07-31 13:58:00-04:00,150.14,150.00,Buy,TGT27
2024-07-31 14:00:00-04:00,150.00,150.00,Sell - Stop Loss,TGT27
2024-08-06 12:04:00-04:00,134.13,133.98,Buy,TGT28
2024-08-06 12:06:00-04:00,134.38,133.98,Sell - Away from SMA,TGT28
2024-08-08 09:58:00-04:00,135.62,135.42,Buy,TGT29
2024-08-08 10:00:00-04:00,135.82,135.42,Sell - Away from SMA,TGT29
2024-08-09 10:52:00-04:00,134.12,133.99,Buy,TGT30
2024-08-09 10:54:00-04:00,134.05,133.99,Sell - Away from SMA,TGT30
2024-08-09 11:14:00-04:00,134.54,134.42,Buy,TGT31
2024-08-09 11:16:00-04:00,134.66,134.42,Sell - Away from SMA,TGT31
2024-08-09 13:02:00-04:00,134.54,134.49,Buy,TGT32
2024-08-09 13:04:00-04:00,134.70,134.49,Sell - Away from SMA,TGT32
2024-08-09 13:18:00-04:00,135.09,135.00,Buy,TGT33
2024-08-09 13:20:00-04:00,135.27,135.00,Sell - Away from SMA,TGT33
2024-08-09 14:22:00-04:00,134.73,134.65,Buy,TGT34
2024-08-09 14:34:00-04:00,134.65,134.65,Sell - Stop Loss,TGT34
2024-08-12 11:04:00-04:00,135.64,135.50,Buy,TGT35
2024-08-12 11:06:00-04:00,135.83,135.50,Sell - Away from SMA,TGT35
2024-08-12 11:58:00-04:00,135.96,135.87,Buy,TGT36
2024-08-12 12:00:00-04:00,136.11,135.87,Sell - Away from SMA,TGT36
2024-08-13 12:20:00-04:00,134.77,134.60,Buy,TGT37
2024-08-13 12:22:00-04:00,134.89,134.60,Sell - Away from SMA,TGT37
2024-08-14 13:18:00-04:00,136.48,136.39,Buy,TGT38
2024-08-14 13:20:00-04:00,136.39,136.39,Sell - Stop Loss,TGT38
2024-08-15 12:32:00-04:00,141.33,141.24,Buy,TGT39
2024-08-15 12:34:00-04:00,141.40,141.24,Sell - Away from SMA,TGT39
2024-08-15 15:10:00-04:00,141.63,141.50,Buy,TGT40
2024-08-15 15:12:00-04:00,141.75,141.50,Sell - Away from SMA,TGT40
2024-08-16 09:36:00-04:00,141.46,141.16,Buy,TGT41
2024-08-16 09:38:00-04:00,141.69,141.16,Sell - Away from SMA,TGT41
2024-08-16 11:46:00-04:00,142.62,142.54,Buy,TGT42
2024-08-16 11:48:00-04:00,142.88,142.54,Sell - Away from SMA,TGT42
2024-08-16 12:16:00-04:00,142.72,142.63,Buy,TGT43
2024-08-16 12:18:00-04:00,142.86,142.63,Sell - Away from SMA,TGT43
2024-08-16 13:02:00-04:00,143.10,143.00,Buy,TGT44
2024-08-16 13:04:00-04:00,143.17,143.00,Sell - Away from SMA,TGT44
2024-08-16 13:16:00-04:00,143.24,143.16,Buy,TGT45
2024-08-16 13:18:00-04:00,143.40,143.16,Sell - Away from SMA,TGT45
2024-08-16 13:58:00-04:00,143.94,143.81,Buy,TGT46
2024-08-16 14:00:00-04:00,144.22,143.81,Sell - Away from SMA,TGT46
2024-08-16 15:42:00-04:00,143.99,143.92,Buy,TGT47
2024-08-16 15:44:00-04:00,144.04,143.92,Sell - Away from SMA,TGT47
2024-08-19 10:04:00-04:00,145.69,145.51,Buy,TGT48
2024-08-19 10:06:00-04:00,146.02,145.51,Sell - Away from SMA,TGT48
