Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,114.290,114.300,113.895,113.990,113.990,71808.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,113.945,114.100,113.900,114.100,114.100,9334.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,114.075,114.220,113.835,113.835,113.835,19348.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,113.760,113.885,113.660,113.840,113.840,15682.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,113.835,113.870,113.710,113.710,113.710,22501.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,113.610,113.748,113.610,113.716,113.716,11586.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,113.670,113.730,113.660,113.660,113.660,16026.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,113.660,113.858,113.655,113.770,113.770,19534.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,113.780,113.780,113.655,113.670,113.670,16158.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,113.640,113.780,113.570,113.730,113.730,31966.000,113.802,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,113.800,113.800,113.680,113.740,113.740,15153.000,113.777,nan,False,Noise Bar,-0.025,Empty
2024-07-15 09:52:00-04:00,113.730,113.790,113.689,113.700,113.700,12303.000,113.737,nan,False,Noise Bar,-0.040,Empty
2024-07-15 09:54:00-04:00,113.680,113.740,113.600,113.700,113.700,18431.000,113.724,nan,False,Noise Bar,-0.014,Empty
2024-07-15 09:56:00-04:00,113.760,113.820,113.680,113.810,113.810,19237.000,113.721,nan,False,Noise Bar,-0.003,Empty
2024-07-15 09:58:00-04:00,113.810,113.830,113.740,113.780,113.780,26022.000,113.728,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:00:00-04:00,113.780,113.840,113.660,113.670,113.670,22396.000,113.723,nan,False,Noise Bar,-0.005,Empty
2024-07-15 10:02:00-04:00,113.690,113.765,113.680,113.755,113.755,15855.000,113.732,nan,False,Noise Bar,0.009,Empty
2024-07-15 10:04:00-04:00,113.750,113.770,113.680,113.680,113.680,11030.000,113.723,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:06:00-04:00,113.690,113.825,113.690,113.780,113.780,12365.000,113.734,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:08:00-04:00,113.800,113.830,113.760,113.760,113.760,14196.000,113.737,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:10:00-04:00,113.760,113.800,113.705,113.800,113.800,6379.000,113.743,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:12:00-04:00,113.782,113.810,113.753,113.760,113.760,12506.000,113.749,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:14:00-04:00,113.760,113.790,113.700,113.790,113.790,153550.000,113.758,nan,False,Noise Bar,0.009,Empty
2024-07-15 10:16:00-04:00,113.800,113.830,113.740,113.760,113.760,13239.000,113.753,nan,False,Noise Bar,-0.005,Empty
2024-07-15 10:18:00-04:00,113.820,113.880,113.730,113.745,113.745,14182.000,113.750,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:20:00-04:00,113.745,113.890,113.745,113.835,113.835,9294.000,113.766,nan,False,Noise Bar,0.017,Empty
2024-07-15 10:22:00-04:00,113.820,113.950,113.820,113.895,113.895,12327.000,113.780,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:24:00-04:00,113.890,113.908,113.850,113.900,113.900,12434.000,113.802,nan,False,Noise Bar,0.022,Empty
