Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:28:00-04:00,114.63,114.57,Buy,TJX1
2024-07-16 10:34:00-04:00,114.77,114.57,Sell - Away from SMA,TJX1
2024-07-16 10:36:00-04:00,114.78,114.68,Buy,TJX2
2024-07-16 10:38:00-04:00,114.80,114.68,Sell - Away from SMA,TJX2
2024-07-16 12:58:00-04:00,114.96,114.91,Buy,TJX3
2024-07-16 13:06:00-04:00,114.91,114.91,Sell - Stop Loss,TJX3
2024-07-16 14:00:00-04:00,115.01,114.98,Buy,TJX4
2024-07-16 14:02:00-04:00,115.11,114.98,Sell - Away from SMA,TJX4
2024-07-16 15:34:00-04:00,115.05,115.00,Buy,TJX5
2024-07-16 15:36:00-04:00,115.11,115.00,Sell - Away from SMA,TJX5
2024-07-18 14:02:00-04:00,112.85,112.77,Buy,TJX6
2024-07-18 14:04:00-04:00,112.91,112.77,Sell - Away from SMA,TJX6
2024-07-19 10:02:00-04:00,113.24,113.16,Buy,TJX7
2024-07-19 10:04:00-04:00,113.34,113.16,Sell - Away from SMA,TJX7
2024-07-19 10:14:00-04:00,113.40,113.32,Buy,TJX8
2024-07-19 10:16:00-04:00,113.51,113.32,Sell - Away from SMA,TJX8
2024-07-19 15:30:00-04:00,112.24,112.19,Buy,TJX9
2024-07-19 15:34:00-04:00,112.19,112.19,Sell - Stop Loss,TJX9
2024-07-22 10:22:00-04:00,113.06,112.98,Buy,TJX10
2024-07-22 10:24:00-04:00,113.10,112.98,Sell - Away from SMA,TJX10
2024-07-22 12:20:00-04:00,113.24,113.18,Buy,TJX11
2024-07-22 12:22:00-04:00,113.18,113.18,Sell - Stop Loss,TJX11
2024-07-23 10:04:00-04:00,113.91,113.82,Buy,TJX12
2024-07-23 10:06:00-04:00,113.97,113.82,Sell - Away from SMA,TJX12
2024-07-23 10:26:00-04:00,113.83,113.77,Buy,TJX13
2024-07-23 10:30:00-04:00,113.77,113.77,Sell - Stop Loss,TJX13
2024-07-25 09:48:00-04:00,111.78,111.61,Buy,TJX14
2024-07-25 09:54:00-04:00,111.99,111.61,Sell - Away from SMA,TJX14
2024-07-29 12:34:00-04:00,112.76,112.70,Buy,TJX15
2024-07-29 12:40:00-04:00,112.83,112.70,Sell - Away from SMA,TJX15
2024-07-29 13:52:00-04:00,112.72,112.68,Buy,TJX16
2024-07-29 13:58:00-04:00,112.81,112.68,Sell - Away from SMA,TJX16
2024-07-29 14:40:00-04:00,112.61,112.56,Buy,TJX17
2024-07-29 14:50:00-04:00,112.56,112.56,Sell - Stop Loss,TJX17
2024-07-31 10:24:00-04:00,113.44,113.38,Buy,TJX18
2024-07-31 10:30:00-04:00,113.67,113.38,Sell - Away from SMA,TJX18
2024-08-01 13:16:00-04:00,113.27,113.19,Buy,TJX19
2024-08-01 13:26:00-04:00,113.39,113.19,Sell - Away from SMA,TJX19
2024-08-01 13:36:00-04:00,113.40,113.34,Buy,TJX20
2024-08-01 13:38:00-04:00,113.47,113.34,Sell - Away from SMA,TJX20
2024-08-01 13:58:00-04:00,113.36,113.30,Buy,TJX21
2024-08-01 14:00:00-04:00,113.52,113.30,Sell - Away from SMA,TJX21
2024-08-02 09:34:00-04:00,113.71,113.48,Buy,TJX22
