Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,135.860,136.250,135.805,135.805,135.805,9303.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,135.750,135.755,134.777,134.777,134.777,9123.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,135.270,135.290,135.040,135.040,135.040,1132.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,134.870,135.025,134.840,134.840,134.840,1358.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,135.110,135.340,134.975,135.215,135.215,3355.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,135.090,135.090,134.960,134.960,134.960,1239.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,134.920,135.030,134.920,134.960,134.960,1247.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,135.150,135.370,135.055,135.340,135.340,3285.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,135.260,135.410,135.260,135.270,135.270,7164.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,135.040,135.410,135.030,135.325,135.325,9147.000,135.153,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,135.270,135.380,135.270,135.315,135.315,1217.000,135.104,nan,False,Noise Bar,-0.049,Empty
2024-07-15 09:52:00-04:00,135.230,135.480,135.182,135.480,135.480,5568.000,135.174,nan,False,Noise Bar,0.070,Empty
2024-07-15 09:54:00-04:00,135.570,135.570,135.480,135.560,135.560,1901.000,135.226,nan,False,Noise Bar,0.052,Empty
2024-07-15 09:56:00-04:00,135.490,135.710,135.490,135.710,135.710,3270.000,135.314,nan,False,Noise Bar,0.087,Empty
2024-07-15 09:58:00-04:00,135.749,135.930,135.749,135.750,135.750,2748.000,135.367,nan,False,Noise Bar,0.054,Empty
2024-07-15 10:00:00-04:00,135.710,135.780,135.660,135.760,135.760,2056.000,135.447,nan,False,Noise Bar,0.080,Empty
2024-07-15 10:02:00-04:00,135.780,135.840,135.740,135.750,135.750,3915.000,135.526,nan,False,Noise Bar,0.079,Empty
2024-07-15 10:04:00-04:00,135.590,135.625,135.550,135.617,135.617,1340.000,135.554,nan,False,Noise Bar,0.028,Empty
2024-07-15 10:06:00-04:00,135.550,135.730,135.550,135.667,135.667,3015.000,135.593,nan,False,Noise Bar,0.040,Empty
2024-07-15 10:08:00-04:00,135.665,135.740,135.665,135.670,135.670,4660.000,135.628,nan,False,Noise Bar,0.035,Empty
2024-07-15 10:10:00-04:00,135.740,135.770,135.620,135.620,135.620,8557.000,135.658,nan,False,Noise Bar,0.030,Empty
2024-07-15 10:12:00-04:00,135.470,135.470,135.410,135.410,135.410,765.000,135.651,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:14:00-04:00,135.410,135.750,135.410,135.750,135.750,3937.000,135.670,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:16:00-04:00,135.785,135.890,135.785,135.840,135.840,3447.000,135.683,nan,False,Noise Bar,0.013,Empty
2024-07-15 10:18:00-04:00,135.860,135.930,135.835,135.930,135.930,5158.000,135.701,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:20:00-04:00,135.935,136.000,135.935,135.990,135.990,3713.000,135.724,nan,False,Noise Bar,0.023,Empty
2024-07-15 10:22:00-04:00,136.060,136.130,136.000,136.090,136.090,4598.000,135.758,nan,False,Noise Bar,0.034,Empty
2024-07-15 10:24:00-04:00,136.150,136.150,136.010,136.010,136.010,820.000,135.798,nan,False,Noise Bar,0.039,Empty
2024-07-15 10:26:00-04:00,136.082,136.190,136.082,136.190,136.190,1851.000,135.850,nan,False,Noise Bar,0.052,Empty
2024-07-15 10:28:00-04:00,136.135,136.180,136.130,136.135,136.135,839.000,135.896,nan,False,Noise Bar,0.046,Empty
2024-07-15 10:30:00-04:00,136.200,136.200,136.060,136.070,136.070,1604.000,135.941,nan,False,Noise Bar,0.045,Empty
2024-07-15 10:32:00-04:00,136.130,136.130,135.980,136.000,136.000,7524.000,136.000,nan,False,Noise Bar,0.059,Empty
2024-07-15 10:34:00-04:00,136.080,136.090,135.940,135.940,135.940,6845.000,136.019,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:36:00-04:00,135.920,135.920,135.835,135.835,135.835,978.000,136.019,nan,False,Noise Bar,-0.000,Empty
2024-07-15 10:38:00-04:00,135.880,135.880,135.780,135.835,135.835,2061.000,136.010,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:40:00-04:00,135.780,135.790,135.710,135.760,135.760,2236.000,135.987,nan,False,Noise Bar,-0.023,Empty
2024-07-15 10:42:00-04:00,135.680,135.710,135.600,135.710,135.710,2013.000,135.949,nan,False,Noise Bar,-0.038,Empty
2024-07-15 10:44:00-04:00,135.770,135.803,135.640,135.710,135.710,3024.000,135.919,nan,False,Noise Bar,-0.030,Empty
2024-07-15 10:46:00-04:00,135.740,135.860,135.740,135.860,135.860,2771.000,135.886,nan,False,Noise Bar,-0.033,Empty
2024-07-15 10:48:00-04:00,135.800,135.910,135.800,135.910,135.910,3910.000,135.863,nan,False,Noise Bar,-0.022,Empty
2024-07-15 10:50:00-04:00,135.865,135.940,135.800,135.860,135.860,7235.000,135.842,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:52:00-04:00,135.840,136.040,135.840,136.040,136.040,14723.000,135.846,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:54:00-04:00,136.030,136.110,135.893,136.110,136.110,4693.000,135.863,nan,False,Noise Bar,0.017,Empty
2024-07-15 10:56:00-04:00,136.120,136.150,136.101,136.110,136.110,2142.000,135.891,nan,False,Noise Bar,0.027,Empty
2024-07-15 10:58:00-04:00,136.140,136.200,136.040,136.055,136.055,3810.000,135.912,nan,False,Noise Bar,0.022,Empty
2024-07-15 11:00:00-04:00,136.055,136.100,136.055,136.065,136.065,1510.000,135.943,nan,False,Noise Bar,0.031,Empty
2024-07-15 11:02:00-04:00,136.090,136.260,136.050,136.260,136.260,54801.000,135.998,nan,False,Noise Bar,0.055,Empty
2024-07-15 11:04:00-04:00,136.260,136.260,136.080,136.130,136.130,7773.000,136.040,nan,False,Noise Bar,0.042,Empty
2024-07-15 11:06:00-04:00,136.100,136.100,136.010,136.030,136.030,4307.000,136.057,nan,False,Noise Bar,0.017,Empty
2024-07-15 11:08:00-04:00,136.060,136.070,136.035,136.035,136.035,714.000,136.069,nan,False,Noise Bar,0.012,Empty
2024-07-15 11:10:00-04:00,136.060,136.149,135.990,136.115,136.115,12154.000,136.095,nan,False,Noise Bar,0.026,Empty
2024-07-15 11:12:00-04:00,136.150,136.150,136.150,136.150,136.150,1204.000,136.106,nan,False,Noise Bar,0.011,Empty
2024-07-15 11:14:00-04:00,136.185,136.295,136.185,136.290,136.290,4612.000,136.124,nan,False,Noise Bar,0.018,Empty
2024-07-15 11:16:00-04:00,136.230,136.240,136.110,136.110,136.110,2651.000,136.124,nan,False,Noise Bar,0.000,Empty
2024-07-15 11:18:00-04:00,136.080,136.080,136.010,136.020,136.020,2916.000,136.121,nan,False,Noise Bar,-0.003,Empty
2024-07-15 11:22:00-04:00,136.030,136.030,135.930,135.930,135.930,2536.000,136.107,nan,False,Noise Bar,-0.014,Empty
2024-07-15 11:24:00-04:00,135.930,135.950,135.880,135.950,135.950,3787.000,136.076,nan,False,Noise Bar,-0.031,Empty
2024-07-15 11:26:00-04:00,135.940,135.970,135.940,135.970,135.970,825.000,136.060,nan,False,Noise Bar,-0.016,Empty
2024-07-15 11:28:00-04:00,135.970,135.990,135.820,135.820,135.820,3580.000,136.039,nan,False,Noise Bar,-0.021,Empty
2024-07-15 11:30:00-04:00,135.750,135.800,135.720,135.740,135.740,5873.000,136.010,nan,False,Noise Bar,-0.029,Empty
2024-07-15 11:32:00-04:00,135.745,135.750,135.670,135.670,135.670,4564.000,135.965,nan,False,Noise Bar,-0.045,Empty
2024-07-15 11:34:00-04:00,135.650,135.650,135.590,135.625,135.625,5330.000,135.912,nan,False,Noise Bar,-0.052,Empty
2024-07-15 11:36:00-04:00,135.730,135.790,135.730,135.790,135.790,2306.000,135.862,nan,False,Noise Bar,-0.050,Empty
2024-07-15 11:38:00-04:00,135.850,135.890,135.850,135.850,135.850,2299.000,135.837,nan,False,Noise Bar,-0.026,Empty
2024-07-15 11:40:00-04:00,135.860,135.930,135.860,135.930,135.930,1360.000,135.827,nan,False,Noise Bar,-0.009,Empty
2024-07-15 11:42:00-04:00,136.010,136.110,136.010,136.110,136.110,2177.000,135.846,nan,False,Noise Bar,0.018,Empty
2024-07-15 11:44:00-04:00,136.160,136.205,136.100,136.205,136.205,7344.000,135.871,nan,False,Noise Bar,0.026,Empty
2024-07-15 11:46:00-04:00,136.230,136.245,136.160,136.210,136.210,2973.000,135.895,nan,False,Noise Bar,0.024,Empty
2024-07-15 11:48:00-04:00,136.180,136.210,136.050,136.050,136.050,2846.000,135.918,nan,False,Noise Bar,0.023,Empty
2024-07-15 11:50:00-04:00,136.030,136.070,136.030,136.040,136.040,2535.000,135.948,nan,False,Noise Bar,0.030,Empty
2024-07-15 11:52:00-04:00,136.020,136.120,135.975,136.100,136.100,3527.000,135.991,nan,False,Noise Bar,0.043,Empty
2024-07-15 11:54:00-04:00,136.050,136.050,135.980,135.980,135.980,1199.000,136.026,nan,False,Noise Bar,0.035,Empty
2024-07-15 11:56:00-04:00,135.990,136.030,135.990,136.010,136.010,2075.000,136.049,nan,False,Noise Bar,0.022,Empty
2024-07-15 11:58:00-04:00,135.920,135.940,135.920,135.940,135.940,890.000,136.057,nan,False,Noise Bar,0.009,Empty
2024-07-15 12:00:00-04:00,135.900,135.900,135.890,135.900,135.900,3052.000,136.054,nan,False,Noise Bar,-0.003,Empty
2024-07-15 12:02:00-04:00,135.970,135.970,135.830,135.830,135.830,2690.000,136.026,nan,False,Noise Bar,-0.028,Empty
2024-07-15 12:04:00-04:00,135.780,135.930,135.780,135.930,135.930,2681.000,135.999,nan,False,Noise Bar,-0.028,Empty
2024-07-15 12:06:00-04:00,135.940,136.030,135.940,136.030,136.030,1544.000,135.981,nan,False,Noise Bar,-0.018,Empty
2024-07-15 12:08:00-04:00,136.005,136.150,136.005,136.110,136.110,2849.000,135.987,nan,False,Noise Bar,0.006,Empty
2024-07-15 12:10:00-04:00,136.170,136.230,136.170,136.220,136.220,1779.000,136.005,nan,False,Noise Bar,0.018,Empty
2024-07-15 12:12:00-04:00,136.220,136.220,136.180,136.220,136.220,1622.000,136.017,nan,False,Noise Bar,0.012,Empty
2024-07-15 12:14:00-04:00,136.200,136.200,136.150,136.150,136.150,2420.000,136.034,nan,False,Noise Bar,0.017,Empty
2024-07-15 12:16:00-04:00,136.130,136.160,136.020,136.035,136.035,3275.000,136.036,nan,False,Noise Bar,0.003,Empty
2024-07-15 12:18:00-04:00,136.040,136.070,136.040,136.070,136.070,3310.000,136.049,nan,False,Noise Bar,0.013,Empty
2024-07-15 12:20:00-04:00,136.060,136.190,136.045,136.120,136.120,3594.000,136.071,nan,False,Noise Bar,0.022,Empty
2024-07-15 12:22:00-04:00,136.120,136.130,136.090,136.130,136.130,3654.000,136.101,nan,False,Noise Bar,0.030,Empty
2024-07-15 12:24:00-04:00,136.160,136.170,136.110,136.125,136.125,2449.000,136.121,nan,False,Noise Bar,0.020,Empty
2024-07-15 12:26:00-04:00,136.125,136.125,136.125,136.125,136.125,572.000,136.131,nan,False,Noise Bar,0.010,Empty
2024-07-15 12:28:00-04:00,136.150,136.150,136.150,136.150,136.150,1317.000,136.134,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:30:00-04:00,136.050,136.100,136.000,136.100,136.100,12838.000,136.122,nan,False,Noise Bar,-0.012,Empty
2024-07-15 12:32:00-04:00,136.110,136.110,136.010,136.085,136.085,3805.000,136.109,nan,False,Noise Bar,-0.013,Empty
2024-07-15 12:34:00-04:00,136.090,136.090,136.020,136.020,136.020,1898.000,136.096,nan,False,Noise Bar,-0.013,Empty
2024-07-15 12:36:00-04:00,136.000,136.080,136.000,136.080,136.080,3489.000,136.100,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:38:00-04:00,136.108,136.160,136.108,136.120,136.120,1519.000,136.105,nan,False,Noise Bar,0.005,Empty
2024-07-15 12:40:00-04:00,136.120,136.230,136.100,136.230,136.230,4625.000,136.116,nan,False,Noise Bar,0.011,Empty
2024-07-15 12:42:00-04:00,136.225,136.240,136.160,136.160,136.160,4174.000,136.119,nan,False,Noise Bar,0.003,Empty
2024-07-15 12:44:00-04:00,136.150,136.160,136.150,136.160,136.160,1211.000,136.123,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:46:00-04:00,136.110,136.150,136.110,136.150,136.150,1099.000,136.125,nan,False,Noise Bar,0.002,Empty
2024-07-15 12:48:00-04:00,136.120,136.125,136.115,136.115,136.115,812.000,136.122,nan,False,Noise Bar,-0.003,Empty
2024-07-15 12:50:00-04:00,136.040,136.045,136.030,136.045,136.045,2500.000,136.117,135.881,True,Noise Bar,-0.006,Empty
2024-07-15 12:52:00-04:00,136.050,136.090,136.020,136.020,136.020,5761.000,136.110,135.883,True,Noise Bar,-0.007,Empty
2024-07-15 12:54:00-04:00,136.020,136.020,135.990,136.020,136.020,4091.000,136.110,135.896,True,Noise Bar,0.000,Empty
2024-07-15 12:56:00-04:00,136.050,136.055,136.005,136.005,136.005,1826.000,136.103,135.905,True,Noise Bar,-0.007,Empty
2024-07-15 12:58:00-04:00,136.030,136.050,136.000,136.015,136.015,3185.000,136.092,135.917,True,Noise Bar,-0.010,Empty
2024-07-15 13:00:00-04:00,135.962,135.980,135.935,135.950,135.950,5048.000,136.064,135.924,True,Noise Bar,-0.028,Empty
2024-07-15 13:02:00-04:00,135.920,135.940,135.870,135.940,135.940,3970.000,136.042,135.934,True,Noise Bar,-0.022,Empty
2024-07-15 13:04:00-04:00,135.965,136.040,135.965,136.040,136.040,1413.000,136.030,135.945,True,Noise Bar,-0.012,Empty
2024-07-15 13:06:00-04:00,136.045,136.045,135.970,135.990,135.990,3876.000,136.014,135.952,True,Noise Bar,-0.016,Empty
2024-07-15 13:08:00-04:00,136.030,136.050,135.980,135.980,135.980,2191.000,136.001,135.959,True,Noise Bar,-0.014,Empty
2024-07-15 13:10:00-04:00,135.970,136.020,135.970,136.020,136.020,1733.000,135.998,135.966,True,Noise Bar,-0.002,Empty
2024-07-15 13:12:00-04:00,136.000,136.020,135.920,135.928,135.928,5819.000,135.989,135.972,True,Noise Bar,-0.009,Empty
2024-07-15 13:14:00-04:00,135.840,135.890,135.830,135.890,135.890,3141.000,135.976,135.976,False,Noise Bar,-0.013,Empty
2024-07-15 13:16:00-04:00,135.880,135.913,135.820,135.820,135.820,10137.000,135.957,135.978,False,Noise Bar,-0.018,Empty
2024-07-15 13:18:00-04:00,135.810,135.840,135.710,135.720,135.720,5534.000,135.928,135.979,False,Noise Bar,-0.029,Empty
2024-07-15 13:20:00-04:00,135.750,135.840,135.720,135.750,135.750,5224.000,135.908,135.979,False,Noise Bar,-0.020,Empty
2024-07-15 13:22:00-04:00,135.820,135.940,135.820,135.900,135.900,5350.000,135.904,135.980,False,Noise Bar,-0.004,Empty
2024-07-15 13:24:00-04:00,135.870,135.870,135.790,135.800,135.800,2793.000,135.880,135.980,False,Noise Bar,-0.024,Empty
2024-07-15 13:26:00-04:00,135.800,135.835,135.770,135.835,135.835,7471.000,135.864,135.983,False,Noise Bar,-0.015,Empty
2024-07-15 13:28:00-04:00,135.820,135.820,135.740,135.780,135.780,4540.000,135.844,135.984,False,Noise Bar,-0.020,Empty
