Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,255.965,256.000,253.360,253.990,253.990,7454177.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,253.840,255.670,252.860,254.570,254.570,1989996.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,254.610,258.410,254.395,258.120,258.120,2292162.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,258.182,259.760,258.020,259.520,259.520,2172325.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,259.560,261.260,259.430,261.025,261.025,2535173.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,261.070,261.500,260.090,260.760,260.760,1795917.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,260.818,261.000,258.360,258.400,258.400,1752200.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,258.390,259.530,256.680,257.775,257.775,1630480.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,259.840,260.120,259.000,259.680,259.680,1591269.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,259.690,261.250,259.600,260.170,260.170,1636172.000,258.401,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,260.180,260.210,259.020,260.120,260.120,988016.000,259.014,nan,False,Noise Bar,0.613,Empty
2024-07-15 09:52:00-04:00,260.050,262.000,259.350,261.139,261.139,1948120.000,259.671,nan,False,Noise Bar,0.657,Empty
2024-07-15 09:54:00-04:00,261.130,262.650,260.480,261.860,261.860,1493251.000,260.045,nan,False,Noise Bar,0.374,Empty
2024-07-15 09:56:00-04:00,261.860,262.380,260.784,261.560,261.560,905048.000,260.249,nan,False,Noise Bar,0.204,Empty
2024-07-15 09:58:00-04:00,261.540,261.540,260.490,260.925,260.925,803765.000,260.239,nan,False,Noise Bar,-0.010,Empty
2024-07-15 10:00:00-04:00,260.930,262.320,260.730,261.917,261.917,1049918.000,260.355,nan,False,Noise Bar,0.116,Empty
2024-07-15 10:02:00-04:00,261.900,261.920,260.904,260.970,260.970,807731.000,260.612,nan,False,Noise Bar,0.257,Empty
2024-07-15 10:04:00-04:00,260.930,261.340,259.690,260.409,260.409,1021753.000,260.875,nan,False,Noise Bar,0.263,Empty
2024-07-15 10:06:00-04:00,260.405,260.720,259.800,260.340,260.340,663667.000,260.941,nan,False,Noise Bar,0.066,Empty
2024-07-15 10:08:00-04:00,260.310,261.240,260.110,260.740,260.740,948927.000,260.998,nan,False,Noise Bar,0.057,Empty
2024-07-15 10:10:00-04:00,260.910,262.530,260.650,262.450,262.450,1336332.000,261.231,nan,False,Noise Bar,0.233,Empty
2024-07-15 10:12:00-04:00,262.354,264.100,262.320,263.787,263.787,1965630.000,261.496,nan,False,Noise Bar,0.265,Empty
2024-07-15 10:14:00-04:00,263.812,264.620,263.690,264.220,264.220,1744644.000,261.732,nan,False,Noise Bar,0.236,Empty
2024-07-15 10:16:00-04:00,264.215,264.740,263.640,263.840,263.840,1235621.000,261.960,nan,False,Noise Bar,0.228,Empty
2024-07-15 10:18:00-04:00,263.860,264.060,263.160,263.801,263.801,1069796.000,262.247,nan,False,Noise Bar,0.288,Empty
2024-07-15 10:20:00-04:00,263.760,264.690,263.260,264.590,264.590,1083373.000,262.515,nan,False,Noise Bar,0.267,Empty
2024-07-15 10:22:00-04:00,264.550,264.620,263.070,263.630,263.630,817780.000,262.781,nan,False,Noise Bar,0.266,Empty
2024-07-15 10:24:00-04:00,263.585,264.010,263.240,263.535,263.535,693424.000,263.093,nan,False,Noise Bar,0.313,Empty
2024-07-15 10:26:00-04:00,263.530,264.250,263.450,263.790,263.790,661121.000,263.438,nan,False,Noise Bar,0.345,Empty
2024-07-15 10:28:00-04:00,263.820,264.990,263.500,264.225,264.225,1260732.000,263.787,nan,False,Noise Bar,0.349,Empty
2024-07-15 10:30:00-04:00,264.170,264.509,263.666,264.387,264.387,850647.000,263.981,nan,False,Noise Bar,0.194,Empty
2024-07-15 10:32:00-04:00,264.400,264.440,263.620,263.894,263.894,626611.000,263.991,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:34:00-04:00,263.920,264.100,263.360,263.820,263.820,698709.000,263.951,nan,False,Noise Bar,-0.040,Empty
2024-07-15 10:36:00-04:00,263.796,264.380,263.510,264.370,264.370,616908.000,264.004,nan,False,Noise Bar,0.053,Empty
2024-07-15 10:38:00-04:00,264.380,265.260,264.200,264.640,264.640,1481595.000,264.088,nan,False,Noise Bar,0.084,Empty
2024-07-15 10:40:00-04:00,264.620,265.580,263.790,264.200,264.200,1334828.000,264.049,nan,False,Noise Bar,-0.039,Empty
2024-07-15 10:42:00-04:00,264.170,264.480,263.640,263.865,263.865,766139.000,264.073,nan,False,Noise Bar,0.023,Empty
