Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:50:00-04:00,58.20,58.14,Buy,TSN1
2024-07-16 09:52:00-04:00,58.14,58.14,Sell - Stop Loss,TSN1
2024-07-16 13:56:00-04:00,58.84,58.80,Buy,TSN2
2024-07-16 14:00:00-04:00,58.80,58.80,Sell - Stop Loss,TSN2
2024-07-17 10:02:00-04:00,60.38,60.29,Buy,TSN3
2024-07-17 10:04:00-04:00,60.59,60.29,Sell - Away from SMA,TSN3
2024-07-17 12:48:00-04:00,60.69,60.66,Buy,TSN4
2024-07-17 12:50:00-04:00,60.66,60.66,Sell - Stop Loss,TSN4
2024-07-17 14:16:00-04:00,60.56,60.51,Buy,TSN5
2024-07-17 14:20:00-04:00,60.65,60.51,Sell - Away from SMA,TSN5
2024-07-17 14:26:00-04:00,60.65,60.62,Buy,TSN6
2024-07-17 14:30:00-04:00,60.62,60.62,Sell - Stop Loss,TSN6
2024-07-22 11:50:00-04:00,59.73,59.66,Buy,TSN7
2024-07-22 12:14:00-04:00,59.66,59.66,Sell - Stop Loss,TSN7
2024-07-22 13:04:00-04:00,59.77,59.72,Buy,TSN8
2024-07-22 13:08:00-04:00,59.72,59.72,Sell - Stop Loss,TSN8
2024-07-24 15:18:00-04:00,59.16,59.13,Buy,TSN9
2024-07-24 15:22:00-04:00,59.33,59.13,Sell - Away from SMA,TSN9
2024-07-24 15:54:00-04:00,59.28,59.22,Buy,TSN10
2024-07-24 15:58:00-04:00,59.40,59.22,Sell - Away from SMA,TSN10
2024-07-25 12:22:00-04:00,60.49,60.43,Buy,TSN11
2024-07-25 12:24:00-04:00,60.66,60.43,Sell - Away from SMA,TSN11
2024-07-25 15:44:00-04:00,60.42,60.38,Buy,TSN12
2024-07-25 15:48:00-04:00,60.56,60.38,Sell - Away from SMA,TSN12
2024-07-29 15:48:00-04:00,61.11,61.08,Buy,TSN13
2024-07-29 15:50:00-04:00,61.08,61.08,Sell - Stop Loss,TSN13
2024-07-31 10:14:00-04:00,61.38,61.27,Buy,TSN14
2024-07-31 10:16:00-04:00,61.41,61.27,Sell - Away from SMA,TSN14
2024-07-31 10:52:00-04:00,61.24,61.17,Buy,TSN15
2024-07-31 10:54:00-04:00,61.32,61.17,Sell - Away from SMA,TSN15
2024-07-31 12:30:00-04:00,61.23,61.18,Buy,TSN16
2024-07-31 12:56:00-04:00,61.18,61.18,Sell - Stop Loss,TSN16
2024-08-01 12:50:00-04:00,60.84,60.81,Buy,TSN17
2024-08-01 13:12:00-04:00,61.04,60.81,Sell - Away from SMA,TSN17
2024-08-02 09:34:00-04:00,61.37,61.03,Buy,TSN18
2024-08-02 09:36:00-04:00,61.39,61.03,Sell - Away from SMA,TSN18
2024-08-02 15:14:00-04:00,61.08,61.03,Buy,TSN19
2024-08-02 15:44:00-04:00,61.26,61.03,Sell - Away from SMA,TSN19
2024-08-05 10:24:00-04:00,62.81,62.65,Buy,TSN20
2024-08-05 10:26:00-04:00,62.99,62.65,Sell - Away from SMA,TSN20
2024-08-05 10:44:00-04:00,62.34,62.21,Buy,TSN21
2024-08-05 10:46:00-04:00,62.40,62.21,Sell - Away from SMA,TSN21
2024-08-05 11:32:00-04:00,63.37,63.24,Buy,TSN22
2024-08-05 11:34:00-04:00,63.62,63.24,Sell - Away from SMA,TSN22
2024-08-08 12:20:00-04:00,61.64,61.60,Buy,TSN23
2024-08-08 12:30:00-04:00,61.60,61.60,Sell - Stop Loss,TSN23
2024-08-08 15:30:00-04:00,61.77,61.71,Buy,TSN24
2024-08-08 15:34:00-04:00,61.86,61.71,Sell - Away from SMA,TSN24
2024-08-13 10:40:00-04:00,60.67,60.58,Buy,TSN25
2024-08-13 10:54:00-04:00,60.79,60.58,Sell - Away from SMA,TSN25
2024-08-13 11:24:00-04:00,60.69,60.64,Buy,TSN26
2024-08-13 11:26:00-04:00,60.64,60.64,Sell - Stop Loss,TSN26
2024-08-13 13:24:00-04:00,60.88,60.83,Buy,TSN27
2024-08-13 13:26:00-04:00,60.93,60.83,Sell - Away from SMA,TSN27
2024-08-13 15:02:00-04:00,61.08,61.03,Buy,TSN28
2024-08-13 15:34:00-04:00,61.03,61.03,Sell - Stop Loss,TSN28
2024-08-14 09:48:00-04:00,61.81,61.73,Buy,TSN29
2024-08-14 09:50:00-04:00,61.93,61.73,Sell - Away from SMA,TSN29
2024-08-14 15:00:00-04:00,62.12,62.09,Buy,TSN30
2024-08-14 15:02:00-04:00,62.09,62.09,Sell - Stop Loss,TSN30
2024-08-16 11:16:00-04:00,61.96,61.93,Buy,TSN31
2024-08-16 11:18:00-04:00,62.00,61.93,Sell - Away from SMA,TSN31
2024-08-16 11:28:00-04:00,62.02,61.99,Buy,TSN32
2024-08-16 11:32:00-04:00,61.99,61.99,Sell - Stop Loss,TSN32
2024-08-16 13:44:00-04:00,62.19,62.14,Buy,TSN33
2024-08-16 15:36:00-04:00,62.42,62.14,Sell - Away from SMA,TSN33
2024-08-16 15:58:00-04:00,62.51,62.44,Buy,TSN34
