Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,89.000,89.085,89.000,89.085,89.085,7005.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,89.020,89.195,89.020,89.195,89.195,390.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,89.210,89.210,89.210,89.210,89.210,242.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,89.060,89.240,89.060,89.235,89.235,1499.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,89.440,89.540,89.440,89.540,89.540,1857.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,89.630,89.650,89.530,89.650,89.650,859.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,89.630,89.630,89.565,89.565,89.565,427.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,89.640,89.750,89.640,89.750,89.750,2443.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,89.790,89.980,89.755,89.960,89.960,3675.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,89.900,90.130,89.900,90.070,90.070,14167.000,89.526,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,90.050,90.065,89.985,90.000,90.000,2299.000,89.618,nan,False,Noise Bar,0.092,Empty
2024-07-15 09:52:00-04:00,90.050,90.125,90.020,90.125,90.125,2691.000,89.711,nan,False,Noise Bar,0.093,Empty
2024-07-15 09:54:00-04:00,90.215,90.215,90.040,90.040,90.040,2907.000,89.794,nan,False,Noise Bar,0.083,Empty
2024-07-15 09:56:00-04:00,90.035,90.070,89.950,90.070,90.070,2156.000,89.877,nan,False,Noise Bar,0.083,Empty
2024-07-15 09:58:00-04:00,90.060,90.060,90.000,90.000,90.000,1889.000,89.923,nan,False,Noise Bar,0.046,Empty
2024-07-15 10:00:00-04:00,90.010,90.115,90.000,90.115,90.115,2020.000,89.969,nan,False,Noise Bar,0.046,Empty
2024-07-15 10:02:00-04:00,90.150,90.245,90.150,90.245,90.245,2260.000,90.038,nan,False,Noise Bar,0.068,Empty
2024-07-15 10:04:00-04:00,90.200,90.330,90.200,90.330,90.330,2145.000,90.096,nan,False,Noise Bar,0.058,Empty
2024-07-15 10:06:00-04:00,90.390,90.520,90.390,90.520,90.520,2518.000,90.151,nan,False,Noise Bar,0.056,Empty
2024-07-15 10:08:00-04:00,90.570,90.640,90.480,90.640,90.640,5396.000,90.208,nan,False,Noise Bar,0.057,Empty
2024-07-15 10:10:00-04:00,90.570,90.728,90.570,90.685,90.685,6412.000,90.277,nan,False,Noise Bar,0.068,Empty
2024-07-15 10:12:00-04:00,90.650,90.650,90.370,90.500,90.500,7471.000,90.315,nan,False,Noise Bar,0.038,Empty
2024-07-15 10:14:00-04:00,90.455,90.540,90.400,90.540,90.540,4674.000,90.365,nan,False,Noise Bar,0.050,Empty
2024-07-15 10:16:00-04:00,90.530,90.610,90.530,90.575,90.575,3101.000,90.415,nan,False,Noise Bar,0.050,Empty
2024-07-15 10:18:00-04:00,90.580,90.690,90.580,90.690,90.690,2407.000,90.484,nan,False,Noise Bar,0.069,Empty
2024-07-15 10:20:00-04:00,90.690,90.740,90.690,90.725,90.725,3384.000,90.545,nan,False,Noise Bar,0.061,Empty
2024-07-15 10:22:00-04:00,90.800,90.805,90.730,90.740,90.740,7119.000,90.595,nan,False,Noise Bar,0.049,Empty
2024-07-15 10:24:00-04:00,90.760,90.820,90.700,90.780,90.780,4774.000,90.640,nan,False,Noise Bar,0.045,Empty
2024-07-15 10:26:00-04:00,90.775,90.820,90.760,90.770,90.770,6801.000,90.665,nan,False,Noise Bar,0.025,Empty
2024-07-15 10:28:00-04:00,90.800,90.850,90.750,90.790,90.790,8816.000,90.680,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:30:00-04:00,90.790,90.830,90.740,90.750,90.750,20257.000,90.686,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:32:00-04:00,90.755,90.780,90.670,90.720,90.720,4812.000,90.708,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:34:00-04:00,90.740,90.814,90.740,90.814,90.814,14072.000,90.735,nan,False,Noise Bar,0.027,Empty
2024-07-15 10:36:00-04:00,90.810,90.850,90.800,90.805,90.805,3796.000,90.758,nan,False,Noise Bar,0.023,Empty
2024-07-15 10:38:00-04:00,90.805,90.810,90.720,90.810,90.810,6540.000,90.770,nan,False,Noise Bar,0.012,Empty
2024-07-15 10:40:00-04:00,90.800,90.800,90.795,90.795,90.795,880.000,90.777,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:42:00-04:00,90.820,90.860,90.820,90.860,90.860,2191.000,90.789,nan,False,Noise Bar,0.012,Empty
2024-07-15 10:44:00-04:00,90.820,90.832,90.750,90.770,90.770,6628.000,90.788,nan,False,Noise Bar,-0.001,Empty
2024-07-15 10:46:00-04:00,90.770,90.810,90.740,90.805,90.805,6301.000,90.792,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:48:00-04:00,90.805,90.820,90.805,90.820,90.820,1446.000,90.795,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:50:00-04:00,90.830,90.960,90.830,90.940,90.940,4351.000,90.814,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:52:00-04:00,90.935,90.935,90.860,90.920,90.920,5425.000,90.834,nan,False,Noise Bar,0.020,Empty
2024-07-15 10:54:00-04:00,90.900,90.930,90.832,90.832,90.832,4609.000,90.836,nan,False,Noise Bar,0.002,Empty
2024-07-15 10:56:00-04:00,90.825,90.860,90.825,90.855,90.855,2115.000,90.841,nan,False,Noise Bar,0.005,Empty
2024-07-15 10:58:00-04:00,90.855,90.855,90.830,90.830,90.830,2410.000,90.843,nan,False,Noise Bar,0.002,Empty
2024-07-15 11:00:00-04:00,90.815,90.883,90.815,90.883,90.883,2957.000,90.852,nan,False,Noise Bar,0.009,Empty
2024-07-15 11:02:00-04:00,90.825,90.910,90.800,90.890,90.890,3014.000,90.855,nan,False,Noise Bar,0.003,Empty
2024-07-15 11:04:00-04:00,90.940,90.965,90.940,90.965,90.965,1344.000,90.874,nan,False,Noise Bar,0.019,Empty
2024-07-15 11:06:00-04:00,90.970,90.970,90.935,90.960,90.960,3252.000,90.890,nan,False,Noise Bar,0.015,Empty
2024-07-15 11:08:00-04:00,90.945,91.030,90.945,91.025,91.025,2636.000,90.910,nan,False,Noise Bar,0.021,Empty
2024-07-15 11:10:00-04:00,91.030,91.100,90.980,91.100,91.100,5343.000,90.926,nan,False,Noise Bar,0.016,Empty
2024-07-15 11:12:00-04:00,91.120,91.160,91.120,91.153,91.153,917.000,90.949,nan,False,Noise Bar,0.023,Empty
2024-07-15 11:14:00-04:00,91.140,91.140,91.140,91.140,91.140,485.000,90.980,nan,False,Noise Bar,0.031,Empty
2024-07-15 11:16:00-04:00,91.140,91.200,91.140,91.188,91.188,2935.000,91.013,nan,False,Noise Bar,0.033,Empty
