Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:10:00-04:00,93.62,93.53,Buy,TXT1
2024-07-16 11:12:00-04:00,93.85,93.53,Sell - Away from SMA,TXT1
2024-07-16 11:36:00-04:00,93.84,93.80,Buy,TXT2
2024-07-16 11:40:00-04:00,93.80,93.80,Sell - Stop Loss,TXT2
2024-07-17 15:20:00-04:00,92.58,92.52,Buy,TXT3
2024-07-17 15:22:00-04:00,92.72,92.52,Sell - Away from SMA,TXT3
2024-07-18 11:00:00-04:00,94.05,93.92,Buy,TXT4
2024-07-18 11:02:00-04:00,94.22,93.92,Sell - Away from SMA,TXT4
2024-07-18 11:54:00-04:00,93.76,93.62,Buy,TXT5
2024-07-18 11:56:00-04:00,93.83,93.62,Sell - Away from SMA,TXT5
2024-07-18 12:18:00-04:00,93.85,93.75,Buy,TXT6
2024-07-18 12:20:00-04:00,93.98,93.75,Sell - Away from SMA,TXT6
2024-07-22 11:50:00-04:00,91.40,91.28,Buy,TXT7
2024-07-22 11:52:00-04:00,91.46,91.28,Sell - Away from SMA,TXT7
2024-07-22 12:54:00-04:00,91.24,91.16,Buy,TXT8
2024-07-22 13:10:00-04:00,91.16,91.16,Sell - Stop Loss,TXT8
2024-07-22 13:28:00-04:00,91.26,91.22,Buy,TXT9
2024-07-22 13:32:00-04:00,91.48,91.22,Sell - Away from SMA,TXT9
2024-07-22 14:56:00-04:00,91.84,91.80,Buy,TXT10
2024-07-22 15:00:00-04:00,91.80,91.80,Sell - Stop Loss,TXT10
2024-07-23 10:32:00-04:00,92.45,92.38,Buy,TXT11
2024-07-23 10:34:00-04:00,92.38,92.38,Sell - Stop Loss,TXT11
2024-07-25 10:18:00-04:00,91.12,91.04,Buy,TXT12
2024-07-25 10:20:00-04:00,91.20,91.04,Sell - Away from SMA,TXT12
2024-07-25 10:54:00-04:00,90.73,90.65,Buy,TXT13
2024-07-25 10:58:00-04:00,90.89,90.65,Sell - Away from SMA,TXT13
2024-07-25 12:50:00-04:00,92.07,91.97,Buy,TXT14
2024-07-25 12:52:00-04:00,92.12,91.97,Sell - Away from SMA,TXT14
2024-07-26 09:46:00-04:00,92.22,92.08,Buy,TXT15
2024-07-26 09:48:00-04:00,92.08,92.08,Sell - Stop Loss,TXT15
2024-07-26 10:00:00-04:00,92.17,92.10,Buy,TXT16
2024-07-26 10:02:00-04:00,92.41,92.10,Sell - Away from SMA,TXT16
2024-07-26 11:14:00-04:00,92.22,92.16,Buy,TXT17
2024-07-26 11:20:00-04:00,92.34,92.16,Sell - Away from SMA,TXT17
2024-07-26 14:00:00-04:00,92.40,92.38,Buy,TXT18
2024-07-26 14:04:00-04:00,92.38,92.38,Sell - Stop Loss,TXT18
2024-07-30 11:58:00-04:00,92.22,92.20,Buy,TXT19
2024-07-30 12:02:00-04:00,92.20,92.20,Sell - Stop Loss,TXT19
2024-07-31 11:06:00-04:00,92.94,92.90,Buy,TXT20
2024-07-31 11:08:00-04:00,93.07,92.90,Sell - Away from SMA,TXT20
2024-07-31 11:52:00-04:00,93.08,93.03,Buy,TXT21
2024-07-31 11:54:00-04:00,93.03,93.03,Sell - Stop Loss,TXT21
2024-08-01 15:50:00-04:00,90.44,90.35,Buy,TXT22
2024-08-01 15:52:00-04:00,90.60,90.35,Sell - Away from SMA,TXT22
2024-08-05 13:52:00-04:00,84.96,84.89,Buy,TXT23
2024-08-05 13:54:00-04:00,84.89,84.89,Sell - Stop Loss,TXT23
2024-08-13 12:50:00-04:00,85.70,85.67,Buy,TXT24
2024-08-13 12:56:00-04:00,85.67,85.67,Sell - Stop Loss,TXT24
2024-08-13 13:28:00-04:00,85.49,85.46,Buy,TXT25
2024-08-13 13:32:00-04:00,85.46,85.46,Sell - Stop Loss,TXT25
2024-08-13 15:06:00-04:00,85.77,85.71,Buy,TXT26
2024-08-13 15:12:00-04:00,85.71,85.71,Sell - Stop Loss,TXT26
2024-08-13 15:18:00-04:00,85.74,85.69,Buy,TXT27
2024-08-13 15:34:00-04:00,85.89,85.84,Buy,TXT28
2024-08-13 15:36:00-04:00,85.98,85.69,Sell - Away from SMA,TXT27
2024-08-13 15:36:00-04:00,85.98,85.84,Sell - Away from SMA,TXT28
2024-08-14 15:20:00-04:00,85.74,85.70,Buy,TXT29
2024-08-14 15:50:00-04:00,85.97,85.70,Sell - Away from SMA,TXT29
2024-08-16 13:36:00-04:00,88.03,88.00,Buy,TXT30
2024-08-16 13:40:00-04:00,88.09,88.00,Sell - Away from SMA,TXT30
2024-08-19 13:12:00-04:00,88.27,88.24,Buy,TXT31
2024-08-19 13:18:00-04:00,88.40,88.24,Sell - Away from SMA,TXT31
2024-08-21 09:30:00-04:00,88.00,87.92,Buy,TXT32
2024-08-21 09:32:00-04:00,88.24,87.92,Sell - Away from SMA,TXT32
2024-08-21 15:36:00-04:00,88.17,88.14,Buy,TXT33
2024-08-21 15:38:00-04:00,88.23,88.14,Sell - Away from SMA,TXT33
2024-08-22 15:58:00-04:00,88.68,88.62,Buy,TXT34
2024-08-23 09:30:00-04:00,89.24,88.62,Sell - Away from SMA,TXT34
2024-08-23 10:00:00-04:00,88.99,88.90,Buy,TXT35
2024-08-23 10:02:00-04:00,89.31,88.90,Sell - Away from SMA,TXT35
2024-08-23 10:42:00-04:00,89.73,89.68,Buy,TXT36
2024-08-23 10:44:00-04:00,89.94,89.68,Sell - Away from SMA,TXT36
