Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:22:00-04:00,235.81,235.75,Buy,UNP1
2024-07-15 14:24:00-04:00,235.93,235.75,Sell - Away from SMA,UNP1
2024-07-15 15:12:00-04:00,236.12,235.95,Buy,UNP2
2024-07-15 15:14:00-04:00,236.30,235.95,Sell - Away from SMA,UNP2
2024-07-16 09:58:00-04:00,238.42,238.16,Buy,UNP3
2024-07-16 10:00:00-04:00,239.25,238.16,Sell - Away from SMA,UNP3
2024-07-16 10:06:00-04:00,239.67,239.21,Buy,UNP4
2024-07-16 10:08:00-04:00,240.05,239.21,Sell - Away from SMA,UNP4
2024-07-16 10:32:00-04:00,240.06,239.80,Buy,UNP5
2024-07-16 10:34:00-04:00,240.09,239.80,Sell - Away from SMA,UNP5
2024-07-16 10:50:00-04:00,240.20,239.95,Buy,UNP6
2024-07-16 10:52:00-04:00,240.37,239.95,Sell - Away from SMA,UNP6
2024-07-16 11:18:00-04:00,240.35,240.26,Buy,UNP7
2024-07-16 11:20:00-04:00,240.61,240.26,Sell - Away from SMA,UNP7
2024-07-16 11:24:00-04:00,240.55,240.49,Buy,UNP8
2024-07-16 11:26:00-04:00,240.75,240.49,Sell - Away from SMA,UNP8
2024-07-16 12:34:00-04:00,242.33,242.22,Buy,UNP9
2024-07-16 12:36:00-04:00,242.56,242.22,Sell - Away from SMA,UNP9
2024-07-16 13:42:00-04:00,243.09,242.90,Buy,UNP10
2024-07-16 13:44:00-04:00,243.16,242.90,Sell - Away from SMA,UNP10
2024-07-16 14:46:00-04:00,243.34,243.21,Buy,UNP11
2024-07-16 14:48:00-04:00,243.47,243.21,Sell - Away from SMA,UNP11
2024-07-17 10:10:00-04:00,243.98,243.68,Buy,UNP12
2024-07-17 10:12:00-04:00,245.15,243.68,Sell - Away from SMA,UNP12
2024-07-17 14:34:00-04:00,244.30,244.20,Buy,UNP13
2024-07-17 14:36:00-04:00,244.20,244.20,Sell - Stop Loss,UNP13
2024-07-22 13:56:00-04:00,242.59,242.50,Buy,UNP14
2024-07-22 13:58:00-04:00,242.76,242.50,Sell - Away from SMA,UNP14
2024-07-22 15:24:00-04:00,242.40,242.30,Buy,UNP15
2024-07-22 15:26:00-04:00,242.46,242.30,Sell - Away from SMA,UNP15
2024-07-24 11:46:00-04:00,239.73,239.50,Buy,UNP16
2024-07-24 11:48:00-04:00,239.82,239.50,Sell - Away from SMA,UNP16
2024-07-25 13:54:00-04:00,236.75,236.56,Buy,UNP17
2024-07-25 13:56:00-04:00,237.18,236.56,Sell - Away from SMA,UNP17
2024-07-29 11:54:00-04:00,242.70,242.57,Buy,UNP18
2024-07-29 11:56:00-04:00,242.94,242.57,Sell - Away from SMA,UNP18
2024-07-29 12:34:00-04:00,242.68,242.57,Buy,UNP19
2024-07-29 12:36:00-04:00,242.78,242.57,Sell - Away from SMA,UNP19
