Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:26:00-04:00,267.73,267.62,Buy,V1
2024-07-15 13:28:00-04:00,267.62,267.62,Sell - Stop Loss,V1
2024-07-15 15:22:00-04:00,268.53,268.41,Buy,V2
2024-07-15 15:24:00-04:00,268.81,268.41,Sell - Away from SMA,V2
2024-07-15 15:52:00-04:00,267.96,267.70,Buy,V3
2024-07-15 15:54:00-04:00,268.37,267.70,Sell - Away from SMA,V3
2024-07-16 10:50:00-04:00,269.77,269.67,Buy,V4
2024-07-16 10:52:00-04:00,270.10,269.67,Sell - Away from SMA,V4
2024-07-16 15:16:00-04:00,268.62,268.43,Buy,V5
2024-07-16 15:18:00-04:00,268.77,268.43,Sell - Away from SMA,V5
2024-07-17 10:50:00-04:00,270.68,270.50,Buy,V6
2024-07-17 10:52:00-04:00,271.02,270.50,Sell - Away from SMA,V6
2024-07-17 11:36:00-04:00,271.33,271.24,Buy,V7
2024-07-17 11:38:00-04:00,271.68,271.24,Sell - Away from SMA,V7
2024-07-17 14:40:00-04:00,272.10,271.95,Buy,V8
2024-07-17 14:42:00-04:00,272.31,271.95,Sell - Away from SMA,V8
2024-07-17 15:30:00-04:00,272.14,272.03,Buy,V9
2024-07-17 15:32:00-04:00,272.26,272.03,Sell - Away from SMA,V9
2024-07-18 09:52:00-04:00,272.51,272.19,Buy,V10
2024-07-18 09:54:00-04:00,273.21,272.19,Sell - Away from SMA,V10
2024-07-22 10:46:00-04:00,266.86,266.71,Buy,V11
2024-07-22 10:48:00-04:00,267.26,266.71,Sell - Away from SMA,V11
2024-07-22 10:58:00-04:00,266.95,266.88,Buy,V12
2024-07-22 11:00:00-04:00,267.14,266.88,Sell - Away from SMA,V12
2024-07-22 14:20:00-04:00,266.95,266.83,Buy,V13
2024-07-22 14:22:00-04:00,267.12,266.83,Sell - Away from SMA,V13
2024-07-22 14:34:00-04:00,267.09,266.97,Buy,V14
2024-07-22 14:36:00-04:00,267.23,266.97,Sell - Away from SMA,V14
2024-07-24 15:20:00-04:00,255.86,255.62,Buy,V15
2024-07-24 15:22:00-04:00,255.94,255.62,Sell - Away from SMA,V15
2024-07-25 11:44:00-04:00,255.97,255.80,Buy,V16
2024-07-25 11:46:00-04:00,256.67,255.80,Sell - Away from SMA,V16
2024-07-25 11:50:00-04:00,256.64,256.43,Buy,V17
2024-07-25 11:52:00-04:00,256.43,256.43,Sell - Stop Loss,V17
2024-07-25 12:00:00-04:00,256.01,255.78,Buy,V18
2024-07-25 12:02:00-04:00,255.84,255.78,Sell - Away from SMA,V18
2024-07-26 12:42:00-04:00,259.95,259.80,Buy,V19
2024-07-26 12:44:00-04:00,260.13,259.80,Sell - Away from SMA,V19
2024-07-26 13:02:00-04:00,260.52,260.44,Buy,V20
2024-07-26 13:04:00-04:00,260.69,260.44,Sell - Away from SMA,V20
2024-07-26 14:34:00-04:00,260.25,260.10,Buy,V21
2024-07-26 14:36:00-04:00,260.34,260.10,Sell - Away from SMA,V21
2024-07-29 11:56:00-04:00,261.83,261.62,Buy,V22
2024-07-29 11:58:00-04:00,262.02,261.62,Sell - Away from SMA,V22
2024-07-30 10:24:00-04:00,262.52,262.35,Buy,V23
2024-07-30 10:26:00-04:00,262.75,262.35,Sell - Away from SMA,V23
2024-07-30 10:52:00-04:00,264.13,263.98,Buy,V24
2024-07-30 10:54:00-04:00,264.28,263.98,Sell - Away from SMA,V24
2024-07-31 09:36:00-04:00,265.75,264.77,Buy,V25
2024-07-31 09:38:00-04:00,266.17,264.77,Sell - Away from SMA,V25
2024-07-31 10:44:00-04:00,265.57,265.35,Buy,V26
2024-07-31 10:46:00-04:00,265.91,265.35,Sell - Away from SMA,V26
2024-08-01 12:42:00-04:00,265.04,265.00,Buy,V27
2024-08-01 12:44:00-04:00,265.00,265.00,Sell - Stop Loss,V27
2024-08-02 12:20:00-04:00,265.82,265.55,Buy,V28
2024-08-02 12:22:00-04:00,265.98,265.55,Sell - Away from SMA,V28
2024-08-02 13:12:00-04:00,265.49,265.30,Buy,V29
2024-08-02 13:14:00-04:00,265.82,265.30,Sell - Away from SMA,V29
2024-08-02 14:28:00-04:00,265.57,265.40,Buy,V30
2024-08-02 14:30:00-04:00,265.70,265.40,Sell - Away from SMA,V30
2024-08-06 10:12:00-04:00,259.41,259.16,Buy,V31
2024-08-06 10:14:00-04:00,260.07,259.16,Sell - Away from SMA,V31
2024-08-06 15:12:00-04:00,259.42,259.12,Buy,V32
2024-08-06 15:14:00-04:00,259.35,259.12,Sell - Away from SMA,V32
2024-08-08 15:58:00-04:00,259.87,259.60,Buy,V33
2024-08-09 09:30:00-04:00,259.60,259.60,Sell - Stop Loss,V33
2024-08-09 10:40:00-04:00,260.80,260.62,Buy,V34
2024-08-09 10:42:00-04:00,261.36,260.62,Sell - Away from SMA,V34
2024-08-13 11:22:00-04:00,260.25,260.10,Buy,V35
2024-08-13 11:24:00-04:00,260.54,260.10,Sell - Away from SMA,V35
2024-08-13 11:58:00-04:00,260.58,260.41,Buy,V36
2024-08-13 12:00:00-04:00,260.71,260.41,Sell - Away from SMA,V36
2024-08-13 12:20:00-04:00,260.99,260.83,Buy,V37
2024-08-13 12:22:00-04:00,260.83,260.83,Sell - Stop Loss,V37
2024-08-13 13:24:00-04:00,260.73,260.63,Buy,V38
2024-08-13 13:26:00-04:00,260.81,260.63,Sell - Away from SMA,V38
2024-08-13 13:54:00-04:00,260.70,260.59,Buy,V39
2024-08-13 13:56:00-04:00,260.88,260.59,Sell - Away from SMA,V39
2024-08-13 14:58:00-04:00,260.84,260.74,Buy,V40
2024-08-13 15:00:00-04:00,261.06,260.74,Sell - Away from SMA,V40
2024-08-14 11:50:00-04:00,260.47,260.38,Buy,V41
2024-08-14 11:52:00-04:00,260.51,260.38,Sell - Away from SMA,V41
2024-08-14 13:42:00-04:00,260.58,260.45,Buy,V42
2024-08-14 13:44:00-04:00,260.68,260.45,Sell - Away from SMA,V42
2024-08-14 14:36:00-04:00,260.81,260.67,Buy,V43
2024-08-14 14:38:00-04:00,260.87,260.67,Sell - Away from SMA,V43
2024-08-15 10:18:00-04:00,264.45,264.28,Buy,V44
2024-08-15 10:20:00-04:00,264.65,264.28,Sell - Away from SMA,V44
2024-08-15 13:32:00-04:00,266.32,266.18,Buy,V45
2024-08-15 13:34:00-04:00,266.48,266.18,Sell - Away from SMA,V45
2024-08-15 14:48:00-04:00,266.93,266.84,Buy,V46
2024-08-15 14:50:00-04:00,266.84,266.84,Sell - Stop Loss,V46
2024-08-16 12:48:00-04:00,267.74,267.59,Buy,V47
2024-08-16 12:50:00-04:00,267.82,267.59,Sell - Away from SMA,V47
2024-08-20 10:54:00-04:00,267.00,266.83,Buy,V48
2024-08-20 10:56:00-04:00,267.18,266.83,Sell - Away from SMA,V48
2024-08-20 11:04:00-04:00,267.32,267.20,Buy,V49
2024-08-20 11:06:00-04:00,267.45,267.20,Sell - Away from SMA,V49
2024-08-20 14:50:00-04:00,267.04,266.97,Buy,V50
2024-08-20 15:02:00-04:00,267.19,266.97,Sell - Away from SMA,V50
2024-08-21 10:10:00-04:00,268.37,268.17,Buy,V51
2024-08-21 10:12:00-04:00,268.52,268.17,Sell - Away from SMA,V51
2024-08-21 13:16:00-04:00,268.64,268.54,Buy,V52
2024-08-21 13:18:00-04:00,268.88,268.54,Sell - Away from SMA,V52
2024-08-21 13:22:00-04:00,268.94,268.79,Buy,V53
2024-08-21 13:24:00-04:00,269.04,268.79,Sell - Away from SMA,V53
2024-08-21 14:28:00-04:00,268.45,268.36,Buy,V54
2024-08-21 14:30:00-04:00,268.67,268.36,Sell - Away from SMA,V54
